Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;U62its;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abakumov;1060000;U62;1930;1990;1990;1990;3;2;0;0;0;5;0;M523027;1930;1970;1999;x
Baikoff;1060001;U62;1930;1990;1990;1990;3;4;520;1;0;5;0;L523001;1930;1970;1999;x
Borshevski;1060002;U62;1930;1930;1930;1990;1;3;513;1;0;5;0;L1060002;1930;1970;1999;x
Naumsky;1060003;U62;1930;1990;1990;1990;3;3;128;0;0;5;0;L1060003;1930;1970;1999;x
Rokotov;1060004;U62;1930;1990;1990;1990;3;3;32;0;0;5;0;L1060004;1930;1970;1999;x
Chebykimov;1060005;U62;1930;1930;1990;1990;2;2;64;0;0;5;0;M523037;1930;1970;1999;x
Clausius;1060006;U62;1930;1930;1990;1990;2;3;512;1;0;5;0;L523006;1930;1970;1999;x
Daletski;1060007;U62;1930;1990;1990;1990;3;2;1;0;0;5;0;L523007;1930;1970;1999;x
Rogatkin;1060008;U62;1930;1990;1990;1990;3;2;0;0;0;5;0;L1060008;1930;1970;1999;x
Fokine;1060009;U62;1930;1930;1990;1990;2;2;8;0;0;5;0;M523008;1930;1970;1999;x
Gapon;1060010;U62;1930;1990;1990;1990;3;3;256;0;0;5;0;M523045;1930;1970;1999;x
Hadjiev;1060011;U62;1930;1930;1939;1990;2;4;16;1;0;5;0;M523038;1930;1970;1999;x
Hvorostrovski;1060012;U62;1930;1930;1990;1990;2;3;256;1;0;5;0;L1060012;1930;1970;1999;x
Jakov;1060013;U62;1930;1990;1990;1990;3;2;1;0;0;5;0;L523013;1930;1970;1999;x
Karamzhin;1060014;U62;1930;1939;1990;1990;2;3;256;1;0;5;0;L523014;1930;1970;1999;x
Karenin;1060015;U62;1930;1990;1990;1990;3;2;0;0;0;5;0;L523015;1930;1970;1999;x
Khadartsev;1060016;U62;1930;1990;1990;1990;3;2;64;0;0;5;0;L1060016;1930;1970;1999;x
Klossovski;1060017;U62;1930;1990;1990;1990;3;2;0;0;0;5;0;L523017;1930;1970;1999;x
Konoros;1060018;U62;1930;1930;1990;1990;2;3;16;0;0;5;0;L523018;1930;1970;1999;x
Korovalcheff;1060019;U62;1930;1930;1930;1990;1;6;537;1;0;5;0;M523042;1930;1970;1999;x
Kosov;1060020;U62;1930;1930;1930;1990;1;2;513;1;0;5;0;L523020;1930;1970;1999;x
Kovlon;1060021;U62;1930;1930;1930;1990;1;2;514;1;0;5;0;M523041;1930;1970;1999;x
Kudrov;1060022;U62;1930;1930;1990;1990;2;3;0;0;0;5;0;L523022;1930;1970;1999;x
Kuzmenko;1060023;U62;1930;1939;1990;1990;3;3;32;1;0;5;0;L1060023;1930;1970;1999;x
Lavrov;1060024;U62;1930;1990;1990;1990;3;2;0;0;0;5;0;L523024;1930;1970;1999;x
Lebedjev;1060025;U62;1930;1930;1930;1990;1;2;520;1;0;5;0;L523025;1930;1990;1999;x
Lepushin;1060026;U62;1930;1940;1990;1990;3;3;128;1;0;5;0;L523026;1930;1970;1999;x
Lobov;1060027;U62;1930;1930;1990;1990;2;2;16;0;0;5;0;L523027;1930;1970;1999;x
Machinko;1060028;U62;1930;1930;1939;1990;2;3;1;1;0;5;0;L523028;1930;1970;1999;x
Marfiniev;1060029;U62;1930;1930;1990;1990;2;2;513;1;0;5;0;L523029;1930;1970;1999;x
Merkulov;1060030;U62;1930;1930;1941;1990;2;3;0;1;0;5;0;M523005;1930;1970;1999;x
Mikhailovich;1060031;U62;1930;1930;1940;1990;1;5;9;1;0;5;0;L523031;1930;1970;1999;x
Morchenko;1060032;U62;1930;1930;1990;1990;2;3;0;0;0;5;0;L523032;1930;1970;1999;x
Nikitin;1060033;U62;1930;1939;1941;1990;2;3;2;2;0;5;0;M523007;1930;1970;1999;x
Onopkov;1060034;U62;1930;1990;1990;1990;3;5;264;0;0;5;0;L523034;1930;1970;1999;x
Plautin;1060035;U62;1930;1939;1990;1990;3;3;1;1;0;5;0;L523035;1930;1970;1999;x
Saburov;1060036;U62;1930;1941;1990;1990;3;4;12;1;0;5;0;M523039;1930;1970;1999;x
Porelov;1060037;U62;1930;1990;1990;1990;3;5;256;0;0;5;0;L1060037;1930;1970;1999;x
Mikitsky;1060038;U62;1930;1990;1990;1990;3;3;64;0;0;5;0;L1060038;1930;1970;1999;x
Obruchko;1060039;U62;1930;1990;1990;1990;3;4;514;1;0;5;0;L1060039;1930;1970;1999;x
Neumoev;1060040;U62;1930;1990;1990;1990;3;3;128;0;0;5;0;L1060040;1930;1970;1999;x
Dmyrkin;1060041;U62;1930;1930;1990;1990;2;2;0;0;0;5;1;L504000;1930;1970;1999;x
Dranilov;1060042;U62;1930;1990;1990;1990;3;2;0;0;0;5;1;L502012;1930;1970;1999;x
Ertelkin;1060043;U62;1930;1930;1990;1990;2;2;8192;0;0;5;1;L502013;1930;1970;1999;x
Kulchin;1060044;U62;1930;1990;1990;1990;3;2;0;0;0;5;1;L502015;1930;1970;1999;x
Samarskiy;1060045;U62;1930;1990;1990;1990;3;2;0;0;0;5;1;M520034;1930;1970;1999;x
Abakumov;1060046;U62;1930;1990;1990;1990;3;3;16384;0;0;5;2;M523010;1930;1970;1999;x
Paramonov;1060047;U62;1930;1942;1990;1990;2;3;0;1;0;5;2;L1060047;1930;1970;1999;x
Shustenko;1060048;U62;1930;1940;1990;1990;2;3;8192;1;0;5;2;L1060048;1930;1970;1999;x
Porechenkov;1060049;U62;1930;1941;1990;1990;3;3;0;1;0;5;2;L1060049;1930;1970;1999;x
Walz;1060050;U62;1930;1943;1990;1990;3;3;4096;1;0;5;2;L523052;1930;1970;1999;x
