Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Allen;54000;AST;1941;1990;1990;1990;3;5;0;2;0;5;0;L54000;1941;1990;1990;x
Anderson;54001;AST;1942;1990;1990;1990;3;4;1;1;0;5;0;L54001;1942;1990;1990;x
Barker;54002;AST;1942;1990;1990;1990;3;5;64;1;0;5;0;L54002;1942;1990;1990;x
Beavis;54003;AST;1942;1990;1990;1990;3;5;1;1;0;5;0;L54003;1942;1990;1990;x
Bennett;54004;AST;1939;1942;1990;1990;2;6;0;3;0;5;0;L54004;1939;1990;1990;x
Berryman;54005;AST;1942;1944;1990;1990;2;6;1;3;0;5;0;L54005;1942;1990;1990;x
Bierwirth;54116;AST;1942;1990;1990;1990;3;5;1;1;0;5;0;L54116;1942;1990;1990;x
Blackburn;54007;AST;1942;1990;1990;1990;3;5;4;1;0;5;0;L54007;1942;1990;1990;x
Blamey;54008;AST;1930;1939;1941;1950;1;6;5;3;0;5;0;L54008;1930;1990;1990;x
Boase;54009;AST;1942;1949;1990;1990;3;5;1;2;0;5;0;L54009;1942;1990;1990;x
Bridgeford;54010;AST;1942;1950;1990;1990;3;5;1;2;0;5;0;L54010;1942;1990;1990;x
Bundock;54117;AST;1940;1990;1990;1990;3;4;64;1;0;5;0;L54117;1940;1990;1990;x
Burrows;54011;AST;1942;1990;1990;1990;3;5;4;1;0;5;0;L54011;1942;1990;1990;x
Callaghan;54012;AST;1942;1990;1990;1990;3;5;64;2;0;5;0;L54012;1942;1990;1990;x
Cameron;54013;AST;1941;1990;1990;1990;3;5;0;1;0;5;0;L54013;1941;1990;1990;x
Cannan;54014;AST;1940;1990;1990;1990;3;5;1;2;0;5;0;L54014;1940;1990;1990;x
Chapman;54118;AST;1942;1990;1990;1990;3;5;1;1;0;5;0;L54118;1942;1990;1990;x
Chilton;54119;AST;1943;1990;1990;1990;3;5;2;1;0;5;0;L54119;1943;1990;1990;x
Clowes;54015;AST;1942;1946;1990;1990;3;5;2;2;0;5;0;L54015;1942;1990;1990;x
Cremor;54016;AST;1942;1990;1990;1990;3;4;64;1;0;5;0;L54016;1942;1990;1990;x
Dougherty;54017;AST;1942;1990;1990;1990;3;6;4;1;0;5;0;L54017;1942;1990;1990;x
Drake-Brockman E.A.;54120;AST;1937;1990;1990;1990;3;5;0;2;0;5;0;L54120;1937;1942;1942;x
Drake-Brockman G.;54121;AST;1943;1990;1990;1990;3;4;32;1;0;5;0;L54121;1943;1945;1945;x
Durrant;54122;AST;1940;1990;1990;1990;3;5;1;2;0;5;0;L54122;1940;1990;1990;x
Dyke;54123;AST;1942;1990;1990;1990;3;5;64;1;0;5;0;L54123;1942;1990;1990;x
Eastick;54018;AST;1943;1990;1990;1990;3;4;64;1;0;5;0;L54018;1943;1990;1990;x
Eather;54019;AST;1945;1990;1990;1990;3;6;4;2;0;5;0;L54019;1945;1990;1990;x
Evans;54020;AST;1943;1990;1990;1990;3;5;0;1;0;5;0;L54020;1943;1990;1990;x
Fergusson;54021;AST;1942;1990;1990;1990;3;5;128;1;0;5;0;L54021;1942;1990;1990;x
Fewtrell;54124;AST;1941;1990;1990;1990;3;4;32;1;0;5;0;L54124;1941;1945;1945;x
Field;54022;AST;1942;1990;1990;1990;3;5;0;1;0;5;0;L54022;1942;1990;1990;x
Fullarton;54125;AST;1943;1990;1990;1990;3;4;1;1;0;5;0;L54125;1943;1990;1990;x
Garrett;54126;AST;1944;1990;1990;1990;3;6;1;1;0;5;0;L54126;1944;1990;1990;x
Godfrey;54023;AST;1941;1990;1990;1990;3;5;0;1;0;5;0;L54023;1941;1990;1990;x
Hammer;54127;AST;1943;1990;1990;1990;3;5;4;1;0;5;0;L54127;1943;1990;1990;x
Henderson;54128;AST;1930;1990;1990;1990;3;4;32;1;0;5;0;L54128;1930;1944;1944;x
Herring;54024;AST;1941;1942;1990;1990;2;6;64;2;0;5;0;L54024;1941;1990;1990;x
Hinton;54129;AST;1938;1990;1990;1990;3;4;128;1;0;5;0;L54129;1938;1943;1943;x
