Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Baele;68003;BEL;1942;1990;1990;1990;3;6;64;2;0;5;0;L68003;1942;1990;1990;x
Bastin;68000;BEL;1941;1990;1990;1990;3;4;4;1;0;5;0;L68000;1941;1990;1990;x
Beernaert;68001;BEL;1939;1990;1990;1990;3;4;4;2;0;5;0;L68001;1939;1990;1990;x
Bievez;68006;BEL;1941;1990;1990;1990;3;4;0;1;0;5;0;L68006;1941;1990;1990;x
Chardome;68002;BEL;1940;1990;1990;1990;3;5;264;2;0;2;0;L68002;1940;1990;1990;x
Coppens;68035;BEL;1937;1939;1990;1990;3;4;0;2;0;5;0;L68035;1937;1990;1990;x
Daufresne de la Chevalerie;68004;BEL;1937;1941;1990;1990;2;5;0;2;0;5;0;L68004;1937;1990;1990;x
De Boeck;68011;BEL;1941;1990;1990;1990;3;4;4;1;0;5;0;L68011;1941;1990;1990;x
de Hennin de Boussu-Walcourt;68005;BEL;1930;1940;1990;1990;3;4;0;2;0;5;0;L68005;1930;1990;1990;x
de Neve de Roden;68016;BEL;1930;1930;1990;1990;2;5;4;2;0;5;0;L68016;1930;1990;1990;x
de Selliers de Moranville;68022;BEL;1930;1930;1990;1990;2;4;516;1;0;5;0;L68022;1930;1946;1946;x
de Wulf;68017;BEL;1937;1990;1990;1990;3;4;0;2;0;5;0;L68017;1937;1990;1990;x
Deffontaine;68008;BEL;1930;1939;1990;1990;2;5;2;2;0;5;0;L68008;1930;1990;1990;x
Denis;68009;BEL;1930;1930;1990;1990;2;5;512;2;0;5;0;L68009;1930;1945;1945;x
Derousseaux;68034;BEL;1938;1940;1990;1990;3;4;0;2;0;5;0;L68034;1938;1990;1990;x
Descamps;68010;BEL;1938;1990;1990;1990;3;5;264;2;0;5;0;L68010;1938;1990;1990;x
Duthoy;68012;BEL;1930;1990;1990;1990;3;4;0;2;0;5;0;L68012;1930;1990;1990;x
Duvivier;68051;BEL;1930;1937;1990;1990;3;4;2;1;0;5;0;L68051;1930;1990;1990;x
Fromont;68023;BEL;1939;1941;1990;1990;2;6;0;2;0;5;0;L68023;1939;1990;1990;x
Gerard;68013;BEL;1941;1990;1990;1990;3;4;0;1;0;5;0;L68013;1941;1990;1990;x
Goethals;68050;BEL;1941;1947;1990;1990;3;5;0;1;0;5;0;L68050;1941;1990;1990;x
Graff;68025;BEL;1938;1990;1990;1990;3;4;0;2;0;5;0;L68025;1938;1990;1990;x
Keyaerts;68015;BEL;1937;1939;1990;1990;2;5;0;2;`;5;0;L68015;1937;1990;1990;x
Lebert;68031;BEL;1938;1990;1990;1990;3;4;0;2;0;5;0;L68031;1938;1990;1990;x
Leroy;68052;BEL;1938;1990;1990;1990;3;4;8;2;0;5;0;L68052;1938;1990;1990;x
Ley;68032;BEL;1937;1940;1990;1990;3;5;264;2;0;5;0;L68032;1937;1990;1990;x
Michiels;68018;BEL;1937;1940;1990;1990;2;5;0;2;0;5;0;L68018;1937;1990;1990;x
Nuyten;68019;BEL;1939;1939;1990;1990;2;5;512;2;0;5;0;L68019;1939;1990;1990;x
Pire;68020;BEL;1930;1937;1990;1990;2;5;264;2;0;5;0;L68020;1930;1990;1990;x
Piron;68021;BEL;1945;1947;1990;1990;2;6;4;2;0;5;0;L68021;1941;1990;1990;x
Thomas;68033;BEL;1941;1990;1990;1990;3;5;64;1;0;5;0;L68033;1941;1990;1990;x
Van Daele;68026;BEL;1938;1990;1990;1990;3;4;0;1;0;5;0;L68026;1938;1990;1990;x
van den Bergen;68027;BEL;1930;1930;1937;1990;2;5;66;2;0;5;0;L68027;1930;1990;1990;x
van der Haeghen;68014;BEL;1942;1990;1990;1990;3;4;0;1;0;5;0;L68014;1942;1990;1990;x
van der Hofstadt;68028;BEL;1937;1940;1990;1990;3;4;0;2;0;5;0;L68028;1937;1990;1990;x
van der Veken;68029;BEL;1930;1930;1990;1990;2;5;0;2;0;5;0;L68029;1930;1990;1990;x
van Overstraeten;68030;BEL;1938;1990;1990;1990;3;5;0;1;0;5;0;L68030;1938;1990;1990;x
van Strydonck de Burkel;68024;BEL;1930;1930;1990;1990;2;6;516;2;0;5;0;L68024;1930;1990;1990;x
Vantrooyen;68007;BEL;1937;1990;1990;1990;3;4;0;2;0;5;0;L68007;1937;1990;1990;x
Billet;68039;BEL;1940;1990;1990;1990;3;3;0;0;0;5;1;L68039;1940;1990;1990;x
Paret;68038;BEL;1940;1990;1990;1990;3;2;512;0;0;5;1;L68038;1940;1990;1990;x
Petitjean;68037;BEL;1944;1990;1990;1990;3;2;0;0;0;5;1;L68037;1944;1990;1990;x
Timmermans;68040;BEL;1941;1946;1990;1990;3;5;2048;0;0;5;1;L68040;1941;1990;1990;x
Van Vaerenbergh;68036;BEL;1939;1990;1990;1990;3;2;0;0;0;5;1;L68036;1939;1990;1990;x
Daumerie;68041;BEL;1930;1990;1990;1990;3;3;0;0;0;5;2;L68041;1930;1990;1990;x
Desmet;68042;BEL;1930;1945;1990;1990;3;5;16384;1;0;5;2;L68042;1930;1990;1990;x
Guillaume;68045;BEL;1945;1990;1990;1990;3;4;0;1;0;5;2;L68045;1945;1990;1990;x
