Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Antonov;34000;BUL;1941;1990;1990;1990;3;4;4;1;0;2;0;L34000;1941;1990;1990;x
Ayryanov ;34039;BUL;1940;1990;1990;1990;3;5;32;2;0;4;0;L34039;1940;1942;1942;x
Balarev;34001;BUL;1943;1990;1990;1990;3;4;0;1;0;2;0;L34001;1943;1990;1990;x
Bedzhev;34002;BUL;1944;1990;1990;1990;3;4;0;1;0;4;0;L34002;1944;1990;1990;x
Bekyarov;34003;BUL;1941;1990;1990;1990;3;4;33;1;0;4;0;L34003;1941;1990;1990;x
Boyadzhiev;34044;BUL;1943;1990;1990;1990;3;4;65;1;0;2;0;L34044;1943;1990;1990;x
Boydev;34004;BUL;1942;1943;1990;1990;2;5;4;1;0;3;0;L34004;1942;1990;1990;x
Daskalov A.K.;34005;BUL;1938;1990;1990;1990;3;4;64;1;0;2;0;L34005;1938;1990;1990;x
Daskalov T.P.;34006;BUL;1930;1939;1990;1990;2;5;0;2;0;3;0;L34006;1930;1990;1990;x
Dotsev;34008;BUL;1944;1990;1990;1990;3;4;64;1;0;3;0;L34008;1944;1990;1990;x
Ganev;34009;BUL;1939;1990;1990;1990;3;4;32;1;0;3;0;L34009;1939;1990;1990;x
Genev;34018;BUL;1943;1990;1990;1990;3;5;4;1;0;2;0;L34018;1943;1990;1990;x
Genov;34007;BUL;1943;1990;1990;1990;3;4;128;1;0;4;0;L34007;1943;1990;1990;x
Georgiev;34012;BUL;1930;1930;1990;1990;2;5;0;2;0;4;0;L34012;1930;1937;1937;x
Gochev;34013;BUL;1942;1990;1990;1990;3;4;1;1;0;2;0;L34013;1942;1990;1990;x
Grozdanov;34015;BUL;1943;1990;1990;1990;3;4;0;1;0;4;0;L34015;1943;1990;1990;x
Hadzhipetkov;34016;BUL;1937;1940;1990;1990;2;5;0;2;0;2;0;L34016;1937;1990;1990;x
Harzianov;34014;BUL;1945;1990;1990;1990;3;4;64;1;0;2;0;L34014;1945;1990;1990;x
Karov;34017;BUL;1943;1990;1990;1990;3;3;0;1;0;2;0;L34017;1943;1990;1990;x
Kozarov;34019;BUL;1944;1990;1990;1990;3;4;0;1;0;2;0;L34019;1944;1990;1990;x
Kraev;34020;BUL;1940;1990;1990;1990;3;4;4;1;0;2;0;L34020;1940;1990;1990;x
Krstev A.I.;34025;BUL;1941;1990;1990;1990;3;5;0;1;0;2;0;L34025;1941;1990;1990;x
Krstev S.V.;34022;BUL;1945;1990;1990;1990;3;4;32;1;0;2;0;L34022;1945;1990;1990;x
Lukash;34026;BUL;1938;1940;1990;1990;2;6;0;2;0;1;0;L34026;1938;1990;1990;x
Lukov;34027;BUL;1930;1938;1990;1990;2;5;64;2;0;3;0;L34027;1930;1990;1990;x
Marinov;34030;BUL;1943;1944;1990;1990;2;6;0;2;0;5;0;L34030;1943;1990;1990;x
Markov G.M.;34023;BUL;1930;1939;1990;1990;2;5;1;2;0;2;0;L34023;1930;1990;1990;x
Markov I.H.;34024;BUL;1937;1940;1990;1990;2;5;4;1;0;2;0;L34024;1937;1990;1990;x
Markov N.T.;34031;BUL;1930;1940;1990;1990;2;5;0;2;0;3;0;L34031;1930;1990;1990;x
Mihov;34034;BUL;1938;1942;1990;1990;2;5;64;2;0;1;0;L34034;1938;1990;1990;x
Minchov;34035;BUL;1944;1990;1990;1990;3;4;4;1;0;2;0;L34035;1944;1990;1990;x
Mirchev ;34032;BUL;1944;1990;1990;1990;3;4;32;1;0;3;0;L34032;1944;1990;1990;x
Nakov;34028;BUL;1940;1944;1990;1990;2;5;0;2;0;2;0;L34028;1940;1990;1990;x
Nikolov  A.D.;34037;BUL;1940;1943;1990;1990;2;5;66;1;0;5;0;L34037;1940;1990;1990;x
Nikolov D.P.;34038;BUL;1930;1990;1990;1990;3;4;1;1;0;3;0;L34038;1930;1940;1940;x
Peev;34040;BUL;1930;1990;1990;1990;3;5;0;2;0;4;0;L34040;1930;1939;1939;x
Penev;34029;BUL;1940;1990;1990;1990;3;4;4;1;0;2;0;L34029;1940;1990;1990;x
Pironkov;34041;BUL;1944;1990;1990;1990;2;4;64;1;0;3;0;L34041;1944;1990;1990;x
Popdimitrov;34033;BUL;1943;1990;1990;1990;3;5;0;1;0;2;0;L34033;1943;1990;1990;x
Popov G.N.;34043;BUL;1930;1938;1990;1990;2;5;0;2;0;4;0;L34043;1930;1990;1990;x
