Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Alexander;52000;CAN;1940;1990;1990;1990;3;4;1;1;0;5;0;L52000;1940;1990;1990;x
Allard;52001;CAN;1945;1990;1990;1990;3;7;4;1;0;5;0;L52001;1945;1990;1990;x
Anderson T.V.;52003;CAN;1930;1938;1990;1990;2;6;1;3;0;5;0;L52003;1930;1943;1943;x
Archambault;52008;CAN;1939;1990;1990;1990;3;4;1;1;0;5;0;L52008;1939;1990;1990;x
Bernatchez;52005;CAN;1944;1990;1990;1990;3;5;0;1;0;5;0;L52005;1944;1990;1990;x
Blackader;52009;CAN;1942;1990;1990;1990;3;5;4;1;0;5;0;L52009;1942;1990;1990;x
Bostock;52041;CAN;1943;1990;1990;1990;3;4;33;1;0;5;0;L52041;1943;1990;1990;x
Bradbrooke G.F.P.;52033;CAN;1942;1990;1990;1990;3;5;256;0;0;5;0;L52033;1942;1990;1990;x
Bradbrooke G.R.;52006;CAN;1942;1990;1990;1990;3;5;128;1;0;5;0;L52006;1942;1990;1990;x
Brownfield;52007;CAN;1942;1990;1990;1990;3;5;64;1;0;5;0;L52007;1942;1990;1990;x
Burns;52010;CAN;1943;1944;1990;1990;2;6;160;2;0;5;0;L52010;1943;1990;1990;x
Calder;52011;CAN;1944;1990;1990;1990;3;4;0;1;0;5;0;L52011;1944;1990;1990;x
Crerar;52013;CAN;1940;1942;1944;1990;1;7;5;3;0;5;0;L52013;1940;1990;1990;x
Cunningham;52014;CAN;1944;1990;1990;1990;3;5;0;1;0;5;0;L52014;1944;1990;1990;x
Eadie;52071;CAN;1945;1990;1990;1990;3;5;256;0;0;5;0;L52071;1945;1990;1990;x
Elkins;52016;CAN;1938;1940;1990;1990;3;5;1;2;0;5;0;L52016;1938;1944;1944;x
Foster;52018;CAN;1944;1990;1990;1990;3;6;0;2;0;5;0;L52018;1944;1990;1990;x
Foulkes;52019;CAN;1944;1945;1946;1990;2;7;0;3;0;5;0;L52019;1944;1990;1990;x
Francoeur;52020;CAN;1943;1990;1990;1990;3;4;0;1;0;5;0;L52020;1943;1990;1990;x
Ganong H.N.;52017;CAN;1942;1990;1990;1990;3;4;0;1;0;5;0;L52017;1942;1990;1990;x
Ganong J.E.;52047;CAN;1944;1990;1990;1990;3;4;4;1;0;5;0;L52047;1944;1990;1990;x
Gibson;52079;CAN;1944;1990;1990;1990;3;5;1;2;0;5;0;L52079;1944;1990;1990;x
Gostling;52023;CAN;1943;1990;1990;1990;3;4;5;1;0;5;0;L52023;1943;1990;1990;x
Griesbach;52046;CAN;1940;1990;1990;1990;3;5;512;2;0;5;0;L52046;1940;1943;1943;x
Harvey;52024;CAN;1941;1990;1990;1990;3;4;4;1;0;5;0;L52024;1941;1990;1990;x
Hertzberg;52025;CAN;1942;1990;1990;1990;3;5;32;2;0;5;0;L52025;1942;1944;1944;x
Hoffmeister;52026;CAN;1944;1990;1990;1990;3;7;132;2;0;5;0;L52026;1944;1990;1990;x
Hyde;52028;CAN;1944;1990;1990;1990;3;5;64;1;0;5;0;L52028;1944;1990;1990;x
Jefferson;52029;CAN;1944;1990;1990;1990;3;4;0;1;0;5;0;L52029;1944;1990;1990;x
Johnston;52027;CAN;1944;1990;1990;1990;3;5;4;1;0;5;0;L52027;1944;1990;1990;x
Keefler;52030;CAN;1945;1990;1990;1990;3;5;68;1;0;5;0;L52030;1945;1990;1990;x
Keller;52031;CAN;1942;1990;1990;1990;3;5;0;2;0;5;0;L52031;1942;1990;1990;x
Kitching;52032;CAN;1944;1990;1990;1990;3;6;128;1;0;5;0;L52032;1944;1990;1990;x
Lawson;52034;CAN;1941;1990;1990;1990;3;5;2;1;0;5;0;L52034;1941;1990;1990;x
Leach;52042;CAN;1941;1990;1990;1990;3;4;64;1;0;5;0;L52042;1941;1990;1990;x
Leclerc;52035;CAN;1942;1990;1990;1990;3;5;0;2;0;5;0;L52035;1942;1990;1990;x
Lett;52015;CAN;1942;1990;1990;1990;3;5;0;1;0;5;0;L52015;1942;1990;1990;x
MacLean;52038;CAN;1942;1990;1990;1990;3;5;32;1;0;5;0;L52038;1942;1990;1990;x
Mann;52036;CAN;1942;1990;1990;1990;3;5;0;1;0;5;0;L52036;1942;1990;1990;x
Martin;52037;CAN;1940;1990;1990;1990;3;5;0;1;0;5;0;L52037;1940;1990;1990;x
Matthews;52039;CAN;1945;1990;1990;1990;3;5;68;1;0;5;0;L52039;1945;1990;1990;x
McCarter;52040;CAN;1942;1990;1990;1990;3;4;2;1;0;5;0;L52040;1942;1990;1990;x
McNaughton;52044;CAN;1930;1940;1944;1990;1;6;3;2;0;5;0;L52044;1930;1990;1990;x
Melville;52045;CAN;1942;1990;1990;1990;3;4;32;1;0;5;0;L52045;1942;1990;1990;x
Murchie;52048;CAN;1942;1944;1990;1990;2;6;1;2;0;5;0;L52048;1942;1990;1990;x
Nicklin;52050;CAN;1944;1990;1990;1990;3;5;256;0;0;5;0;L52050;1944;1990;1990;x
Odlum;52022;CAN;1940;1990;1990;1990;3;5;512;2;0;5;0;L52022;1940;1990;1990;x
Pearkes;52053;CAN;1940;1990;1990;1990;3;5;4;2;0;5;0;L52053;1940;1990;1990;x
Phelan;52051;CAN;1940;1990;1990;1990;3;5;1;1;0;5;0;L52051;1940;1990;1990;x
Pope;52074;CAN;1942;1945;1990;1990;3;5;1;2;0;5;0;L52074;1942;1990;1990;x
Price;52055;CAN;1941;1990;1990;1990;3;4;0;2;0;5;0;L52055;1941;1990;1990;x
Roaf;52056;CAN;1944;1990;1990;1990;3;4;1;1;0;5;0;L52056;1944;1990;1990;x
Roberts;52057;CAN;1942;1990;1990;1990;3;5;64;2;0;5;0;L52057;1942;1990;1990;x
Rockingham;52058;CAN;1945;1990;1990;1990;3;7;4;1;0;5;0;L52058;1945;1990;1990;x
Rodger;52052;CAN;1943;1990;1990;1990;3;5;1;1;0;5;0;L52052;1943;1990;1990;x
Sager;52004;CAN;1943;1990;1990;1990;3;5;0;1;0;5;0;L52004;1943;1990;1990;x
Salmon;52061;CAN;1942;1990;1990;1990;3;6;0;2;0;5;0;L52061;1942;1990;1990;x
Sansom;52062;CAN;1940;1943;1990;1990;2;6;129;2;0;5;0;L52062;1940;1990;1990;x
Sharp;52063;CAN;1943;1990;1990;1990;3;4;0;1;0;5;0;L52063;1943;1990;1990;x
Shields;52064;CAN;1942;1990;1990;1990;3;4;1;1;0;5;0;L52064;1942;1990;1990;x
Simonds;52065;CAN;1943;1944;1990;1990;2;8;132;3;0;5;0;L52065;1943;1990;1990;x
Smith;52059;CAN;1943;1990;1990;1990;3;5;128;1;0;5;0;L52059;1943;1990;1990;x
Southam;52002;CAN;1942;1990;1990;1990;3;5;4;1;0;5;0;L52002;1942;1990;1990;x
Spragee;52066;CAN;1944;1990;1990;1990;3;5;4;1;0;5;0;L52066;1944;1990;1990;x
Spry;52067;CAN;1944;1990;1990;1990;3;5;0;1;0;5;0;L52067;1944;1990;1990;x
Stein;52060;CAN;1943;1990;1990;1990;3;5;33;1;0;5;0;L52060;1943;1990;1990;x
Stuart;52070;CAN;1941;1942;1990;1990;2;6;33;3;0;5;0;L52070;1941;1990;1990;x
Thackray;52021;CAN;1942;1990;1990;1990;3;4;64;1;0;5;0;L52021;1942;1990;1990;x
Todd;52075;CAN;1943;1990;1990;1990;3;5;64;1;0;5;0;L52075;1943;1990;1990;x
Topp;52068;CAN;1940;1990;1990;1990;3;4;0;1;0;5;0;L52068;1940;1990;1990;x
Tremain;52069;CAN;1943;1990;1990;1990;3;5;64;1;0;5;0;L52069;1943;1990;1990;x
Vanier;52072;CAN;1942;1990;1990;1990;3;5;0;2;0;5;0;L52072;1942;1990;1990;x
Vokes;52073;CAN;1944;1990;1990;1990;3;6;129;1;0;5;0;L52073;1944;1990;1990;x
Worthington;52078;CAN;1942;1990;1990;1990;3;7;128;3;0;5;0;L52078;1942;1990;1990;x
Wyman;52012;CAN;1942;1990;1990;1990;3;4;192;1;0;5;0;L52012;1942;1990;1990;x
Young;52077;CAN;1942;1990;1990;1990;3;5;1;1;0;5;0;L52077;1942;1990;1990;x
Ziegler;52076;CAN;1944;1990;1990;1990;3;5;64;1;0;5;0;L52076;1944;1990;1990;x
Agnew;52080;CAN;1941;1990;1990;1990;3;4;0;1;0;5;1;L52080;1941;1990;1990;x
Bidwell;52086;CAN;1943;1990;1990;1990;3;5;0;1;0;5;1;L52086;1943;1990;1990;x
Brodeur;52082;CAN;1940;1942;1990;1990;3;5;0;2;0;5;1;L52082;1940;1990;1990;x
Creery;52088;CAN;1942;1990;1990;1990;3;5;0;1;0;5;1;L52088;1942;1990;1990;x
Cross;52122;CAN;1946;1990;1990;1990;3;4;0;1;0;5;1;L52122;1946;1990;1990;x
DeWolf;52084;CAN;1944;1948;1990;1990;3;7;12288;2;0;5;1;L52084;1944;1990;1990;x
Godfrey;52090;CAN;1943;1990;1990;1990;3;5;8192;1;0;5;1;L52090;1943;1990;1990;x
Grant;52097;CAN;1940;1946;1947;1990;2;6;4096;1;0;5;1;L52097;1940;1990;1990;x
Hart;52091;CAN;1944;1990;1990;1990;3;4;0;1;0;5;1;L52091;1944;1990;1990;x
Hope;52092;CAN;1943;1990;1990;1990;3;4;0;1;0;5;1;L52092;1943;1990;1990;x
Houghton;52098;CAN;1943;1949;1990;1990;3;5;8192;1;0;5;1;L52098;1943;1990;1990;x
Jones;52085;CAN;1940;1942;1944;1990;2;6;4096;2;0;5;1;L52085;1940;1990;1990;x
Lay;52094;CAN;1945;1990;1990;1990;3;5;0;1;0;5;1;L52094;1945;1990;1990;x
Mainguy;52095;CAN;1941;1947;1990;1990;3;6;8192;1;0;5;1;L52095;1941;1990;1990;x
Miles;52121;CAN;1944;1990;1990;1990;3;5;8192;1;0;5;1;L52121;1944;1990;1990;x
Murray;52087;CAN;1941;1942;1990;1990;3;6;2048;3;0;5;1;L52087;1941;1990;1990;x
Nelles;52089;CAN;1930;1938;1941;1990;2;6;4096;3;0;5;1;L52089;1930;1990;1990;x
Prentice;52083;CAN;1943;1990;1990;1990;3;6;8192;1;0;5;1;L52083;1943;1990;1990;x
Price;52081;CAN;1945;1990;1990;1990;3;4;0;1;0;5;1;L52081;1945;1990;1990;x
Pullen;52123;CAN;1946;1990;1990;1990;3;5;0;1;0;5;1;L52123;1946;1990;1990;x
Reid;52093;CAN;1941;1944;1946;1990;2;5;0;2;0;5;1;L52093;1941;1990;1990;x
Stuart;52096;CAN;1942;1990;1990;1990;3;4;512;1;0;5;1;L52096;1942;1945;1945;x
Bishop;52099;CAN;1930;1930;1938;1990;2;6;4096;2;0;5;2;L52099;1930;1944;1944;x
Breadner;52103;CAN;1938;1940;1941;1990;1;6;0;3;0;5;2;L52103;1938;1990;1990;x
Brookes;52100;CAN;1940;1942;1990;1990;2;5;32768;2;0;5;2;L52100;1940;1990;1990;x
Brown;52111;CAN;1945;1990;1990;1990;3;5;0;1;0;5;2;L52111;1945;1990;1990;x
Campbell;52105;CAN;1943;1945;1990;1990;3;6;0;1;0;5;2;L52105;1943;1990;1990;x
Croil;52101;CAN;1930;1938;1990;1990;2;6;0;3;0;5;2;L52101;1930;1944;1944;x
Cuffe;52102;CAN;1930;1942;1990;1990;2;5;0;2;0;5;2;L52102;1930;1990;1990;x
Curtis;52107;CAN;1940;1943;1947;1990;1;7;4096;2;0;5;2;L52107;1940;1990;1990;x
Dunlap;52114;CAN;1944;1990;1990;1990;3;6;16384;1;0;5;2;L52114;1944;1990;1990;x
Edwards;52104;CAN;1940;1941;1942;1990;2;7;0;3;0;5;2;L52104;1940;1944;1944;x
Fauquier;52119;CAN;1944;1990;1990;1990;3;6;32768;2;0;5;2;L52119;1944;1990;1990;x
