Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Begic;44600;CRO;1941;1944;1945;1990;2;4;513;1;0;4;0;L44600;1941;1990;1990;x
Boban;44601;CRO;1944;1990;1990;1990;3;3;0;0;0;4;0;L44601;1944;1990;1990;x
Canic;44602;CRO;1943;1944;1990;1990;3;5;4;1;0;4;0;L44602;1943;1990;1990;x
Dragojlov;44604;CRO;1943;1944;1990;1990;2;4;512;1;0;5;0;L44604;1943;1990;1990;x
Kvaternik;44608;CRO;1930;1930;1930;1930;0;6;514;2;0;4;0;L44608;1930;1943;1943;x
Laxa;44609;CRO;1930;1930;1990;1990;2;5;512;2;0;4;0;L44609;1930;1943;1943;x
Luburic;44611;CRO;1945;1990;1990;1990;3;2;0;0;0;3;0;L44611;1945;1990;1990;x
Lukic;44612;CRO;1940;1990;1990;1990;3;5;264;1;0;3;0;L44612;1940;1990;1990;x
Markulj;44614;CRO;1942;1990;1990;1990;3;5;8;1;0;3;0;L44614;1942;1990;1990;x
Moskov;44616;CRO;1945;1990;1990;1990;3;2;0;0;0;3;0;L44616;1945;1990;1990;x
Murkovic;44603;CRO;1943;1990;1990;1990;3;4;0;1;0;4;0;L44603;1943;1990;1990;x
Opacic;44618;CRO;1940;1990;1990;1990;3;4;0;1;0;4;0;L44618;1940;1990;1990;x
Palcic;44605;CRO;1930;1990;1990;1990;3;3;0;1;0;4;0;L44605;1930;1990;1990;x
Percevic;44621;CRO;1930;1944;1990;1990;3;3;0;1;0;5;0;L44621;1930;1990;1990;x
Prohaska;44606;CRO;1943;1990;1990;1990;3;4;64;1;0;4;0;L44606;1943;1990;1990;x
Rolf;44617;CRO;1945;1990;1990;1990;3;2;0;0;0;4;0;L44617;1945;1990;1990;x
Sabljak;44607;CRO;1944;1990;1990;1990;3;4;0;1;0;4;0;L44607;1944;1990;1990;x
Sertic;44610;CRO;1944;1990;1990;1990;3;4;0;0;0;4;0;L44610;1944;1990;1990;x
Servatzy;44613;CRO;1945;1990;1990;1990;3;2;0;0;0;4;0;L44613;1945;1990;1990;x
Simic;44615;CRO;1944;1990;1990;1990;3;4;0;1;0;4;0;L44615;1944;1990;1990;x
Solc;44622;CRO;1945;1990;1990;1990;3;4;0;1;0;4;0;L44622;1945;1990;1990;x
Stancer;44619;CRO;1930;1930;1990;1990;2;5;512;2;0;5;0;L44619;1930;1990;1990;x
Stimakovic;44623;CRO;1944;1990;1990;1990;3;4;0;1;0;4;0;L44623;1944;1990;1990;x
Vokic;44620;CRO;1944;1990;1990;1990;3;2;0;0;0;4;0;L44620;1944;1990;1990;x
Vuckovic;44624;CRO;1945;1990;1990;1990;3;3;0;1;0;4;0;L44624;1945;1990;1990;x
Angeli;44625;CRO;1930;1943;1990;1990;3;5;0;1;0;4;1;L44625;1930;1990;1990;x
Jakcin;44626;CRO;1930;1941;1990;1990;3;5;0;2;0;5;1;L44626;1930;1990;1990;x
Kacic-Dimitri;44628;CRO;1940;1990;1990;1990;3;4;0;1;0;0;1;L44628;1940;1990;1990;x
Vrkljan;44627;CRO;1942;1990;1990;1990;3;4;0;1;0;0;1;L44627;1942;1990;1990;x
Dzal;44632;CRO;1944;1990;1990;1990;3;5;4096;0;0;5;2;L44632;1944;1990;1990;x
Kren;44630;CRO;1930;1930;1990;1990;2;5;0;1;0;5;2;L44630;1930;1990;1990;x
Navratil;44631;CRO;1940;1943;1990;1990;3;5;4096;1;0;4;2;L44631;1940;1990;1990;x
Rogulja;44629;CRO;1941;1990;1990;1990;3;4;8192;0;0;4;2;L44629;1941;1990;1990;x
