Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adair;1000;ENG;1943;1990;1990;1990;3;5;128;2;0;5;0;L1000;1943;1990;1990;x
Adam;1001;ENG;1937;1938;1942;1990;2;6;65;3;0;5;0;L1001;1937;1990;1990;x
Airey;1003;ENG;1945;1990;1990;1990;3;5;16;1;0;5;0;L1003;1945;1990;1990;x
Aizlewood;1004;ENG;1943;1990;1990;1990;3;5;128;2;0;5;0;L1004;1943;1990;1990;x
Alanbrooke;1005;ENG;1930;1938;1941;1944;0;9;67;5;0;5;0;L1005;1930;1990;1990;x
Alexander;1006;ENG;1938;1940;1942;1944;0;8;2;4;0;5;0;L1006;1938;1990;1990;x
Allfrey;1007;ENG;1940;1942;1990;1990;2;6;0;2;0;5;0;L1007;1940;1990;1990;x
Anderson D.F.;1010;ENG;1938;1941;1990;1990;2;5;0;2;0;5;0;L1010;1938;1990;1990;x
Anderson K.A.N.;1011;ENG;1940;1941;1949;1990;1;7;2;3;0;5;0;L1011;1940;1990;1990;x
Arbuthnott;1012;ENG;1944;1990;1990;1990;3;6;4;2;0;5;0;L1012;1944;1990;1990;x
Archibald;1125;ENG;1940;1990;1990;1990;3;5;2;1;0;5;0;L1125;1940;1990;1990;x
Armitage;1002;ENG;1930;1938;1940;1990;2;5;65;2;0;5;0;L1002;1930;1943;1943;x
Armstrong;1017;ENG;1944;1990;1990;1990;3;4;0;1;0;5;0;L1017;1944;1990;1990;x
Auchinleck;1014;ENG;1930;1940;1941;1946;1;9;7;5;0;5;0;L1014;1930;1990;1990;x
Baillon;1015;ENG;1943;1990;1990;1990;3;5;1;1;0;5;0;L1015;1943;1990;1990;x
Banks;1021;ENG;1944;1990;1990;1990;3;4;1;1;0;5;0;L1021;1944;1990;1990;x
Barber;1008;ENG;1944;1990;1990;1990;3;5;0;2;0;5;0;L1008;1944;1990;1990;x
Barker E.H.;1022;ENG;1941;1945;1948;1990;2;5;0;2;0;5;0;L1022;1941;1990;1990;x
Barker M.G.H.;1023;ENG;1930;1939;1990;1990;2;4;1;1;0;5;0;L1023;1930;1990;1990;x
Bartholomew;1024;ENG;1930;1930;1937;1990;2;5;512;2;0;5;0;L1024;1930;1938;1938;x
Bastyan;1026;ENG;1945;1990;1990;1990;2;5;1;1;0;5;0;L1026;1945;1990;1990;x
Beck;1030;ENG;1930;1990;1990;1990;3;5;0;2;0;5;0;L1030;1930;1990;1990;x
Beckett;1031;ENG;1942;1990;1990;1990;3;5;2;1;0;5;0;L1031;1942;1990;1990;x
Beckwith-Smith;1032;ENG;1940;1990;1990;1990;3;5;0;2;0;5;0;L1032;1940;1990;1990;x
Beddington;1041;ENG;1945;1990;1990;1990;3;4;1;1;0;5;0;L1041;1945;1990;1990;x
Belchem;1034;ENG;1948;1990;1990;1990;3;5;128;1;0;5;0;L1034;1948;1990;1990;x
Bellamy;1214;ENG;1945;1990;1990;1990;3;5;256;1;0;5;0;L1214;1945;1990;1990;x
Benjamin;1094;ENG;1944;1990;1990;1990;3;5;32;1;0;5;0;L1094;1944;1990;1990;x
Beresford-Peirse;1095;ENG;1940;1942;1990;1990;2;6;5;2;0;5;0;L1095;1940;1990;1990;x
Berney-Ficklin;1035;ENG;1940;1990;1990;1990;3;5;0;2;0;5;0;L1035;1940;1990;1990;x
Bird;1037;ENG;1939;1941;1990;1990;3;5;33;1;0;5;0;L1037;1939;1990;1990;x
Birks;1038;ENG;1943;1990;1990;1990;3;5;128;2;0;5;0;L1038;1943;1990;1990;x
Bissett;1049;ENG;1942;1990;1990;1990;3;4;0;2;0;5;0;L1049;1942;1990;1990;x
Bols;1042;ENG;1945;1990;1990;1990;3;6;256;2;0;5;0;L1042;1945;1990;1990;x
Bond;1013;ENG;1937;1940;1990;1990;2;5;32;2;0;5;0;L1013;1937;1942;1942;x
Bonham-Carter;1054;ENG;1930;1930;1937;1990;2;5;513;2;0;5;0;L1054;1930;1940;1940;x
Bourne A.G.B.;1018;ENG;1938;1941;1990;1990;3;5;257;2;0;5;0;L1018;1938;1943;1943;x
Bourne G.K.;1044;ENG;1947;1990;1990;1990;3;6;256;2;0;5;0;L1044;1947;1990;1990;x
Bower;1045;ENG;1947;1990;1990;1990;3;6;256;2;0;5;0;L1045;1947;1990;1990;x
Bradshaw;1046;ENG;1942;1990;1990;1990;3;5;0;2;0;5;0;L1046;1942;1990;1990;x
Briggs R.;1048;ENG;1942;1990;1990;1990;3;5;128;2;0;5;0;L1048;1942;1990;1990;x
Bridgeman;1020;ENG;1942;1990;1990;1990;3;5;1;1;0;5;0;L1020;1942;1990;1990;x
Brind;1285;ENG;1930;1930;1939;1990;1;5;576;2;0;5;0;L1285;1930;1942;1942;x
Brooke-Popham;1051;ENG;1938;1938;1938;1990;1;6;513;2;0;5;0;L1051;1938;1942;1942;x
Brooks;1157;ENG;1943;1946;1948;1990;2;6;256;2;0;5;0;L1157;1943;1990;1990;x
Brown;1052;ENG;1938;1940;1990;1990;3;5;512;1;0;5;0;L1052;1938;1942;1942;x
Browning;1053;ENG;1941;1944;1990;1990;2;7;256;3;0;5;0;L1053;1941;1990;1990;x
Brownjohn;1025;ENG;1942;1990;1990;1990;3;6;1;1;0;5;0;L1025;1942;1990;1990;x
Brownrigg;1028;ENG;1930;1938;1990;1990;3;5;1;2;0;5;0;L1028;1930;1941;1941;x
Bucknall;1055;ENG;1941;1943;1990;1990;2;5;1;2;0;5;0;L1055;1941;1990;1990;x
Burnett-Stuart;1059;ENG;1930;1930;1990;1990;2;6;512;3;0;5;0;L1059;1930;1938;1938;x
Burrows;1050;ENG;1941;1943;1990;1990;3;5;128;2;0;5;0;L1050;1941;1990;1990;x
