Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Airo;9700;FIN;1940;1942;1990;1990;3;6;1;2;0;4;0;L9700;1940;1990;1990;x
Alfthan;9701;FIN;1941;1990;1990;1990;3;5;4;1;0;4;0;L9701;1941;1990;1990;x
Arajuuri;9702;FIN;1942;1990;1990;1990;3;5;8;2;0;4;0;L9702;1942;1990;1990;x
Autti;9703;FIN;1943;1990;1990;1990;3;6;8;3;0;4;0;L9703;1943;1990;1990;x
Blick;9704;FIN;1940;1948;1990;1990;3;6;12;2;0;4;0;L9704;1940;1990;1990;x
Ekberg;9705;FIN;1944;1990;1990;1990;3;4;0;1;0;5;0;L9705;1944;1990;1990;x
Enckell;9780;FIN;1939;1990;1990;1990;3;4;513;1;0;5;0;L9780;1939;1990;1990;x
Fagernäs;9706;FIN;1940;1990;1990;1990;3;6;8;2;0;4;0;L9706;1940;1990;1990;x
Grandell;9707;FIN;1938;1942;1990;1990;3;5;9;1;0;5;0;L9707;1938;1990;1990;x
Gustafsson;9781;FIN;1942;1990;1990;1990;3;5;9;1;0;5;0;L9781;1942;1990;1990;x
Hanell;9708;FIN;1930;1940;1990;1990;3;5;10;1;0;4;0;L9708;1930;1945;1945;x
Hannuksela;9709;FIN;1939;1990;1990;1990;3;6;72;2;0;4;0;L9709;1939;1990;1990;x
Heinrichs;9710;FIN;1930;1940;1941;1990;1;7;10;3;0;4;0;L9710;1930;1990;1990;x
Heiskanen J.H.;9711;FIN;1930;1990;1990;1990;3;5;264;1;0;4;0;L9711;1930;1945;1945;x
Heiskanen K.A.;9712;FIN;1941;1990;1990;1990;3;7;12;2;0;4;0;L9712;1941;1990;1990;x
Hersalo;9713;FIN;1940;1990;1990;1990;3;5;8;2;0;4;0;L9713;1940;1990;1990;x
Hägglund;9714;FIN;1930;1941;1990;1990;2;6;10;2;0;4;0;L9714;1930;1990;1990;x
Isakson;9716;FIN;1939;1990;1990;1990;3;5;8;2;0;4;0;L9716;1939;1990;1990;x
Järvinen;9717;FIN;1943;1990;1990;1990;3;5;2;1;0;4;0;L9717;1943;1990;1990;x
