Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adeline;24220;FRA;1945;1990;1990;1990;3;4;32;1;0;5;0;L24220;1945;1990;1990;x
Alessandri;24004;FRA;1943;1990;1990;1990;3;5;0;2;0;5;0;L24004;1943;1990;1990;x
Allard;24009;FRA;1940;1944;1990;1990;3;4;64;1;0;5;0;L24009;1940;1990;1990;x
Altmayer;24027;FRA;1930;1930;1990;1990;2;5;516;2;0;5;0;L24027;1930;1942;1942;x
Angenot;24244;FRA;1944;1990;1990;1990;3;4;0;1;0;5;0;L24244;1944;1990;1990;x
Ardant du Picq;24000;FRA;1930;1990;1990;1990;3;5;512;2;0;5;0;L24000;1930;1945;1945;x
Arlabosse;24001;FRA;1939;1942;1990;1990;3;4;0;1;0;4;0;L24001;1939;1990;1990;x
Arnaud;24292;FRA;1940;1990;1990;1990;3;4;64;1;0;3;0;L24292;1940;1990;1990;x
Audet;24005;FRA;1930;1941;1990;1990;2;5;0;2;0;4;0;L24005;1930;1990;1990;x
Audibert;24245;FRA;1930;1990;1990;1990;3;4;516;1;0;5;0;L24245;1930;1937;1937;x
Azan;24037;FRA;1930;1940;1990;1990;3;4;514;1;0;5;0;L24037;1930;1942;1942;x
Barazer de Lannurien;24039;FRA;1930;1990;1990;1990;3;4;512;2;0;5;0;L24039;1930;1943;1943;x
Barre;24016;FRA;1940;1943;1990;1990;3;4;0;2;0;5;0;L24016;1940;1990;1990;x
Barrau;24007;FRA;1938;1940;1941;1990;2;5;0;2;0;4;0;L24007;1938;1990;1990;x
Baudouin;24071;FRA;1937;1990;1990;1990;3;4;514;1;0;5;0;L24071;1937;1945;1945;x
Bejard;24018;FRA;1930;1990;1990;1990;3;4;514;1;0;5;0;L24018;1930;1945;1945;x
Berard;24319;FRA;1940;1943;1990;1990;3;4;0;2;0;5;0;L24319;1940;1990;1990;x
Berniquet;24109;FRA;1930;1990;1990;1990;3;5;516;1;0;5;0;L24109;1930;1944;1944;x
Bertin-Boussu;24048;FRA;1939;1990;1990;1990;3;4;64;2;0;5;0;L24048;1939;1990;1990;x
Bertrand;24117;FRA;1945;1990;1990;1990;3;5;0;1;0;5;0;L24117;1945;1990;1990;x
Besson;24134;FRA;1930;1930;1937;1990;1;6;514;2;0;5;0;L24134;1930;1943;1943;x
Bethouart;24011;FRA;1940;1944;1948;1990;2;7;268;3;0;5;0;L24011;1940;1990;1990;x
Beynet;24138;FRA;1930;1941;1944;1990;2;6;264;2;0;5;0;L24138;1930;1990;1990;x
Beziers-Lafosse;24266;FRA;1938;1990;1990;1990;3;4;0;1;0;3;0;L24266;1938;1990;1990;x
Billotte G.;24012;FRA;1930;1930;1930;1939;1;6;512;3;0;5;0;L24012;1930;1945;1945;x
Billotte P.;24285;FRA;1944;1990;1990;1990;3;5;128;1;0;5;0;L24285;1944;1990;1990;x
Bineau;24026;FRA;1930;1930;1930;1990;1;6;514;2;0;5;0;L24026;1930;1940;1940;x
Blaizot;24017;FRA;1941;1944;1990;1990;2;5;0;2;0;5;0;L24017;1941;1990;1990;x
Blanc;24014;FRA;1930;1938;1990;1990;2;4;0;2;0;4;0;L24014;1930;1990;1990;x
Blanchard;24015;FRA;1930;1930;1938;1990;1;5;2;2;0;4;0;L24015;1930;1946;1946;x
