Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Alexakis;31502;GRE;1930;1940;1990;1990;3;5;0;2;0;5;0;L31502;1930;1990;1990;x
[dd] Bakopoulos;31500;GRE;1930;1939;1990;1990;2;5;2;2;0;5;0;L31500;1930;1990;1990;x
Bakos;31504;GRE;1939;1941;1990;1990;3;6;0;2;0;5;0;L31504;1939;1990;1990;x
Basakidis   ;31505;GRE;1938;1990;1990;1990;3;5;0;1;0;4;0;L31505;1938;1990;1990;x
Batas;31506;GRE;1930;1990;1990;1990;3;5;0;2;0;5;0;L31506;1930;1990;1990;x
[og] Chasapidis;31530;GRE;1930;1930;1990;1990;2;6;512;2;0;5;0;L31530;1930;1937;1937;x
Dedes;31508;GRE;1938;1940;1990;1990;3;6;0;2;0;5;0;L31508;1938;1990;1990;x
Demestichas;31501;GRE;1930;1940;1990;1990;2;6;0;3;0;4;0;L31501;1930;1990;1990;x
Drakos;31503;GRE;1930;1940;1990;1990;2;6;0;2;0;4;0;L31503;1930;1990;1990;x
Dromazos;31509;GRE;1939;1942;1990;1990;2;5;0;2;0;5;0;L31509;1939;1990;1990;x
Gazis;31526;GRE;1941;1990;1990;1990;3;5;0;2;0;4;0;L31526;1941;1990;1990;x
Giatzis;31531;GRE;1944;1946;1990;1990;2;6;4;2;0;4;0;L31531;1944;1990;1990;x
Katsimitros;31511;GRE;1937;1990;1990;1990;3;6;2;2;0;5;0;L31511;1937;1990;1990;x
Kavrakos;31512;GRE;1930;1990;1990;1990;3;4;0;2;0;5;0;L31512;1930;1990;1990;x
Kosmas;31513;GRE;1930;1940;1990;1990;2;6;0;3;0;5;0;L31513;1930;1990;1990;x
Kotoulas;31515;GRE;1930;1939;1990;1990;2;6;0;3;0;5;0;L31515;1930;1990;1990;x
Kotsalos;31510;GRE;1940;1990;1990;1990;3;5;64;1;0;3;0;L31510;1940;1990;1990;x
Liosis;31517;GRE;1943;1946;1990;1990;3;5;0;2;0;5;0;L31517;1943;1990;1990;x
Maraveas;31518;GRE;1940;1946;1990;1990;3;5;0;2;0;5;0;L31518;1940;1990;1990;x
Melissinos;31514;GRE;1930;1990;1990;1990;3;5;0;2;0;4;0;L31514;1930;1990;1990;x
Moutousis;31516;GRE;1939;1990;1990;1990;3;5;64;2;0;3;0;L31516;1939;1990;1990;x
Papagos;31521;GRE;1930;1930;1940;1945;1;7;4;3;0;5;0;L31521;1930;1990;1990;x
