Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Alting von Geusau;7826;HOL;1930;1939;1990;1990;3;5;64;2;0;4;0;L7826;1930;1990;1990;x
Bischoff van Heemskerk;7813;HOL;1940;1990;1990;1990;3;4;0;1;0;3;0;L7813;1940;1990;1990;x
Carstens;7803;HOL;1939;1940;1990;1990;3;4;64;2;0;3;0;L7803;1939;1990;1990;x
de Bruijne;7806;HOL;1942;1990;1990;1990;3;5;256;1;0;5;0;L7806;1942;1990;1990;x
Dijxhoorn;7808;HOL;1941;1945;1990;1990;3;5;1;1;0;3;0;L7808;1941;1990;1990;x
Dwars;7816;HOL;1940;1990;1990;1990;3;4;0;1;0;3;0;L7816;1940;1990;1990;x
Fabius;7800;HOL;1940;1990;1990;1990;3;5;516;1;0;3;0;L7800;1940;1990;1990;x
Hackstroh;7809;HOL;1930;1990;1990;1990;3;4;0;1;0;3;0;L7809;1930;1990;1990;x
Harberts;7810;HOL;1938;1940;1990;1990;3;5;64;2;0;4;0;L7810;1938;1990;1990;x
Hasselman;7811;HOL;1938;1990;1990;1990;3;4;65;1;0;5;0;L7811;1938;1990;1990;x
Koot;7801;HOL;1940;1990;1990;1990;3;3;0;1;0;3;0;L7801;1940;1990;1990;x
Kraak;7822;HOL;1940;1990;1990;1990;3;4;0;1;0;3;0;L7822;1940;1990;1990;x
Kruls;7830;HOL;1944;1945;1949;1990;2;6;1;2;0;3;0;L7830;1944;1990;1990;x
Noothoven van Goor;7829;HOL;1940;1941;1990;1990;3;5;512;2;0;3;0;L7829;1940;1942;1942;x
Phaff;7804;HOL;1941;1990;1990;1990;3;5;0;1;0;3;0;L7804;1941;1990;1990;x
Reynders;7815;HOL;1930;1930;1939;1990;1;6;0;3;0;5;0;L7815;1930;1990;1990;x
Scharroo;7823;HOL;1940;1990;1990;1990;3;4;0;1;0;3;0;L7823;1940;1990;1990;x
Sillevis;7805;HOL;1930;1940;1990;1990;2;4;64;2;0;3;0;L7805;1930;1990;1990;x
Vaillant;7807;HOL;1939;1990;1990;1990;3;4;32;1;0;3;0;L7807;1939;1990;1990;x
van Andel;7812;HOL;1930;1930;1990;1990;2;5;512;2;0;3;0;L7812;1930;1990;1990;x
van den Bent;7820;HOL;1938;1940;1990;1990;3;5;0;2;0;5;0;L7820;1938;1990;1990;x
van der Bijl;7828;HOL;1940;1990;1990;1990;3;4;0;1;0;3;0;L7828;1940;1990;1990;x
van der Vijer;7814;HOL;1930;1990;1990;1990;3;4;0;2;0;3;0;L7814;1930;1990;1990;x
van Lawick;7821;HOL;1938;1990;1990;1990;3;4;4;1;0;4;0;L7821;1938;1990;1990;x
van Loon;7802;HOL;1940;1990;1990;1990;3;4;0;1;0;3;0;L7802;1940;1990;1990;x
van Munnekrede;7817;HOL;1940;1990;1990;1990;3;5;512;1;0;3;0;L7817;1940;1990;1990;x
van Nijnatten;7818;HOL;1938;1940;1990;1990;3;4;0;2;0;3;0;L7818;1938;1990;1990;x
van Voorst Evekink;7819;HOL;1941;1990;1990;1990;3;5;0;1;0;3;0;L7819;1941;1990;1990;x
van Voorst tot Voorst  H.;7824;HOL;1938;1990;1990;1990;3;5;4;1;0;4;0;L7824;1938;1990;1990;x
van Voorst tot Voorst  J.;7825;HOL;1930;1937;1940;1990;2;5;0;2;0;5;0;L7825;1930;1990;1990;x
van Steveninck;7856;HOL;1941;1945;1950;1990;3;5;1;1;0;3;0;L7856;1942;1990;1990;x
Winkelman;7827;HOL;1940;1940;1940;1990;1;5;512;2;0;5;0;L7827;1940;1990;1990;x
Boreel;7832;HOL;1939;1990;1990;1990;3;4;1024;0;0;5;1;L7832;1939;1990;1990;x
Brouwer;7831;HOL;1939;1990;1990;1990;3;4;0;1;0;5;1;L7831;1939;1990;1990;x
Bueninck;7858;HOL;1938;1990;1990;1990;3;5;0;1;0;5;1;L7858;1938;1990;1990;x
Callenfels;7860;HOL;1939;1990;1990;1990;3;4;1024;0;0;5;1;L7860;1939;1990;1990;x
de Booy;7835;HOL;1946;1990;1990;1990;3;6;8192;1;0;5;1;L7835;1946;1990;1990;x
Doorman L.;7859;HOL;1930;1940;1990;1990;3;5;1024;1;0;5;1;L7859;1930;1990;1990;x
Furstner;7838;HOL;1930;1938;1942;1990;1;6;0;2;0;5;1;L7838;1930;1990;1990;x
Harmsen;7848;HOL;1942;1990;1990;1990;3;4;0;1;0;5;1;L7848;1942;1990;1990;x
Heeris;7833;HOL;1939;1990;1990;1990;3;5;512;2;0;5;1;L7833;1939;1990;1990;x
Hellingman;7840;HOL;1938;1990;1990;1990;3;5;1024;0;0;5;1;L7840;1938;1990;1990;x
Hoeke;7834;HOL;1941;1990;1990;1990;3;4;1024;1;0;5;1;L7834;1941;1990;1990;x
Jolles;7841;HOL;1939;1990;1990;1990;3;4;0;1;0;5;1;L7841;1939;1990;1990;x
Kruys;7843;HOL;1930;1937;1990;1990;2;5;1024;2;0;5;1;L7843;1930;1939;1939;x
