Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abt;31293;HUN;1941;1990;1990;1990;3;5;0;1;0;5;0;L31293;1941;1990;1990;x
Akay;31289;HUN;1939;1990;1990;1990;3;4;64;1;0;5;0;L31289;1939;1990;1990;x
Algya-Pap;31101;HUN;1942;1944;1990;1990;2;5;0;1;0;3;0;L31101;1942;1990;1990;x
Baitz;31102;HUN;1944;1990;1990;1990;3;4;4;1;0;5;0;L31102;1944;1990;1990;x
Bajnóczy;31103;HUN;1937;1940;1943;1990;2;5;0;2;0;5;0;L31103;1937;1990;1990;x
Bakay;31104;HUN;1940;1942;1990;1990;2;6;0;2;0;2;0;L31104;1940;1990;1990;x
Bardóczy;31280;HUN;1943;1945;1990;1990;3;5;0;1;0;5;0;L31280;1943;1990;1990;x
Bartha;31106;HUN;1930;1930;1938;1990;1;5;1;2;0;5;0;L31106;1930;1943;1943;x
Béldy;31108;HUN;1939;1944;1990;1990;3;5;4;1;0;5;0;L31108;1939;1990;1990;x
Beleznay;31319;HUN;1940;1990;1990;1990;3;4;0;1;0;5;0;L31319;1940;1990;1990;x
Beregfy;31109;HUN;1939;1941;1944;1990;1;5;1;2;0;5;0;L31109;1939;1990;1990;x
Billnitzer;31111;HUN;1942;1990;1990;1990;3;4;64;1;0;4;0;L31111;1942;1990;1990;x
Bisza;31263;HUN;1941;1944;1990;1990;2;5;128;2;0;5;0;L31263;1941;1990;1990;x
Bittó;31302;HUN;1939;1990;1990;1990;3;4;0;1;0;5;0;L31302;1939;1990;1990;x
Bor;31112;HUN;1942;1944;1990;1990;2;5;1;2;0;5;0;L31112;1942;1990;1990;x
Brunswik;31113;HUN;1941;1943;1990;1990;3;4;0;1;0;5;0;L31113;1941;1990;1990;x
Budaházy;31105;HUN;1943;1990;1990;1990;3;5;0;1;0;5;0;L31105;1943;1990;1990;x
Csatay;31114;HUN;1938;1941;1943;1990;1;6;66;2;0;5;0;L31114;1938;1990;1990;x
Cziegler;31107;HUN;1938;1940;1990;1990;3;5;32;1;0;5;0;L31107;1938;1990;1990;x
Decleva;31118;HUN;1938;1940;1942;1990;1;6;0;2;0;5;0;L31118;1938;1990;1990;x
Denk;31119;HUN;1930;1930;1938;1990;2;5;4;2;0;5;0;L31119;1930;1941;1941;x
Deseö;31110;HUN;1942;1990;1990;1990;3;5;64;1;0;5;0;L31110;1942;1990;1990;x
Falta;31216;HUN;1930;1990;1990;1990;3;4;0;1;0;5;0;L31216;1930;1940;1940;x
Faragho;31124;HUN;1940;1943;1944;1990;2;5;0;1;0;5;0;L31124;1940;1990;1990;x
Farkas;31125;HUN;1941;1943;1945;1990;2;5;2;2;0;5;0;L31125;1941;1990;1990;x
Feketehalmy-Czeydner;31126;HUN;1939;1941;1990;1990;2;6;0;2;0;3;0;L31126;1939;1943;1943;x
Felkl;31153;HUN;1940;1990;1990;1990;3;5;264;2;0;5;0;L31153;1940;1990;1990;x
Finta;31145;HUN;1942;1944;1990;1990;3;5;0;1;0;5;0;L31145;1942;1990;1990;x
Gálocsy;31129;HUN;1944;1990;1990;1990;3;4;1;1;0;3;0;L31129;1944;1990;1990;x
Gerlóczy;31365;HUN;1942;1990;1990;1990;3;4;64;1;0;5;0;L31365;1942;1990;1990;x
Gorondy-Novák;31131;HUN;1930;1938;1941;1990;1;5;4;2;0;4;0;L31131;1930;1942;1942;x
Grassy;31132;HUN;1942;1990;1990;1990;3;5;0;2;0;5;0;L31132;1942;1944;1944;x
Györffy-Bengyel;31160;HUN;1930;1937;1941;1990;2;5;1;2;0;5;0;L31160;1930;1942;1942;x
Hager;31303;HUN;1939;1990;1990;1990;3;4;4;1;0;5;0;L31303;1939;1942;1942;x
Harmos;31266;HUN;1942;1944;1990;1990;3;5;32;1;0;5;0;L31266;1942;1990;1990;x
Haynal;31426;HUN;1944;1990;1990;1990;3;5;0;2;0;5;0;L31426;1944;1990;1990;x
Heim;31322;HUN;1940;1990;1990;1990;3;5;0;1;0;5;0;L31322;1940;1990;1990;x
Hennyey;31135;HUN;1938;1941;1944;1990;2;6;0;3;0;5;0;L31135;1938;1990;1990;x
Heszlényi;31136;HUN;1940;1942;1944;1990;1;6;5;2;0;5;0;L31136;1940;1990;1990;x
Hindy;31262;HUN;1943;1944;1945;1990;2;5;0;2;0;5;0;L31262;1943;1990;1990;x
Hollósy-Kuthy;31137;HUN;1942;1944;1990;1990;2;6;32;2;0;5;0;L31137;1942;1990;1990;x
Ibrányi;31141;HUN;1942;1944;1990;1990;2;5;4;1;0;5;0;L31141;1942;1990;1990;x
Jány;31142;HUN;1930;1937;1941;1990;1;7;3;2;0;5;0;L31142;1930;1990;1990;x
Jordán;31398;HUN;1943;1990;1990;1990;3;5;64;1;0;5;0;L31398;1943;1990;1990;x
Karlóczy;31115;HUN;1944;1990;1990;1990;3;5;0;1;0;5;0;L31115;1944;1990;1990;x
Kassay-Farkas;31260;HUN;1941;1943;1990;1990;3;5;96;1;0;5;0;L31260;1941;1990;1990;x
Kisfaludy;31430;HUN;1944;1990;1990;1990;3;5;0;1;0;5;0;L31430;1944;1990;1990;x
Kiskéry;31325;HUN;1942;1990;1990;1990;3;4;0;1;0;5;0;L31325;1942;1990;1990;x
Kiss;31220;HUN;1930;1938;1990;1990;2;5;0;2;0;5;0;L31220;1930;1939;1939;x
Kolossváry;31116;HUN;1941;1990;1990;1990;3;5;0;2;0;5;0;L31116;1941;1990;1990;x
Koós;31246;HUN;1940;1942;1990;1990;2;4;0;1;0;5;0;L31246;1940;1990;1990;x
Koszorus;31168;HUN;1944;1990;1990;1990;3;5;128;1;0;5;0;L31168;1944;1990;1990;x
Kovács;31270;HUN;1942;1944;1990;1990;2;5;0;2;0;5;0;L31270;1942;1990;1990;x
Kozma;31271;HUN;1942;1944;1990;1990;2;6;0;2;0;5;0;L31271;1942;1990;1990;x
Kudriczy;31285;HUN;1943;1944;1990;1990;2;5;0;2;0;5;0;L31285;1943;1990;1990;x
Lakatos;31147;HUN;1939;1941;1943;1990;1;6;0;3;0;4;0;L31147;1939;1990;1990;x
László;31148;HUN;1941;1943;1944;1990;1;6;2;2;0;4;0;L31148;1941;1990;1990;x
Lázár;31149;HUN;1942;1944;1990;1990;3;4;4;1;0;4;0;L31149;1942;1990;1990;x
Legeza;31329;HUN;1940;1990;1990;1990;3;5;0;2;0;5;0;L31329;1940;1990;1990;x
Lengyel;31144;HUN;1942;1944;1990;1990;2;6;0;2;0;5;0;L31144;1942;1990;1990;x
Littay;31152;HUN;1930;1937;1940;1990;2;6;0;2;0;5;0;L31152;1930;1944;1944;x
Magyar;31161;HUN;1943;1990;1990;1990;3;5;0;1;0;5;0;L31161;1943;1990;1990;x
Magyarossy;31151;HUN;1940;1942;1944;1990;2;5;0;2;0;5;0;L31151;1940;1942;1942;x
Major;31255;HUN;1940;1942;1944;1990;1;6;4;2;0;5;0;L31255;1940;1990;1990;x
Makay;31274;HUN;1942;1990;1990;1990;3;5;4;1;0;5;0;L31274;1942;1990;1990;x
Markóczy;31275;HUN;1942;1944;1990;1990;2;6;0;2;0;5;0;L31275;1942;1990;1990;x
Marschalkó;31257;HUN;1939;1990;1990;1990;3;5;0;1;0;5;0;L31257;1939;1990;1990;x
Matlary;31117;HUN;1943;1990;1990;1990;3;5;0;1;0;5;0;L31117;1943;1990;1990;x
Mezö;31154;HUN;1941;1990;1990;1990;3;4;0;1;0;5;0;L31154;1941;1990;1990;x
Miklós;31155;HUN;1939;1941;1943;1990;1;6;4;2;0;4;0;L31155;1939;1990;1990;x
Mindszenty;31370;HUN;1942;1990;1990;1990;3;5;0;1;0;5;0;L31370;1942;1990;1990;x
Náday;31156;HUN;1937;1940;1944;1990;1;6;1;2;0;3;0;L31156;1937;1990;1990;x
Nagy G.;31234;HUN;1937;1940;1990;1990;2;5;0;2;0;5;0;L31234;1937;1990;1990;x
Nagy V.;31157;HUN;1930;1937;1940;1990;1;6;1;3;0;5;0;L31157;1930;1990;1990;x
Náray;31120;HUN;1942;1990;1990;1990;3;4;1;1;0;5;0;L31120;1942;1990;1990;x
Németh;31334;HUN;1940;1990;1990;1990;3;4;0;1;0;5;0;L31334;1940;1990;1990;x
Oszlányi;31158;HUN;1942;1990;1990;1990;3;6;2;2;0;4;0;L31158;1942;1990;1990;x
Osztovics;31159;HUN;1943;1990;1990;1990;3;5;129;1;0;4;0;L31159;1943;1990;1990;x
Paksy;31307;HUN;1939;1990;1990;1990;3;5;0;1;0;5;0;L31307;1939;1990;1990;x
Péchy;31146;HUN;1939;1990;1990;1990;3;5;0;1;0;5;0;L31146;1939;1990;1990;x
Perczel;31121;HUN;1930;1990;1990;1990;3;4;4;1;0;5;0;L31121;1930;1942;1942;x
Pintér;31122;HUN;1941;1990;1990;1990;3;5;264;2;0;5;0;L31122;1941;1990;1990;x
Rakovszky;31123;HUN;1941;1943;1990;1990;2;5;0;2;0;5;0;L31123;1941;1990;1990;x
Rátz;31178;HUN;1930;1930;1938;1990;1;6;0;2;0;5;0;L31178;1930;1939;1939;x
Ruszkay;31162;HUN;1930;1939;1990;1990;2;5;2;1;0;5;0;L31162;1930;1941;1941;x
Ruszkiczay-Rüdiger;31163;HUN;1938;1942;1943;1990;2;5;1;2;0;5;0;L31163;1938;1990;1990;x
Schweitzer;31127;HUN;1930;1939;1941;1990;1;6;0;2;0;5;0;L31127;1930;1990;1990;x
Selkey;31166;HUN;1945;1990;1990;1990;3;4;0;1;0;5;0;L31166;1945;1990;1990;x
Silley;31128;HUN;1937;1940;1990;1990;2;4;0;2;0;5;0;L31128;1937;1990;1990;x
Somkuthy;31164;HUN;1930;1930;1937;1990;1;6;0;3;0;5;0;L31164;1930;1937;1937;x
Sónyi;31170;HUN;1930;1930;1930;1990;1;6;2;2;0;3;0;L31170;1930;1940;1940;x
Stomm;31185;HUN;1940;1942;1990;1990;2;5;2;2;0;5;0;L31185;1940;1990;1990;x
Szabó;31150;HUN;1942;1944;1990;1990;3;5;0;2;0;5;0;L31150;1942;1990;1990;x
Szombathelyi;31172;HUN;1937;1939;1941;1990;1;7;0;3;0;4;0;L31172;1937;1990;1990;x
Szombathy;31130;HUN;1944;1990;1990;1990;3;5;0;1;0;5;0;L31130;1944;1990;1990;x
Sztójay;31173;HUN;1930;1930;1944;1990;2;4;0;2;0;5;0;L31173;1930;1990;1990;x
Szurmay;31133;HUN;1943;1990;1990;1990;3;4;0;1;0;5;0;L31133;1943;1990;1990;x
Szügyi;31174;HUN;1944;1990;1990;1990;3;6;258;2;0;5;0;L31174;1944;1990;1990;x
