Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Gibbs;595163;IND;1952;1952;1952;1990;1;5;0;2;0;5;2;L505141;1952;1990;1990;x
Ahsan;595001;IND;1945;1990;1990;1990;3;3;256;0;0;5;0;L505000;1945;1990;1990;x
Andrade;595006;IND;1944;1990;1990;1990;3;4;256;0;0;5;0;L505003;1944;1990;1990;x
Bhutbapool;595019;IND;1930;1990;1990;1990;3;2;0;0;0;5;0;L505015;1930;1990;1990;x
Cariappa;595026;IND;1937;1941;1943;1944;0;5;1;3;0;5;0;L505021;1937;1990;1990;x
Dhawara;595038;IND;1930;1990;1990;1990;3;3;32;0;0;5;0;L505032;1930;1990;1990;x
Henry-Williams;595054;IND;1942;1990;1990;1990;3;4;1;0;0;5;0;L505044;1942;1990;1990;x
Madhani;595067;IND;1930;1990;1990;1990;3;2;0;0;0;5;0;L505054;1930;1990;1990;x
Mohan Singh;595073;IND;1943;1945;1947;1990;2;3;0;2;0;5;0;L505058;1943;1990;1990;x
Mukerjee;595077;IND;1945;1990;1990;1990;3;3;256;0;0;5;0;L505062;1945;1990;1990;x
Musa;595078;IND;1943;1945;1990;1990;2;3;64;0;0;5;0;L505063;1943;1990;1990;x
Nabob Kureishi of Bhawalapur;595080;IND;1941;1943;1990;1990;2;2;0;1;0;4;0;L505064;1941;1990;1990;x
Sikhand;595091;IND;1942;1990;1990;1990;3;4;256;0;0;5;0;L505071;1942;1990;1990;x
Srinagesh;595095;IND;1941;1943;1945;1990;1;5;128;2;0;5;0;L505075;1941;1990;1990;x
Thimayya;595099;IND;1938;1942;1944;1946;1;6;17;3;0;5;0;L505079;1938;1990;1990;x
Bahadur Kohoon of Jaisalmer;595009;IND;1930;1930;1990;1990;2;2;0;0;0;5;0;L505006;1930;1990;1990;x
Bahadur Aly of Patiala;595010;IND;1930;1990;1990;1990;3;2;0;0;0;5;0;L505007;1930;1990;1990;x
Ahmad Ali of Malerjotla;595178;IND;1930;1990;1990;1990;3;3;0;0;0;5;0;L505178;1930;1990;1990;x
Ali Jah of Gwalior;595179;IND;1930;1940;1990;1990;2;6;64;1;0;5;0;L505179;1930;1990;1990;x
Anandrao IV. of Dhar;595180;IND;1930;1990;1990;1990;3;3;0;0;0;5;0;L505180;1930;1990;1990;x
Badur of Bharatpur;595181;IND;1938;1990;1990;1990;3;3;0;0;0;5;0;L505181;1938;1990;1990;x
Bhupindher Singh of Patiala;595182;IND;1930;1930;1990;1990;2;3;0;1;0;5;0;L505182;1930;1990;1990;x
Brijendra of Bharatpur;595183;IND;1930;1990;1990;1990;3;3;0;0;0;5;0;L505183;1930;1990;1990;x
Deb Barman of Tripura;595184;IND;1930;1990;1990;1990;3;3;0;0;0;5;0;L505184;1930;1990;1990;x
