Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adalberto di Savoia-Genova;6000;ITA;1930;1938;1940;1990;1;4;0;1;0;2;0;L6000;1930;1990;1990;x
Adami-Rossi;6414;ITA;1930;1938;1990;1990;3;3;0;1;0;2;0;L6414;1930;1990;1990;x
Ademollo;6031;ITA;1930;1990;1990;1990;3;3;512;1;0;2;0;L6031;1930;1947;1947;x
Agostini;6002;ITA;1930;1990;1990;1990;3;2;0;0;0;5;0;L6002;1930;1935;1935;x
Agostinucci;6169;ITA;1930;1990;1990;1990;3;3;0;1;0;5;0;L6169;1930;1990;1990;x
Albert;6001;ITA;1943;1947;1990;1990;2;5;64;2;0;3;0;L6001;1943;1990;1990;x
Ambrosio;6003;ITA;1930;1930;1938;1990;1;6;4;2;0;4;0;L6003;1930;1990;1990;x
Amedeo di Savoia-Aosta;6004;ITA;1930;1930;1937;1990;1;5;2;1;0;4;0;L6004;1930;1942;1942;x
Amoroso;6107;ITA;1939;1990;1990;1990;3;4;32;1;0;5;0;L6107;1939;1990;1990;x
Antonelli;6006;ITA;1930;1990;1990;1990;3;3;0;0;0;5;0;L6006;1930;1990;1990;x
Appiotti;6009;ITA;1930;1937;1990;1990;3;5;512;2;0;5;0;L6009;1930;1939;1939;x
Arena;6008;ITA;1942;1990;1990;1990;3;5;128;1;0;4;0;L6008;1942;1990;1990;x
Armellini;6195;ITA;1939;1942;1990;1990;2;4;0;1;0;5;0;L6195;1939;1990;1990;x
Artale;6069;ITA;1930;1990;1990;1990;3;3;64;1;0;5;0;L6069;1930;1935;1935;x
Arisio;6010;ITA;1930;1941;1943;1990;1;5;0;2;0;5;0;L6010;1930;1950;1950;x
Asinari di San Marzano;6023;ITA;1930;1930;1990;1990;2;4;512;1;0;3;0;L6023;1930;1938;1938;x
Asinari Rossillon;6404;ITA;1930;1930;1990;1990;2;4;512;1;0;3;0;L6404;1930;1939;1939;x
Aymonino;6012;ITA;1930;1930;1990;1990;2;4;5;1;0;5;0;L6012;1930;1990;1990;x
Azzi;6016;ITA;1941;1990;1990;1990;3;5;0;2;0;3;0;L6016;1941;1990;1990;x
Babini;6011;ITA;1939;1947;1990;1990;3;4;128;1;0;3;0;L6011;1939;1990;1990;x
Badoglio;6013;ITA;1930;1930;1930;1930;0;5;515;1;0;5;0;L6013;1930;1937;1937;x
Baistrocchi;6192;ITA;1930;1930;1930;1990;1;5;514;1;0;4;0;L6192;1930;1939;1939;x
Balbo;6015;ITA;1930;1930;1930;1930;0;7;1;3;0;5;0;L6015;1930;1990;1990;x
