Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abe N.;101000;JAP;1937;1939;1990;1990;3;4;0;1;0;5;0;L101000;1937;1990;1990;x
Abe Y.;101002;JAP;1945;1990;1990;1990;3;4;0;1;0;5;0;L101002;1945;1990;1990;x
Adachi;101001;JAP;1938;1940;1990;1990;2;6;16;2;0;5;0;L101001;1938;1990;1990;x
Akashi;101005;JAP;1945;1990;1990;1990;3;5;4;1;0;5;0;L101005;1945;1990;1990;x
Akashiba;101009;JAP;1939;1941;1990;1990;2;5;0;2;0;5;0;L101009;1939;1990;1990;x
Akiyama;101024;JAP;1938;1941;1990;1990;3;4;1;1;0;5;0;L101024;1938;1990;1990;x
Amakasu;101003;JAP;1930;1938;1990;1990;2;5;0;2;0;5;0;L101003;1930;1943;1943;x
Amamiya;101006;JAP;1940;1943;1990;1990;3;5;0;2;0;5;0;L101006;1940;1990;1990;x
Anami;101007;JAP;1930;1938;1943;1990;1;5;1;2;0;5;0;L101007;1930;1990;1990;x
Ando Rik.;101008;JAP;1930;1930;1944;1990;1;6;5;2;0;5;0;L101008;1930;1990;1990;x
Ando Rin.;101022;JAP;1930;1938;1990;1990;3;4;64;1;0;5;0;L101022;1930;1940;1940;x
Aoki J.;101010;JAP;1939;1941;1990;1990;3;5;0;1;0;5;0;L101010;1939;1990;1990;x
Araki;101004;JAP;1945;1990;1990;1990;3;5;0;1;0;5;0;L101004;1945;1990;1990;x
Arisue S.;101012;JAP;1941;1945;1990;1990;3;5;0;1;0;5;0;L101012;1941;1990;1990;x
Arisue Y.;101013;JAP;1943;1990;1990;1990;3;4;0;1;0;5;0;L101013;1943;1990;1990;x
Asaka;101014;JAP;1930;1930;1939;1990;1;6;4;2;0;5;0;L101014;1930;1990;1990;x
Ayabe;101016;JAP;1940;1943;1990;1990;3;5;4;1;0;5;0;L101016;1940;1990;1990;x
Baba;101017;JAP;1938;1941;1990;1990;2;5;4;2;0;5;0;L101017;1938;1990;1990;x
Banzai;101560;JAP;1938;1941;1990;1990;2;5;0;2;0;5;0;L101560;1938;1990;1990;x
