Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Alonso;3400;U01;1930;1990;1990;1990;3;4;1;0;0;5;0;L3400;1930;1990;1990;x
Alonso Vega;3401;U01;1930;1940;1945;1990;3;7;16;3;0;5;0;L3401;1930;1990;1990;x
Álvarez Arenas;3402;U01;1930;1937;1990;1990;2;4;0;1;0;5;0;L3402;1930;1990;1990;x
Aranda Mata;3403;U01;1930;1930;1990;1990;2;6;32;1;0;3;0;L3403;1930;1990;1990;x
Arrese Magra;3404;U01;1941;1943;1990;1990;2;4;0;1;0;5;0;L3404;1941;1990;1990;x
Asensio Cabanillas;3405;U01;1930;1937;1942;1990;2;6;0;2;0;5;0;L3405;1930;1990;1990;x
Aznar Gerner;3406;U01;1930;1990;1990;1990;3;4;0;0;0;4;0;L3406;1930;1990;1990;x
Bautista Sanchéz;3407;U01;1930;1990;1990;1990;3;7;64;0;0;5;0;L3407;1930;1990;1990;x
Barrera;3408;U01;1930;1930;1990;1990;2;4;0;0;0;5;0;L3408;1930;1990;1990;x
Barrón Ortiz;3409;U01;1937;1941;1990;1990;3;5;2;1;0;5;0;L3409;1937;1990;1990;x
Barroso Sánchez-Guerra;3410;U01;1938;1990;1990;1990;3;4;0;0;0;5;0;L3410;1938;1990;1990;x
Beigbéder Atienza;3411;U01;1930;1939;1942;1990;3;6;1;3;0;5;0;L3411;1930;1990;1990;x
Benjumea;3412;U01;1937;1942;1990;1990;3;5;256;1;0;5;0;L3412;1937;1990;1990;x
Bergonzoli;3413;U01;1930;1930;1990;1990;2;5;4;1;0;3;0;L3413;1930;1990;1990;x
Cabanellas Ferrer;3414;U01;1930;1930;1930;1990;1;6;514;1;0;4;0;L3414;1930;1990;1990;x
Castejón Espinosa;3415;U01;1930;1990;1990;1990;3;5;0;0;0;5;0;L3415;1930;1990;1990;x
Cavalcanti;3416;U01;1930;1930;1930;1990;1;4;513;1;0;5;0;L3416;1930;1990;1990;x
Cuesta Monereo;3417;U01;1930;1990;1990;1990;3;4;0;0;0;4;0;L3417;1930;1990;1990;x
Dávila Arrondo;3418;U01;1930;1937;1942;1990;2;5;0;2;0;5;0;L3418;1930;1990;1990;x
