Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Andrew;58000;NZL;1943;1990;1990;1990;3;5;2;1;0;5;0;L58000;1943;1990;1990;x
Barrowclough;58002;NZL;1942;1990;1990;1990;3;5;4;2;0;5;0;L58002;1942;1990;1990;x
Burrows;58003;NZL;1943;1990;1990;1990;3;5;4;1;0;5;0;L58003;1943;1990;1990;x
Clifton;58004;NZL;1942;1990;1990;1990;3;4;32;1;0;5;0;L58004;1942;1990;1990;x
Cunningham;58005;NZL;1941;1990;1990;1990;3;5;0;2;0;5;0;L58005;1941;1990;1990;x
Duigan;58006;NZL;1937;1938;1990;1990;2;5;1;2;0;5;0;L58006;1937;1942;1942;x
Falconer;58007;NZL;1943;1990;1990;1990;3;5;0;2;0;5;0;L58007;1943;1990;1990;x
Falla;58008;NZL;1940;1990;1990;1990;3;4;65;1;0;5;0;L58008;1940;1945;1945;x
Freyberg;58010;NZL;1939;1943;1990;1990;2;8;5;4;0;5;0;L58010;1939;1990;1990;x
Gentry;58011;NZL;1942;1990;1990;1990;3;6;1;1;0;5;0;L58011;1942;1990;1990;x
Hanson;58013;NZL;1943;1990;1990;1990;3;5;32;1;0;5;0;L58013;1943;1990;1990;x
Harding;58009;NZL;1943;1990;1990;1990;3;5;4;1;0;5;0;L58009;1943;1990;1990;x
Hargest;58014;NZL;1940;1990;1990;1990;3;5;0;1;0;5;0;L58014;1940;1990;1990;x
Hartnell;58012;NZL;1943;1990;1990;1990;3;5;128;1;0;5;0;L58012;1943;1990;1990;x
Hunt;58015;NZL;1940;1990;1990;1990;3;4;0;1;0;5;0;L58015;1940;1990;1990;x
Inglis;58016;NZL;1941;1990;1990;1990;3;5;128;1;0;5;0;L58016;1941;1990;1990;x
Kippenberger;58019;NZL;1944;1990;1990;1990;3;6;4;2;0;5;0;L58019;1944;1990;1990;x
Mead;58022;NZL;1942;1990;1990;1990;3;4;1;1;0;5;0;L58022;1942;1990;1990;x
Miles;58023;NZL;1940;1990;1990;1990;3;5;65;1;0;5;0;L58023;1940;1990;1990;x
Mitchell;58024;NZL;1945;1990;1990;1990;3;5;2;1;0;5;0;L58024;1945;1990;1990;x
Park;58026;NZL;1943;1990;1990;1990;3;4;64;1;0;5;0;L58026;1943;1990;1990;x
Parkinson;58027;NZL;1944;1990;1990;1990;3;6;192;2;0;5;0;L58027;1944;1990;1990;x
Peren;58028;NZL;1940;1990;1990;1990;3;4;0;1;0;5;0;L58028;1940;1990;1990;x
Pleasants;58029;NZL;1944;1990;1990;1990;3;5;128;1;0;5;0;L58029;1944;1990;1990;x
Potter;58030;NZL;1942;1990;1990;1990;3;5;0;1;0;5;0;L58030;1942;1990;1990;x
Puttick;58031;NZL;1941;1942;1990;1990;2;6;3;2;0;5;0;L58031;1941;1990;1990;x
Queree;58032;NZL;1944;1990;1990;1990;3;4;65;1;0;5;0;L58032;1944;1990;1990;x
Row;58034;NZL;1940;1990;1990;1990;3;4;1;1;0;5;0;L58034;1940;1990;1990;x
Russell;58035;NZL;1940;1990;1990;1990;3;5;512;2;0;5;0;L58035;1940;1942;1942;x
Sinclair-Burgess;58037;NZL;1930;1930;1990;1990;2;6;514;2;0;5;0;L58037;1930;1938;1938;x
Stevens;58038;NZL;1945;1990;1990;1990;3;5;65;2;0;5;0;L58038;1945;1990;1990;x
Stewart;58039;NZL;1943;1949;1990;1990;3;6;128;1;0;5;0;L58039;1943;1990;1990;x
Thornton;58001;NZL;1948;1990;1990;1990;3;6;64;1;0;5;0;L58001;1948;1990;1990;x
Varnham;58033;NZL;1942;1990;1990;1990;3;4;128;1;0;5;0;L58033;1942;1990;1990;x
Weir N.W.M.;58040;NZL;1942;1946;1990;1990;3;5;1;2;0;5;0;L58040;1942;1990;1990;x
Weir S.C.E.;58041;NZL;1944;1990;1990;1990;3;6;64;2;0;5;0;L58041;1944;1990;1990;x
Wilder;58017;NZL;1942;1990;1990;1990;3;5;0;2;0;5;0;L58017;1942;1990;1990;x
Young;58036;NZL;1940;1990;1990;1990;3;5;512;2;0;5;0;L58036;1940;1944;1944;x
Boyle;58072;NZL;1940;1990;1990;1990;3;4;512;0;0;5;1;L58072;1940;1990;1990;x
Drummond;58042;NZL;1930;1937;1990;1990;3;5;0;2;0;5;1;L58042;1930;1939;1939;x
Fraser;58043;NZL;1930;1990;1990;1990;3;4;0;0;0;5;1;L58043;1930;1990;1990;x
Glennie;58044;NZL;1930;1938;1990;1990;3;6;0;2;0;5;1;L58044;1930;1939;1939;x
Hilliard;58045;NZL;1945;1990;1990;1990;3;4;8192;0;0;5;1;L58045;1945;1990;1990;x
Horan;58046;NZL;1938;1939;1990;1990;3;5;4096;1;0;5;1;L58046;1938;1941;1941;x
Julian;58074;NZL;1944;1990;1990;1990;3;3;0;0;0;5;1;L58074;1944;1990;1990;x
Lake;58047;NZL;1942;1943;1990;1990;3;5;0;2;0;5;1;L58047;1942;1990;1990;x
Mansergh C.A.L.;58070;NZL;1942;1990;1990;1990;3;5;8192;1;0;5;1;L58070;1942;1944;1944;x
Miller;58048;NZL;1943;1990;1990;1990;3;3;0;0;0;5;1;L58048;1943;1990;1990;x
Newman;58049;NZL;1943;1990;1990;1990;3;5;0;1;0;5;1;L58049;1943;1990;1990;x
Oliver;58071;NZL;1930;1990;1990;1990;3;5;0;1;0;5;1;L58071;1930;1939;1939;x
Olphert;58052;NZL;1930;1990;1990;1990;3;5;0;1;0;5;1;L58052;1930;1939;1939;x
Palmer;59053;NZL;1942;1990;1990;1990;3;3;0;0;0;5;1;L58053;1942;1990;1990;x
Parry;58054;NZL;1939;1940;1990;1990;3;6;8192;2;0;5;1;L58054;1939;1943;1943;x
Phipps;58050;NZL;1945;1990;1990;1990;3;6;8192;0;0;5;1;L58050;1945;1990;1990;x
Rivett-Carnac;58051;NZL;1930;1939;1990;1990;3;5;0;2;0;5;1;L58051;1930;1940;1940;x
Swanson;58073;NZL;1945;1990;1990;1990;3;4;0;0;0;5;1;L58073;1945;1990;1990;x
Washbourn;58055;NZL;1945;1990;1990;1990;3;4;0;0;0;5;1;L58055;1945;1990;1990;x
Caldwell;58056;NZL;1940;1990;1990;1990;3;5;4096;1;0;5;2;L58056;1940;1990;1990;x
Cochrane;58066;NZL;1930;1937;1990;1990;3;6;32768;2;0;5;2;L58066;1930;1940;1940;x
