Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Beichmann;9601;NOR;1942;1990;1990;1990;3;4;1;1;0;5;0;L9601;1942;1990;1990;x
Berg;9602;NOR;1945;1947;1990;1990;2;6;0;2;0;5;0;L9602;1945;1990;1990;x
Dahl;9603;NOR;1945;1990;1990;1990;3;5;12;1;0;5;0;L9603;1945;1990;1990;x
Erichsen;9605;NOR;1930;1990;1990;1990;3;5;520;2;0;5;0;L9605;1930;1949;1949;x
Eriksen;9600;NOR;1930;1990;1990;1990;3;4;514;1;0;5;0;L9600;1930;1990;1990;x
Fleischer;9607;NOR;1939;1940;1990;1990;3;6;12;3;0;5;0;L9607;1939;1990;1990;x
Getz;9606;NOR;1930;1990;1990;1990;3;4;0;1;0;5;0;L9606;1930;1990;1990;x
Hansson;9610;NOR;1945;1990;1990;1990;3;5;8;2;0;5;0;L9610;1945;1990;1990;x
Hatledal;9612;NOR;1938;1990;1990;1990;3;4;0;1;0;5;0;L9612;1938;1990;1990;x
Helset;9613;NOR;1945;1947;1990;1990;2;5;4;2;0;5;0;L9613;1945;1990;1990;x
Holtermann;9614;NOR;1943;1990;1990;1990;3;5;64;1;0;5;0;L9614;1943;1990;1990;x
Hvinden-Haug;9615;NOR;1930;1990;1990;1990;3;4;72;2;0;5;0;L9615;1930;1990;1990;x
Laake;9617;NOR;1930;1930;1990;1990;2;4;576;1;0;5;0;L9617;1930;1990;1990;x
Laurantzson;9618;NOR;1930;1990;1990;1990;3;4;576;2;0;5;0;L9618;1930;1990;1990;x
Ljungberg;9620;NOR;1942;1990;1990;1990;3;5;0;2;0;5;0;L9620;1942;1990;1990;x
Nielsen;9621;NOR;1945;1990;1990;1990;3;5;0;1;0;5;0;L9621;1945;1990;1990;x
Ruge;9623;NOR;1940;1945;1990;1990;2;6;10;2;0;5;0;L9623;1940;1990;1990;x
Steffens;9625;NOR;1930;1990;1990;1990;3;4;8;2;0;5;0;L9625;1930;1990;1990;x
Strugstad;9626;NOR;1942;1990;1990;1990;3;5;8;2;0;5;0;L9626;1942;1990;1990;x
Sundlo;9627;NOR;1930;1990;1990;1990;3;4;0;1;0;1;0;L9627;1930;1990;1990;x
von Tangen-Hansteen;9628;NOR;1942;1948;1990;1990;2;6;0;1;0;5;0;L9628;1942;1990;1990;x
Östbye;9629;NOR;1937;1990;1990;1990;3;4;8;1;0;5;0;L9629;1937;1990;1990;x
Askim;9631;NOR;1940;1990;1990;1990;3;4;0;1;0;5;1;L9631;1940;1990;1990;x
Bergersen;9632;NOR;1945;1990;1990;1990;3;4;512;1;0;5;1;L9632;1945;1990;1990;x
Bruun;9633;NOR;1946;1949;1990;1990;3;5;2048;1;0;2;1;L9633;1946;1990;1990;x
Bruusgaard;9634;NOR;1944;1990;1990;1990;3;4;1024;1;0;5;1;L9634;1944;1990;1990;x
Corneliussen;9635;NOR;1937;1941;1990;1990;2;5;0;2;0;5;1;L9635;1937;1990;1990;x
Danielsen;9636;NOR;1939;1941;1990;1990;2;5;1024;2;0;5;1;L9636;1939;1990;1990;x
Diesen;9637;NOR;1930;1938;1990;1990;2;5;0;2;0;5;1;L9637;1930;1990;1990;x
Horve;9639;NOR;1944;1946;1990;1990;2;6;2048;1;0;5;1;L9639;1944;1990;1990;x
Hovdenak;9640;NOR;1945;1990;1990;1990;3;4;0;1;0;5;1;L9640;1945;1990;1990;x
Landgraff;9638;NOR;1941;1945;1990;1990;3;5;0;1;0;5;1;L9638;1941;1990;1990;x
Otto;9630;NOR;1930;1930;1990;1990;2;5;0;2;0;5;1;L9630;1930;1938;1938;x
Storheill;9645;NOR;1946;1990;1990;1990;3;6;2048;1;0;5;1;L9645;1946;1990;1990;x
Tank-Nielsen;9646;NOR;1930;1938;1990;1990;3;5;1024;1;0;5;1;L9646;1930;1990;1990;x
Ullring;9642;NOR;1944;1990;1990;1990;3;5;2048;1;0;5;1;L9642;1944;1990;1990;x
Willoch;9648;NOR;1940;1990;1990;1990;3;4;0;1;0;5;1;L9648;1940;1990;1990;x
Bruunsgaard;9652;NOR;1930;1990;1990;1990;3;4;2048;1;0;5;2;L9652;1930;1938;1938;x
Bull G.;9651;NOR;1945;1948;1990;1990;3;5;0;1;0;5;2;L9651;1945;1990;1990;x
Bull O.;9650;NOR;1945;1990;1990;1990;3;6;4096;1;0;5;2;L9650;1945;1990;1990;x
Gulliksen;9653;NOR;1938;1990;1990;1990;3;4;0;1;0;5;2;L9653;1938;1990;1990;x
Lambrechts;9658;NOR;1946;1990;1990;1990;3;6;131072;1;0;5;2;L9658;1946;1990;1990;x
Lützow-Holm;9659;NOR;1938;1990;1990;1990;3;4;2048;1;0;5;2;L9659;1938;1990;1990;x
Motzfeldt;9661;NOR;1945;1990;1990;1990;3;6;0;1;0;5;2;L9661;1945;1990;1990;x
Reistad;9662;NOR;1945;1990;1990;1990;3;5;16384;1;0;5;2;L9662;1945;1990;1990;x
Riiser-Larsen;9663;NOR;1941;1944;1990;1990;2;5;131072;1;0;5;2;L9663;1941;1990;1990;x
Øen;9665;NOR;1945;1946;1947;1990;2;6;0;2;0;5;2;L9665;1945;1990;1990;x
