Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Aldea;4300;ROM;1940;1944;1990;1990;2;5;64;2;0;4;0;L4300;1940;1949;1949;x
Alexiu;4301;ROM;1944;1990;1990;1990;3;5;64;2;0;4;0;L4301;1944;1990;1990;x
Alinescu;4302;ROM;1941;1990;1990;1990;3;5;32;1;0;3;0;L4302;1941;1990;1990;x
Antonescu  I.;4303;ROM;1930;1940;1941;1942;0;7;0;4;0;3;0;L4303;1930;1990;1990;x
Argeseanu;4305;ROM;1930;1938;1990;1990;2;6;4;2;0;3;0;L4305;1930;1940;1940;x
Atanasiu;4306;ROM;1940;1942;1945;1990;1;6;0;2;0;3;0;L4306;1940;1990;1990;x
Avramescu;4307;ROM;1940;1942;1944;1990;1;6;264;3;0;4;0;L4307;1940;1990;1990;x
Balan;4364;ROM;1944;1990;1990;1990;3;5;264;2;0;4;0;L4364;1944;1990;1990;x
Baldescu;4309;ROM;1940;1944;1990;1990;2;6;0;3;0;4;0;L4309;1940;1990;1990;x
Bardan;4310;ROM;1943;1990;1990;1990;3;5;0;2;0;4;0;L4310;1943;1990;1990;x
Barzotescu;4334;ROM;1940;1990;1990;1990;3;5;0;2;0;4;0;L4334;1940;1990;1990;x
Boiteanu;4311;ROM;1930;1943;1990;1990;2;5;0;2;0;4;0;L4311;1930;1990;1990;x
Bratescu;4312;ROM;1942;1990;1990;1990;3;4;0;1;0;4;0;L4312;1942;1990;1990;x
Beldiceanu;4313;ROM;1943;1990;1990;1990;3;5;264;1;0;4;0;L4313;1943;1990;1990;x
Carlaont;4316;ROM;1941;1990;1990;1990;3;5;0;2;0;4;0;L4316;1941;1990;1990;x
Chirnoaga;4318;ROM;1944;1990;1990;1990;3;5;64;1;0;4;0;L4318;1944;1990;1990;x
Ciuperca;4320;ROM;1930;1938;1939;1990;1;6;0;2;0;4;0;L4320;1930;1942;1942;x
Constantinescu-Claps;4322;ROM;1937;1942;1944;1990;1;6;2;2;0;4;0;L4322;1937;1990;1990;x
Corbuleanu;4338;ROM;1944;1990;1990;1990;3;4;0;1;0;4;0;L4338;1944;1990;1990;x
Cornicioiu;4315;ROM;1930;1939;1990;1990;2;5;0;2;0;4;0;L4315;1930;1941;1941;x
Coroama;4314;ROM;1939;1990;1990;1990;3;5;0;2;0;4;0;L4314;1939;1990;1990;x
Cosma;4323;ROM;1943;1990;1990;1990;3;5;64;1;0;4;0;L4323;1943;1990;1990;x
Cretulescu;4317;ROM;1944;1990;1990;1990;3;5;8;2;0;4;0;L4317;1944;1990;1990;x
Damaceanu;4321;ROM;1944;1990;1990;1990;3;5;4;1;0;4;0;L4321;1944;1990;1990;x
Dascalescu;4324;ROM;1939;1942;1990;1990;2;6;2;2;0;4;0;L4324;1939;1990;1990;x
Dimitriu;4325;ROM;1941;1945;1990;1990;2;5;8;2;0;4;0;L4325;1941;1990;1990;x
Dragalina;4327;ROM;1938;1942;1990;1990;2;6;4;2;0;4;0;L4327;1938;1949;1949;x
Dragomir;4328;ROM;1945;1990;1990;1990;3;4;1;1;0;4;0;L4328;1945;1990;1990;x
Dumitrache;4329;ROM;1941;1947;1990;1990;2;6;264;2;0;4;0;L4329;1941;1990;1990;x
Dumitrescu;4330;ROM;1937;1941;1942;1990;1;7;0;3;0;5;0;L4330;1937;1990;1990;x
Eftimiu;4331;ROM;1944;1990;1990;1990;3;4;1;1;0;4;0;L4331;1944;1990;1990;x
Georgescu  G.;4335;ROM;1938;1990;1990;1990;3;4;32;1;0;4;0;L4335;1938;1990;1990;x
Georgescu  P.;4333;ROM;1938;1990;1990;1990;3;4;64;1;0;4;0;L4333;1938;1990;1990;x
Gherghe;4336;ROM;1938;1944;1990;1990;2;5;128;2;0;4;0;L4336;1938;1990;1990;x
Ghineraru;4337;ROM;1941;1990;1990;1990;3;5;0;2;0;4;0;L4337;1941;1990;1990;x
Glogojanu;4339;ROM;1941;1990;1990;1990;3;6;0;2;0;5;0;L4339;1941;1990;1990;x
Grozeanu;4340;ROM;1930;1990;1990;1990;3;5;512;2;0;5;0;L4340;1930;1938;1938;x
Iacobici;4341;ROM;1930;1938;1941;1990;2;6;9;2;0;5;0;L4341;1930;1990;1990;x
Ilasievici;4308;ROM;1930;1930;1940;1990;1;5;4;2;0;4;0;L4308;1930;1990;1990;x
Iliescu;4342;ROM;1941;1990;1990;1990;3;4;0;1;0;4;0;L4342;1941;1990;1990;x
Ilcusu;4343;ROM;1930;1939;1990;1990;2;5;0;2;0;4;0;L4343;1930;1941;1941;x
Ioanitiu;4344;ROM;1940;1990;1990;1990;3;5;64;1;0;4;0;L4344;1940;1942;1942;x
Ionascu;4345;ROM;1942;1945;1990;1990;2;6;64;2;0;4;0;L4345;1942;1990;1990;x
Ionescu;4346;ROM;1930;1939;1990;1990;2;5;0;2;0;4;0;L4346;1930;1990;1990;x
Ionescu-Sinaia;4347;ROM;1942;1945;1990;1990;2;5;0;2;0;4;0;L4347;1942;1990;1990;x
Korne;4348;ROM;1942;1990;1990;1990;3;6;132;2;0;4;0;L4348;1942;1990;1990;x
Lacatuscu;4349;ROM;1943;1946;1990;1990;2;6;72;2;0;4;0;L4349;1943;1990;1990;x
Lascar;4350;ROM;1941;1945;1947;1990;1;7;8;3;0;2;0;L4350;1941;1990;1990;x
Leventi;4352;ROM;1939;1990;1990;1990;3;5;0;2;0;4;0;L4352;1939;1990;1990;x
Macici;4354;ROM;1938;1942;1990;1990;2;6;0;2;0;4;0;L4354;1938;1990;1990;x
Manafu;4355;ROM;1942;1990;1990;1990;3;5;0;2;0;4;0;L4355;1942;1990;1990;x
Manoliu;4356;ROM;1939;1990;1990;1990;3;6;264;2;0;4;0;L4356;1939;1990;1990;x
Marinescu;4319;ROM;1943;1990;1990;1990;3;4;2;1;0;5;0;L4319;1943;1990;1990;x
Mazarini;4357;ROM;1941;1990;1990;1990;3;5;0;2;0;5;0;L4357;1941;1990;1990;x
Mihail;4358;ROM;1939;1940;1944;1990;1;5;0;2;0;5;0;L4358;1939;1990;1990;x
Mitranescu;4359;ROM;1938;1942;1990;1990;2;5;0;2;0;5;0;L4359;1938;1990;1990;x
Mociulschi;4360;ROM;1942;1990;1990;1990;2;6;264;2;0;4;0;L4360;1942;1990;1990;x
Mosiu;4361;ROM;1945;1990;1990;1990;3;4;64;1;0;4;0;L4361;1945;1990;1990;x
Motas;4392;ROM;1930;1938;1990;1990;2;5;64;2;0;4;0;L4392;1930;1940;1940;x
Nedelea;4363;ROM;1942;1990;1990;1990;3;5;0;2;0;4;0;L4363;1942;1990;1990;x
Opris;4365;ROM;1944;1990;1990;1990;3;5;0;1;0;4;0;L4365;1944;1990;1990;x
Palangeanu;4366;ROM;1944;1990;1990;1990;3;4;0;1;0;4;0;L4366;1944;1990;1990;x
Pantazi;4367;ROM;1939;1942;1990;1990;2;5;1;2;0;4;0;L4367;1939;1990;1990;x
Papadopol;4332;ROM;1937;1990;1990;1990;3;5;8;1;0;4;0;L4332;1937;1942;1942;x
Paraschivescu;4362;ROM;1943;1990;1990;1990;3;4;0;1;0;4;0;L4362;1943;1990;1990;x
Petrescu;4369;ROM;1944;1990;1990;1990;3;4;0;1;0;5;0;L4369;1944;1990;1990;x
Phleps;4470;ROM;1930;1937;1990;1990;2;8;4;4;0;5;0;L4370;1930;1941;1941;x
Popescu  D.;4371;ROM;1940;1990;1990;1990;3;4;0;1;0;4;0;L4371;1940;1990;1990;x
Popescu  I.D.;4372;ROM;1930;1939;1990;1990;2;5;0;2;0;4;0;L4372;1930;1990;1990;x
Potopeanu;4373;ROM;1941;1990;1990;1990;3;5;1;1;0;5;0;L4373;1941;1990;1990;x
Racovita;4374;ROM;1940;1942;1990;1990;2;6;4;2;0;5;0;L4374;1940;1990;1990;x
Radescu;4375;ROM;1930;1930;1944;1990;2;5;516;2;0;3;0;L4375;1930;1990;1990;x
Radulescu;4376;ROM;1942;1990;1990;1990;3;6;64;2;0;4;0;L4376;1942;1990;1990;x
Rozin;4379;ROM;1941;1943;1990;1990;2;5;4;2;0;5;0;L4379;1941;1990;1990;x
Saidac;4380;ROM;1943;1990;1990;1990;3;5;0;2;0;4;0;L4380;1943;1990;1990;x
Samsonovici;4353;ROM;1930;1930;1930;1990;1;6;514;2;0;5;0;L4353;1930;1938;1938;x
Sanatescu;4381;ROM;1938;1941;1944;1990;1;6;0;2;0;5;0;L4381;1938;1947;1947;x
Schwab;4384;ROM;1930;1943;1990;1990;2;6;8;3;0;4;0;L4384;1930;1990;1990;x
Serb;4385;ROM;1939;1990;1990;1990;3;5;0;1;0;5;0;L4385;1939;1990;1990;x
Sion;4386;ROM;1941;1990;1990;1990;3;6;128;1;0;4;0;L4386;1941;1990;1990;x
Sova;4387;ROM;1938;1944;1990;1990;2;6;0;2;0;5;0;L4387;1938;1990;1990;x
Stanculescu;4304;ROM;1943;1990;1990;1990;3;5;65;1;0;5;0;L4304;1943;1990;1990;x
Stavrat;4388;ROM;1940;1990;1990;1990;3;5;1;1;0;5;0;L4388;1940;1990;1990;x
Stavrescu;4389;ROM;1940;1945;1990;1990;2;6;0;2;0;5;0;L4389;1940;1990;1990;x
Steflea;4390;ROM;1941;1944;1990;1990;2;6;0;2;0;4;0;L4390;1941;1990;1990;x
Stoenescu;4391;ROM;1941;1990;1990;1990;3;5;128;1;0;4;0;L4391;1941;1990;1990;x
Tataranu;4393;ROM;1942;1990;1990;1990;3;6;8;3;0;5;0;L4393;1942;1990;1990;x
Tenescu;4383;ROM;1930;1940;1990;1990;2;5;0;2;0;5;0;L4383;1930;1990;1990;x
Teodorescu;4394;ROM;1938;1942;1990;1990;2;5;0;2;0;5;0;L4394;1938;1990;1990;x
Teodorini;4382;ROM;1942;1990;1990;1990;3;6;4;2;0;5;0;L4382;1942;1990;1990;x
Trestioreanu;4351;ROM;1941;1990;1990;1990;3;5;64;1;0;4;0;L4351;1941;1990;1990;x
Trincu;4377;ROM;1941;1990;1990;1990;3;5;0;2;0;4;0;L4377;1941;1990;1990;x
Vasiliu;4378;ROM;1943;1990;1990;1990;3;4;0;1;0;5;0;L4378;1943;1990;1990;x
Vasiliu-Rascanu;4326;ROM;1942;1945;1990;1990;2;6;264;2;0;5;0;L4326;1942;1990;1990;x
Visarion;4368;ROM;1944;1990;1990;1990;3;4;1;1;0;2;0;L4368;1944;1990;1990;x
Balanescu;4402;ROM;1930;1930;1990;1990;2;5;0;2;0;3;1;L4402;1930;1938;1938;x
Barbuneanu;4403;ROM;1930;1937;1945;1990;2;5;0;2;0;3;1;L4403;1930;1990;1990;x
Costachescu;4405;ROM;1941;1990;1990;1990;3;4;1024;0;0;3;1;L4405;1941;1990;1990;x
Georgescu;4404;ROM;1940;1942;1990;1990;2;6;0;2;0;3;1;L4404;1940;1990;1990;x
Grecescu;4407;ROM;1949;1990;1990;1990;3;5;0;1;0;3;1;L4407;1949;1990;1990;x
Koslinski;4423;ROM;1938;1990;1990;1990;3;5;8192;1;0;3;1;L4423;1938;1990;1990;x
Macellariu;4406;ROM;1943;1990;1990;1990;3;6;2048;2;0;4;1;L4406;1943;1990;1990;x
Pelimon ;4426;ROM;1943;1990;1990;1990;3;4;0;1;0;4;1;L4426;1943;1990;1990;x
Roman;4425;ROM;1944;1990;1990;1990;3;5;0;1;0;4;1;L4425;1944;1990;1990;x
Rosca;4408;ROM;1937;1940;1990;1990;2;5;0;2;0;4;1;L4408;1937;1943;1943;x
Savulescu;4409;ROM;1946;1990;1990;1990;3;5;0;1;0;4;1;L4409;1946;1990;1990;x
Stoianovici;4424;ROM;1944;1990;1990;1990;3;4;0;1;0;4;1;L4424;1944;1990;1990;x
Balotescu;4411;ROM;1946;1990;1990;1990;3;4;0;1;0;4;2;L4411;1946;1990;1990;x
Celareanu;4410;ROM;1930;1940;1990;1990;2;4;0;2;0;4;2;L4410;1930;1990;1990;x
Davidescu;4412;ROM;1939;1990;1990;1990;3;5;8192;1;0;5;2;L4412;1939;1990;1990;x
Diculescu;4415;ROM;1937;1940;1990;1990;2;5;0;2;0;5;2;L4415;1937;1990;1990;x
Enescu;4413;ROM;1930;1942;1990;1990;3;4;0;1;0;4;2;L4413;1930;1990;1990;x
Gheorghiu;4416;ROM;1939;1942;1990;1990;2;5;16384;2;0;3;2;L4416;1939;1990;1990;x
Ionescu;4417;ROM;1940;1943;1990;1990;2;6;16384;2;0;4;2;L4417;1940;1990;1990;x
Jienescu;4418;ROM;1940;1941;1990;1990;2;5;4096;1;0;4;2;L4418;1940;1990;1990;x
Macarescu;4420;ROM;1944;1990;1990;1990;3;4;0;1;0;5;2;L4420;1944;1990;1990;x
Romanescu;4419;ROM;1941;1944;1990;1990;3;6;4096;1;0;5;2;L4419;1941;1990;1990;x
