Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bodicky;70000;SLO;1942;1990;1990;1990;3;4;0;1;0;5;0;L70000;1942;1990;1990;x
Catlos;70002;SLO;1930;1930;1940;1990;2;6;8;2;0;5;0;L70002;1930;1990;1990;x
Cernek;70001;SLO;1944;1990;1990;1990;3;4;0;1;0;5;0;L70001;1944;1990;1990;x
Cunderlik;70003;SLO;1930;1942;1990;1990;2;5;576;2;0;5;0;L70003;1930;1947;1947;x
Jurech;70006;SLO;1940;1990;1990;1990;3;5;0;1;0;3;0;L70006;1940;1990;1990;x
Kanak;70009;SLO;1944;1990;1990;1990;3;4;0;1;0;5;0;L70009;1944;1990;1990;x
Kuna;70008;SLO;1941;1990;1990;1990;3;5;0;1;0;5;0;L70008;1941;1990;1990;x
Malar;70010;SLO;1930;1990;1990;1990;3;6;4;2;0;5;0;L70010;1930;1990;1990;x
Markus;70007;SLO;1943;1990;1990;1990;3;5;0;1;0;5;0;L70007;1943;1990;1990;x
Peknik;70004;SLO;1943;1990;1990;1990;3;5;1;1;0;5;0;L70004;1943;1990;1990;x
Pilfousek;70011;SLO;1940;1990;1990;1990;3;5;0;1;0;4;0;L70011;1940;1990;1990;x
Tatarko;70005;SLO;1943;1990;1990;1990;3;4;0;1;0;5;0;L70005;1943;1990;1990;x
Turanec;70013;SLO;1941;1990;1990;1990;3;6;68;1;0;4;0;L70013;1941;1990;1990;x
Pulanich;70012;SLO;1930;1942;1990;1990;2;5;0;2;0;4;0;L70012;1930;1990;1990;x
Sirica;70014;SLO;1943;1990;1990;1990;3;5;0;1;0;4;0;L70014;1943;1990;1990;x
Catlos;70015;SLO;1930;1990;1990;1990;3;5;0;0;0;4;1;L70002;1930;1990;1990;x
Ballay;70016;SLO;1943;1990;1990;1990;3;5;0;1;0;3;2;L70016;1943;1990;1990;x
Jurech;70017;SLO;1942;1990;1990;1990;3;5;0;1;0;3;2;L70006;1942;1990;1990;x
Pilfousek;70018;SLO;1941;1990;1990;1990;3;4;0;1;0;4;2;L70011;1941;1990;1990;x
Pulanich;70019;SLO;1930;1942;1990;1990;2;5;0;1;0;4;2;L70012;1930;1990;1990;x
