Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bakkers;5720000;U19;1941;1990;1990;1990;3;4;0;1;0;5;0;L7870;1941;1990;1990;x
Berenschot;5720001;U19;1930;1939;1990;1990;2;6;1;3;0;5;0;L7871;1930;1990;1990;x
Boerstra;5720002;U19;1930;1930;1990;1990;2;5;1;2;0;4;0;L7872;1930;1940;1940;x
Cox;5720003;U19;1938;1990;1990;1990;3;4;0;1;0;5;0;L7873;1938;1990;1990;x
Ilgen;5720004;U19;1930;1990;1990;1990;3;5;4;1;0;3;0;L7874;1930;1990;1990;x
Overakker;5720005;U19;1942;1990;1990;1990;3;5;2;1;0;5;0;L7875;1942;1990;1990;x
Pesman;5720006;U19;1939;1990;1990;1990;3;4;0;2;0;5;0;L7876;1939;1990;1990;x
Schilling;5720027;U19;1941;1990;1990;1990;3;4;0;2;0;5;0;L7882;1941;1990;1990;x
Spoor;5720007;U19;1946;1947;1949;1990;2;6;0;1;0;5;0;L7877;1946;1990;1990;x
Statius-Muller;5720008;U19;1937;1990;1990;1990;3;4;32;1;0;5;0;L7878;1937;1990;1990;x
ter Poorten;5720009;U19;1937;1941;1990;1990;2;6;64;2;0;5;0;L7879;1937;1990;1990;x
van Oyen;5720010;U19;1943;1943;1990;1990;2;5;0;2;0;5;0;L7880;1943;1990;1990;x
van Straaten;5720011;U19;1945;1990;1990;1990;3;5;0;2;0;5;0;L7881;1945;1990;1990;x
Bussemaker;5720012;U19;1941;1990;1990;1990;3;5;1024;0;0;5;1;L7890;1941;1990;1990;x
Doorman K.;5720013;U19;1940;1990;1990;1990;3;5;8192;2;0;4;1;L7891;1940;1990;1990;x
Ferwerda;5720014;U19;1930;1938;1990;1990;2;6;8192;3;0;5;1;L7892;1930;1940;1940;x
Helfrich;5720015;U19;1938;1940;1945;1990;1;6;0;3;0;4;1;L7893;1938;1990;1990;x
Hetterschij;5720016;U19;1930;1990;1990;1990;3;4;1024;0;0;5;1;L7894;1930;1990;1990;x
Koenraad;5720017;U19;1942;1990;1990;1990;3;5;0;2;0;5;1;L7895;1942;1990;1990;x
Pinke;5720018;U19;1945;1947;1990;1990;2;6;2048;2;0;5;1;L7896;1945;1990;1990;x
Stöve;5720019;U19;1940;1990;1990;1990;3;5;0;2;0;5;1;L7897;1940;1990;1990;x
van der Have;5720020;U19;1937;1990;1990;1990;3;4;1024;0;0;5;1;L7898;1937;1990;1990;x
van Staveren;5720021;U19;1942;1990;1990;1990;3;5;0;2;0;5;1;L7899;1942;1990;1990;x
van Straelen;5720022;U19;1940;1990;1990;1990;3;4;0;1;0;5;1;L7900;1940;1990;1990;x
Willinge;5720023;U19;1944;1990;1990;1990;3;5;2048;1;0;5;1;L7901;1944;1990;1990;x
de Broeckert;5720024;U19;1946;1990;1990;1990;3;5;0;1;0;5;2;L7905;1946;1990;1990;x
Kengen;5720025;U19;1943;1945;1990;1990;3;5;0;2;0;5;2;L7906;1943;1990;1990;x
van Oyen;5720026;U19;1930;1940;1943;1990;2;5;0;2;0;5;2;L7907;1930;1990;1990;x
