Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adler;60000;USA;1941;1990;1990;1990;3;4;0;1;0;5;0;L60000;1941;1990;1990;x
Alexander;60001;USA;1941;1990;1990;1990;3;4;0;1;0;5;0;L60001;1941;1990;1990;x
Alfonte;60002;USA;1942;1990;1990;1990;3;4;1;1;0;5;0;L60002;1942;1990;1990;x
Allen  F.A.;60005;USA;1942;1990;1990;1990;3;5;128;1;0;5;0;L60005;1942;1990;1990;x
Allen  R.R.;60006;USA;1943;1990;1990;1990;3;6;128;2;0;5;0;L60006;1943;1990;1990;x
Allen T.;60125;USA;1942;1990;1990;1990;3;7;4;3;0;5;0;L60125;1942;1990;1990;x
Almond;60007;USA;1942;1990;1990;1990;3;6;0;2;0;5;0;L60007;1942;1990;1990;x
Althaus;60008;USA;1943;1990;1990;1990;3;5;128;1;0;5;0;L60008;1943;1990;1990;x
Andersen;60009;USA;1943;1990;1990;1990;3;4;0;1;0;5;0;L60009;1943;1990;1990;x
Anderson  J.B.;60010;USA;1942;1944;1990;1990;3;5;64;2;0;5;0;L60010;1942;1990;1990;x
Anderson  J.W.;60011;USA;1942;1943;1990;1990;3;5;64;2;0;5;0;L60011;1942;1990;1990;x
Andrus;60012;USA;1944;1990;1990;1990;3;6;64;3;0;5;0;L60012;1944;1990;1990;x
Ankcorn;60013;USA;1943;1990;1990;1990;3;4;0;1;0;5;0;L60013;1943;1990;1990;x
Arms;60014;USA;1943;1990;1990;1990;3;5;0;1;0;5;0;L60014;1943;1990;1990;x
Arnold A.V.;60016;USA;1944;1990;1990;1990;3;6;64;2;0;5;0;L60016;1944;1990;1990;x
Arnold W.H.;60003;USA;1944;1990;1990;1990;3;6;0;2;0;5;0;L60003;1944;1990;1990;x
Arrowsmith;60017;USA;1943;1990;1990;1990;3;4;32;1;0;5;0;L60017;1943;1990;1990;x
Aurand;60004;USA;1942;1948;1990;1990;3;5;1;1;0;5;0;L60004;1942;1990;1990;x
Baade;60018;USA;1943;1990;1990;1990;3;5;4;2;0;5;0;L60018;1943;1990;1990;x
Baehr;60019;USA;1943;1990;1990;1990;3;5;64;1;0;5;0;L60019;1943;1990;1990;x
Baker;60021;USA;1941;1990;1990;1990;3;5;0;1;0;5;0;L60021;1941;1990;1990;x
Barker;60022;USA;1943;1990;1990;1990;3;5;64;2;0;5;0;L60022;1943;1990;1990;x
Barnett;60024;USA;1944;1990;1990;1990;3;5;0;2;0;5;0;L60024;1944;1990;1990;x
Barr;60025;USA;1944;1990;1990;1990;3;6;0;2;0;5;0;L60025;1944;1990;1990;x
Barrett;60026;USA;1942;1990;1990;1990;3;6;256;2;0;5;0;L60026;1942;1990;1990;x
Barton;60027;USA;1942;1990;1990;1990;3;6;4;2;0;5;0;L60027;1942;1990;1990;x
Bash;60028;USA;1930;1990;1990;1990;3;5;513;1;0;5;0;L60028;1930;1937;1937;x
Beasly;60029;USA;1942;1990;1990;1990;3;5;64;1;0;5;0;L60029;1942;1990;1990;x
Beiderlinden;60032;USA;1947;1990;1990;1990;3;5;64;2;0;5;0;L60032;1947;1990;1990;x
Beightler;60033;USA;1940;1990;1990;1990;3;6;0;2;0;5;0;L60033;1940;1990;1990;x
Birkhead;60035;USA;1930;1990;1990;1990;3;4;64;1;0;5;0;L60035;1930;1942;1942;x
Bixby;60037;USA;1944;1990;1990;1990;3;5;64;1;0;5;0;L60037;1944;1990;1990;x
Blackmore;60038;USA;1944;1990;1990;1990;3;4;1;1;0;5;0;L60038;1944;1990;1990;x
Blakeley;60039;USA;1944;1990;1990;1990;3;5;192;1;0;5;0;L60039;1944;1990;1990;x
Boatner;60042;USA;1943;1990;1990;1990;3;6;16;1;0;5;0;L60042;1943;1990;1990;x
Bolling;60045;USA;1944;1990;1990;1990;3;6;0;2;0;5;0;L60045;1944;1990;1990;x
Bolte;60046;USA;1943;1990;1990;1990;3;6;4;2;0;5;0;L60046;1943;1990;1990;x
Bonesteel Jr.;60047;USA;1941;1990;1990;1990;3;5;1;1;0;5;0;L60047;1941;1990;1990;x
Boudinot;60049;USA;1944;1990;1990;1990;3;5;128;1;0;5;0;L60049;1944;1990;1990;x
Bourke;60034;USA;1944;1990;1990;1990;3;5;320;2;0;5;0;L60034;1944;1990;1990;x
Bowen;60050;USA;1945;1990;1990;1990;3;6;384;1;0;5;0;L60050;1945;1990;1990;x
Bowley;60051;USA;1930;1930;1990;1990;2;5;514;1;0;5;0;L60051;1930;1939;1939;x
Bowman;60052;USA;1944;1990;1990;1990;3;5;32;1;0;5;0;L60052;1944;1990;1990;x
Bradley  J.L.;60056;USA;1942;1990;1990;1990;3;5;0;2;0;5;0;L60056;1942;1990;1990;x
Bradley  O.N.;60057;USA;1942;1943;1945;1950;0;9;35;5;0;5;0;L60057;1942;1990;1990;x
Bradshaw;60058;USA;1943;1990;1990;1990;3;5;2;1;0;5;0;L60058;1943;1990;1990;x
Bragdon;60015;USA;1943;1990;1990;1990;3;5;32;1;0;5;0;L60015;1943;1990;1990;x
Brann;60059;USA;1943;1990;1990;1990;3;5;0;1;0;5;0;L60059;1943;1990;1990;x
Brees;60061;USA;1930;1930;1990;1990;2;5;516;2;0;5;0;L60061;1930;1942;1942;x
Brett;60062;USA;1942;1990;1990;1990;3;5;128;1;0;5;0;L60062;1942;1944;1944;x
Brooks;60065;USA;1942;1949;1990;1990;2;7;132;3;0;5;0;L60065;1942;1990;1990;x
Brown A.E.;60067;USA;1942;1990;1990;1990;3;5;1;2;0;5;0;L60067;1942;1990;1990;x
Brown T.K.;60043;USA;1942;1990;1990;1990;3;5;4;1;0;5;0;L60043;1942;1990;1990;x
Bruce;60068;USA;1942;1990;1990;1990;3;6;2;2;0;5;0;L60068;1942;1990;1990;x
Brush;60069;USA;1942;1990;1990;1990;3;5;0;2;0;5;0;L60069;1942;1990;1990;x
Bryan;60044;USA;1943;1990;1990;1990;3;6;0;1;0;5;0;L60044;1943;1990;1990;x
Bryden;60070;USA;1940;1990;1990;1990;3;5;64;1;0;5;0;L60070;1940;1990;1990;x
Buckner;60073;USA;1941;1943;1944;1990;2;6;0;3;0;5;0;L60073;1941;1990;1990;x
Buechler;60074;USA;1943;1990;1990;1990;3;5;64;1;0;5;0;L60074;1943;1990;1990;x
Bull;60075;USA;1942;1949;1990;1990;3;6;0;2;0;5;0;L60075;1942;1990;1990;x
Burress;60078;USA;1942;1945;1990;1990;3;6;0;2;0;5;0;L60078;1942;1990;1990;x
Busbee;60079;USA;1942;1990;1990;1990;3;5;64;1;0;5;0;L60079;1942;1990;1990;x
Byers;60081;USA;1945;1990;1990;1990;3;7;4;2;0;5;0;L60081;1945;1990;1990;x
Campbell;60086;USA;1942;1946;1990;1990;3;4;1;1;0;5;0;L60086;1942;1990;1990;x
Canham;60087;USA;1944;1990;1990;1990;3;6;4;1;0;5;0;L60087;1944;1990;1990;x
Casey;60090;USA;1944;1990;1990;1990;3;6;32;1;0;5;0;L60090;1944;1990;1990;x
Cates;60091;USA;1944;1946;1948;1990;2;7;256;3;0;5;0;L60091;1944;1990;1990;x
Chaffee;60092;USA;1930;1990;1990;1990;3;6;128;2;0;5;0;L60092;1930;1942;1942;x
Chamberlin;60093;USA;1943;1948;1990;1990;2;5;1;2;0;5;0;L60093;1943;1990;1990;x
Chapman;60094;USA;1943;1990;1990;1990;3;5;256;2;0;5;0;L60094;1943;1990;1990;x
Chase;60095;USA;1945;1990;1990;1990;3;5;4;2;0;5;0;L60095;1945;1990;1990;x
Christiansen;60096;USA;1944;1990;1990;1990;3;5;128;1;0;5;0;L60096;1944;1990;1990;x
Clark;60098;USA;1942;1943;1945;1990;1;8;4;3;0;5;0;L60098;1942;1990;1990;x
Clarkson;60100;USA;1942;1990;1990;1990;3;5;0;2;0;5;0;L60100;1942;1990;1990;x
Clay;60101;USA;1943;1945;1947;1990;2;7;1;2;0;5;0;L60101;1943;1990;1990;x
Collier;60103;USA;1945;1990;1990;1990;3;6;128;2;0;5;0;L60103;1945;1990;1990;x
Collins  H.J.;60104;USA;1943;1990;1990;1990;3;5;0;2;0;5;0;L60104;1943;1990;1990;x
Collins  J.L.;60105;USA;1942;1945;1948;1949;1;9;20;4;0;5;0;L60105;1942;1990;1990;x
Colson;60106;USA;1944;1990;1990;1990;3;5;128;1;0;5;0;L60106;1944;1990;1990;x
Conklin;60107;USA;1945;1990;1990;1990;3;5;32;1;0;5;0;L60107;1945;1990;1990;x
Corlett;60109;USA;1942;1944;1990;1990;3;7;4;3;0;5;0;L60109;1942;1990;1990;x
Cota;60040;USA;1944;1990;1990;1990;3;6;4;2;0;5;0;L60040;1944;1990;1990;x
Coulter;60110;USA;1942;1948;1990;1990;2;6;12;2;0;5;0;L60110;1942;1990;1990;x
Cox;60111;USA;1930;1990;1990;1990;3;4;64;1;0;5;0;L60111;1930;1942;1942;x
Craig E.A.;60031;USA;1946;1990;1990;1990;3;6;256;2;0;5;0;L60031;1946;1990;1990;x
