Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Arnaud;380000;VIC;1939;1942;1990;1990;2;4;2;2;0;4;0;L380000;1939;1990;1990;x
Audet;380001;VIC;1930;1938;1943;1990;2;5;1;3;0;4;0;L380001;1930;1990;1990;x
Barrau;380002;VIC;1943;1990;1990;1990;3;4;0;1;0;4;0;L380002;1943;1990;1990;x
Barthélémy;380003;VIC;1942;1990;1990;1990;3;4;1;1;0;3;0;L380003;1942;1990;1990;x
Bridoux;380004;VIC;1930;1930;1990;1990;2;4;0;1;0;5;0;L380004;1930;1990;1990;x
Brocard;380005;VIC;1939;1990;1990;1990;3;5;128;1;0;5;0;L380005;1939;1990;1990;x
Carlès;380006;VIC;1930;1938;1990;1990;2;4;1;2;0;4;0;L380006;1930;1990;1990;x
Colson;380008;VIC;1930;1930;1930;1990;1;6;2;1;0;2;0;L380008;1930;1990;1990;x
de Boissieu de Lugne;380009;VIC;1939;1990;1990;1990;3;5;4;1;0;5;0;L380009;1939;1990;1990;x
de Cyvoct;380010;VIC;1939;1941;1990;1990;2;4;514;2;0;4;0;L380010;1939;1990;1990;x
de Griffolet de Laurimont;380011;VIC;1943;1990;1990;1990;3;4;256;1;0;3;0;L380011;1943;1990;1990;x
Debeney;380012;VIC;1937;1942;1990;1990;2;6;514;2;0;3;0;L380012;1937;1990;1990;x
Dentz;380013;VIC;1930;1930;1938;1990;1;4;256;3;0;3;0;L380013;1930;1990;1990;x
Desmazes;380014;VIC;1930;1939;1990;1990;2;4;0;2;0;4;0;L380014;1930;1990;1990;x
de Verdillac;380015;VIC;1930;1938;1941;1990;1;6;1;3;0;5;0;L380015;1930;1990;1990;x
Doumenc;380016;VIC;1930;1930;1930;1990;1;4;514;1;0;4;0;L380016;1930;1990;1990;x
Dubuisson;380017;VIC;1930;1930;1939;1990;1;4;0;2;0;3;0;L380017;1930;1990;1990;x
