Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Aracic;46000;YUG;1930;1990;1990;1990;3;4;0;1;0;3;0;L46000;1930;1990;1990;x
Blagojevic;46001;YUG;1938;1990;1990;1990;3;4;1;1;0;3;0;L46001;1938;1990;1990;x
Bodi;46002;YUG;1930;1990;1990;1990;3;4;0;1;0;3;0;L46002;1930;1990;1990;x
Brasic;46003;YUG;1930;1940;1990;1990;2;5;0;2;0;5;0;L46003;1930;1990;1990;x
Cukavac;46004;YUG;1930;1941;1990;1990;2;4;0;2;0;3;0;L46004;1930;1990;1990;x
Damjanovic J.;46005;YUG;1930;1990;1990;1990;3;4;0;1;0;3;0;L46005;1930;1990;1990;x
Damjanovic M.;46075;YUG;1938;1990;1990;1990;3;5;0;1;0;3;0;L46075;1938;1990;1990;x
Dekaneva;46023;YUG;1937;1990;1990;1990;3;4;0;1;0;3;0;L46023;1937;1990;1990;x
Djordjevic;46030;YUG;1930;1990;1990;1990;3;4;0;1;0;3;0;L46030;1930;1990;1990;x
Djukic;46006;YUG;1930;1990;1990;1990;3;4;0;2;0;3;0;L46006;1930;1990;1990;x
Djukanovic;46065;YUG;1930;1990;1990;1990;3;4;0;1;0;3;0;L46065;1930;1990;1990;x
Draskic;46043;YUG;1930;1990;1990;1990;3;4;0;2;0;3;0;L46043;1930;1937;1937;x
Dodic;46066;YUG;1930;1990;1990;1990;3;4;4;1;0;3;0;L46066;1930;1990;1990;x
Glisic;46008;YUG;1937;1990;1990;1990;3;4;1;1;0;4;0;L46008;1937;1990;1990;x
Ilic;46010;YUG;1930;1937;1990;1990;2;5;0;2;0;4;0;L46010;1930;1990;1990;x
Jankovic;46012;YUG;1940;1940;1990;1990;2;6;0;2;0;4;0;L46012;1940;1990;1990;x
Josimovic;46013;YUG;1937;1990;1990;1990;3;4;0;1;0;3;0;L46013;1937;1990;1990;x
Jurisic;46007;YUG;1930;1930;1990;1990;2;5;4;1;0;3;0;L46007;1930;1990;1990;x
Kalafatovic;46041;YUG;1940;1940;1940;1990;1;5;514;1;0;3;0;L46041;1940;1945;1945;x
Kilar;46042;YUG;1939;1990;1990;1990;3;4;0;1;0;3;0;L46042;1939;1990;1990;x
Kosic;46015;YUG;1930;1937;1940;1990;1;6;0;2;0;4;0;L46015;1930;1990;1990;x
Kostic M.;46009;YUG;1930;1990;1990;1990;3;4;32;1;0;3;0;L46009;1930;1990;1990;x
Kostic Vl.;46011;YUG;1930;1990;1990;1990;3;5;0;2;0;3;0;L46011;1930;1990;1990;x
Kostic Vo.;46024;YUG;1930;1990;1990;1990;3;4;0;1;0;3;0;L46024;1930;1990;1990;x
Krstic D.;46014;YUG;1937;1990;1990;1990;3;5;0;1;0;3;0;L46014;1937;1990;1990;x
Krstic V.;46034;YUG;1930;1990;1990;1990;3;4;64;1;0;3;0;L46034;1930;1990;1990;x
Langerholc;46016;YUG;1939;1990;1990;1990;3;4;0;1;0;3;0;L46016;1939;1990;1990;x
Lukic D.;46077;YUG;1930;1990;1990;1990;3;4;0;1;0;3;0;L46077;1930;1990;1990;x
Lukic M.;46020;YUG;1940;1990;1990;1990;3;5;264;1;0;3;0;L46020;1940;1990;1990;x
Majstorovic;46021;YUG;1937;1990;1990;1990;3;4;0;1;0;3;0;L46021;1937;1990;1990;x
Maric;46067;YUG;1930;1930;1930;1990;1;5;514;1;0;3;0;L46067;1930;1937;1937;x
Mihailovic;46022;YUG;1942;1990;1990;1990;3;6;16;2;0;5;0;L46022;1942;1990;1990;x
Milicevic;46068;YUG;1938;1990;1990;1990;3;5;0;1;0;3;0;L46068;1938;1990;1990;x
Musicki;46069;YUG;1944;1990;1990;1990;3;5;0;1;0;3;0;L46069;1944;1990;1990;x
Naumovic;46017;YUG;1930;1940;1990;1990;2;4;0;2;0;3;0;L46017;1930;1945;1945;x
Nedeljkovic;46025;YUG;1930;1940;1990;1990;2;5;4;1;0;4;0;L46025;1930;1990;1990;x
Nedic Milan;46038;YUG;1940;1940;1940;1990;1;6;514;2;0;3;0;L46038;1940;1990;1990;x
Nedic Milutin;46026;YUG;1937;1937;1937;1990;1;6;0;2;0;3;0;L46026;1937;1990;1990;x
Novakovic;46070;YUG;1939;1990;1990;1990;3;4;64;1;0;3;0;L46070;1939;1990;1990;x
Opacic;46031;YUG;1940;1990;1990;1990;3;4;0;1;0;2;0;L46031;1940;1990;1990;x
Petrovic;46029;YUG;1930;1939;1941;1990;1;5;0;2;0;4;0;L46029;1930;1990;1990;x
Plesnicar;46039;YUG;1930;1990;1990;1990;3;4;0;1;0;3;0;L46039;1930;1990;1990;x
Popadic;46071;YUG;1930;1990;1990;1990;3;4;64;1;0;3;0;L46071;1930;1990;1990;x
Radisavljevic;46076;YUG;1930;1990;1990;1990;3;4;512;1;0;3;0;L46076;1930;1943;1943;x
Radovic;46019;YUG;1937;1990;1990;1990;3;5;0;1;0;3;0;L46019;1937;1990;1990;x
Rajh;46079;YUG;1940;1990;1990;1990;3;4;0;1;0;3;0;L46079;1940;1990;1990;x
Rakusa;46018;YUG;1940;1990;1990;1990;3;4;0;1;0;3;0;L46018;1940;1990;1990;x
Ranosovic;46044;YUG;1940;1990;1990;1990;3;4;0;1;0;3;0;L46044;1940;1990;1990;x
Ristic;46027;YUG;1930;1990;1990;1990;3;5;0;2;0;3;0;L46027;1930;1990;1990;x
Rupnik;46033;YUG;1930;1990;1990;1990;3;4;2;1;0;4;0;L46033;1930;1990;1990;x
Simovic;46035;YUG;1930;1937;1938;1990;1;6;0;3;0;4;0;L46035;1930;1990;1990;x
