0_PERSONALITY_none_ 						

// Head of State:				Effects:
1_PERSONALITY_Autocratic Charmer: 		CG need -5%; IC -10%; Dissent growth rate -10%; 
2_PERSONALITY_Barking Buffoon: 			Organisation regain -5%; Peacetime Belligerence -0.4 per month;	Alliance chance with Democracies +30% 
3_PERSONALITY_Benevolent Gentleman:		CG need -5%; Dissent growth rate -10%; Belligerence required for DOW +20% 
4_PERSONALITY_Die-hard Reformer:		CG need -10%; Belligerence needed for DOW -15%; Money Production -25% 
5_PERSONALITY_Insignificant Layman:		Dissent growth rate +5%; Money production +5% 
6_PERSONALITY_Pig-headed Isolationist:		Belligerence required for declaration of war +30%; Money production +25% 
7_PERSONALITY_Popular Figurehead:		Consumer goods need +10%; Dissent growth rate -50% 
8_PERSONALITY_Power-Hungry Demagogue: 		Wartime Belligerence +0.2 per month; Peacetime Belligerence -0.5 per month; Alliance chance with Dictatorships + 50% 
9_PERSONALITY_Resigned Generalissimo: 		Supplies +10%; Dissent growth rate +10%; Money production -10%; Transport Capacity +15% 
10_PERSONALITY_Ruthless Powermonger:		Inf. constr -25%; Mill constr -25%; Money production -25%; Chance to coup us -80%; Unit Organisation -10% 
11_PERSONALITY_Stern Imperialist: 		CG need -5%; Unit build costs -10%; Dissent growth rate +20% 
12_PERSONALITY_Weary Stiffneck:			Organisation regain +5%; Diplomatic costs +10% 
 
// Head of Government:
13_PERSONALITY_Ambitious Union Boss:		CG need -15%; Dissent growth rate +5% Money production -30%  
14_PERSONALITY_Backroom Backstabber:		IC -5%; Chance to coup us -30%; Coup Nation 900 (1000)  
15_PERSONALITY_Corporate Suit:			Money production +50%; Dissent growth rate +10%; Unit build costs +5% 
16_PERSONALITY_Flamboyant Tough Guy: 		Alliance chance with close ideologies +50%; Leader skill efficiency -10%  
17_PERSONALITY_Happy Amateur:			Dissent Growth Rate -10%; Money Production -5% 
18_PERSONALITY_Naive Optimist:			CG need -10%; Belligerence required for DOW +10%  
19_PERSONALITY_Old Admiral:			CA+CL+DD constr bonus -5%; Tac+Escort constr bonus +5%; 	 
20_PERSONALITY_Old Air Marshal:			Tac + Escort constr bonus -5%; Inf + Mount + Mill constr bonus +5%;  
21_PERSONALITY_Old General:			Inf, Mount, Mil constr bonus -5%; CA, CL, DD constr bonus +5%;  
22_PERSONALITY_Political Protege:		CG need +3%; Dissent growth rate -5% 	 
23_PERSONALITY_Silent Workhorse:		IC +5%; Diplomacy costs +20% 
24_PERSONALITY_Smiling Oilman:			Alliance chance -20%; Oil production +10%  

// Foreign Minister:
25_PERSONALITY_APOLOGETIC_CLERK 		Influence -133(-100), Cancelling or revoking mil. access 0(-30), Sue for peace 0(0).
26_PERSONALITY_BIASED_INTELLECTUAL 		Target government of different type:offer alliance -50(-100),Bring to alliance -50(-100), join alliance -15(-30), Guarantee independence -15(-30), open negotiations -8(-30), offer trade 0(0),sue for peace 0(0)
27_PERSONALITY_IDEOLOGICAL_CRUSADER 		Influence -67(-100), open negotiations -8(-30), offer trade 0(0)
28_PERSONALITY_IRON_FISTED_BRUTE		Influence -67(-100) anneks 0(0), Demand Territory -67(-100).
29_PERSONALITY_GENERAL_STAFFER 			Ask for mil. acces -75(-150), assume mil. control 0(0)
30_PERSONALITY_GREAT_COMPROMISER		offer alliance -50(-100), bring to alliance -50(-100), join alliance -15(-30),leave alliance -90(-150),Ban from alliance -90(-150), guarantee indepedence -15(-30)
31_PERSONALITY_THE_CLOAK_N_DAGGER_SCHEMER 	coup nations -667(-1000), puppet regime 0(0)

// Armaments Minister:
32_PERSONALITY_ADMINISTRATIVE_GENIUS_ 		IC +10%.  
33_PERSONALITY_AIR_SUPERIORITY_PROPONENT_ 	Aircraft research +10%.
34_PERSONALITY_BATTLE_FLEET_PROPONENT_ 		Naval research +10%. 
35_PERSONALITY_RESOURCE_INDUSTRIALIST_ 		IC. +5%, Industry research. +10%. 
36_PERSONALITY_LAISSEZ_FAIRES_CAPITALIST_ 	CG need -20%. 
37_PERSONALITY_THEORETICAL_SCIENTIST_ 		Secret weapons research +10%.
38_PERSONALITY_MILITARY_ENTREPRENEUR_ 		20% more supplies produced per IC
39_PERSONALITY_SUBMARINE_PROPONENT_ 		SS construction -10%. 
40_PERSONALITY_TANK_PROPONENT_ 			Armor and Artillery research +10%. 
41_PERSONALITY_INFANTRY_PROPONENT_ 		Infantry research +10%.  
42_PERSONALITY_CORRUPT_KLEPTOCRAT_ 		10% less supplies produced per IC, -5% IC.
43_PERSONALITY_AIR_TO_GROUND_PROPONENT_ 	TAC. and CAS. construction -5%.
44_PERSONALITY_AIR_TO_SEA_PROPONENT_ 		naval bombers + CAG construction -5%.
