U03;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
1185001;Head of State;Yin Ju-Keng;1933;FA;Powerhungry Demagogue;Very High;M1185001;X
1185002;Head of Government;Yin Ju-Keng;1933;FA;Political Protege;Very High;M1185001;X
1185003;Foreign Minister;Kenji Doihara;1933;FA;Ideological Crusader;Very High;M1185003;X
1185004;Minister of Armament;Kenji Doihara;1933;FA;Infantry Proponent;Very High;M1185003;X
1185005;Minister of Security;Kenji Doihara;1933;FA;Prince of Terror;Very High;M1185003;X
1185006;Head of Military Intelligence;Toyama Mitsuru;1933;FA;Political Specialist;Very High;M1185006;X
1185007;Chief of Staff;Song Zheyuan;1933;PA;School of Psychology;Very High;M1185007;X
1185008;Chief of Army;Song Zheyuan;1933;PA;Decisive Battle Doctrine;Very High;M1185007;X
1185009;Chief of Navy;Song Zheyuan;1933;PA;Indirect Approach Doctrine;Very High;M1185007;X
1185010;Chief of Air Force;Song Zheyuan;1933;PA;Aerial Warfare Doctrine;Very High;M1185007;X
