U41;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
1020001;Head of State;Adolf Hitler;36;NS;Powerhungry Demagogue;High;M1;x
1020002;Head of State;Alfred Rosenberg;36;NS;Ruthless Powermonger;High;M1015002;x
1020003;Head of Government;Erich Koch;36;NS;Backroom Backstabber;High;M1020003;x
1020004;Head of Government;Paul Dargel;36;NS;Naive Optimist;High;M1020004;x
1020005;Head of Government;Waldemar Magunia;36;NS;Naive Optimist;High;M1020005;x
1020006;Head of Government;Helmuth von Pannwitz;36;NS;Old General;High;L214;x
1020007;Foreign Minister;Erich Koch;36;NS;Ideological Crusader;High;M1020003;x
1020008;Foreign Minister;Paul Dargel;36;NS;Iron Fisted Brute;High;M1020004;x
1020009;Foreign Minister;Waldemar Magunia;36;NS;Iron Fisted Brute;High;M1020005;x
1020010;Foreign Minister;Helmuth von Pannwitz;36;NS;General Staffer;High;L214;x
1020011;Minister of Armament;Hellmut Körner;36;NS;Administrative Genius 2;High;M1020011;x
1020012;Minister of Armament;Walter Malletke;36;NS;Resource Industrialist 2;High;M1020012;x
1020013;Minister of Armament;Otto Ohlendorf;36;NS;Corrupt Kleptocrat;High;M1020013;x
1020041;Minister of Armament;Ernst Ludwig Leyser;36;NS;Resource Industrialist 2;High;M1020041;x
1020014;Minister of Security;Friedrich Jeckeln;36;NS;Back Stabber;Medium;M1020014;x
1020015;Minister of Security;Hans-Adolf Prützmann;36;NS;Crooked Kleptocrat;Medium;M1020015;x
1020016;Minister of Security;Ludolf-H. von Alvensleben;36;NS;Back Stabber;Medium;M1020016;x
1020017;Minister of Security;Richard Hildebrandt;36;NS;Crooked Kleptocrat;Medium;M1020017;x
1020018;Minister of Security;Alfred Funk;36;NS;Crooked Kleptocrat;Medium;M1020018;x
1020019;Head of Military Intelligence;Friedrich Jeckeln;36;NS;Political Specialist;Medium;M1020014;x
1020020;Head of Military Intelligence;Hans-Adolf Prützmann;36;NS;Political Specialist;Medium;M1020015;x
1020021;Head of Military Intelligence;Ludolf-H. von Alvensleben;36;NS;Political Specialist;Medium;M1020016;x
1020022;Head of Military Intelligence;Richard Hildebrandt;36;NS;Political Specialist;Medium;M1020017;x
1020023;Head of Military Intelligence;Adolf von Bomhard;36;NS;Political Specialist;Medium;M1020023;x
1020024;Chief of Staff;Waldemar Henrici;36;NS;School of Defence;High;L741;x
1020025;Chief of Staff;Karl Kitzinger;36;NS;School of Psychology;High;L925;x
1020026;Chief of Staff;Helmuth von Pannwitz;36;NS;School of Mass Combat;High;L214;x
1020027;Chief of Army;Waldemar Henrici;36;NS;Static Defence Doctrine;High;L741;x
1020028;Chief of Army;Karl Kitzinger;36;NS;Static Defence Doctrine;High;L925;x
1020029;Chief of Army;Helmuth von Pannwitz;36;NS;Guns and Butter Doctrine;High;L214;x
1020030;Chief of Army;Pyotr N. Krasnov;36;NS;Static Defence Doctrine;High;M1020030;x
1020031;Chief of Army;Andrei G. Shkuro;36;NS;Static Defence Doctrine;High;M1020031;x
1020032;Chief of Navy;Friedrich-Wilhelm Fleischer;36;NS;Decisive Naval Battle Doctrine;High;L848;x
1020033;Chief of Navy;Hans-Heinrich Wurmbach;36;NS;Decisive Naval Battle Doctrine;High;L896;x
1020034;Chief of Navy;Robert Witthoeft-Emden;36;NS;Open Seas Doctrine;High;M1020034;x
1020035;Chief of Navy;Gustav Kieseritzky;36;NS;Decisive Naval Battle Doctrine;High;L398;x
1020036;Chief of Navy;Helmuth Brinkmann;36;NS;Indirect Approach Doctrine;High;L380;x
1020037;Chief of Air Force;Wolfram von Richthofen;36;NS;Army Aviation Doctrine;High;L479;x
1020038;Chief of Air Force;Otto Dessloch;36;NS;Army Aviation Doctrine;High;L434;x
1020039;Chief of Air Force;Alexander Holle;36;NS;Army Aviation Doctrine;High;L624;x
1020040;Chief of Air Force;Günther Korten;36;NS;Air Superiority Doctrine;High;L644;x
