U62;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1125001;Head of State;Adolf Hitler;36;NS;Powerhungry Demagogue;High;M1;x
1125002;Head of State;Alfred Rosenberg;36;NS;Ruthless Powermonger;High;M1015002;x
1125003;Head of State;Petr Krasnov;36;NS;Benevolent Gentleman;High;M1020030;x
1125004;Head of Government;Petr Krasnov;36;NS;Happy Amateur;High;M1020030;x
1125005;Foreign Minister;Grigory Grinko;36;NS;Great Compromiser;High;M1125005;x
1125006;Minister of Armament;Nikolay Bryukhanov;36;NS;Infantry Proponent;Medium;M1125006;x
1125007;Minister of Security;Vselevod Merkulov;36;NS;Back Stabber;Medium;M1125007;x
1125008;Head of Military Intelligence;Grigorij Sokolnikov;36;NS;Dismal Enigma;Medium;M1125008;x
1125009;Chief of Staff;Keldysh Nikitin;36;NS;School of Defence;Medium;M1125009;x
1125010;Chief of Army;Osip Fokine;36;NS;Decisive Battle Doctrine;Medium;M1125010;x
1125011;Chief of Navy;Rurik Ertelkin;36;NS;Decisive Naval Battle Doctrine;Medium;M1125011;x
1125012;Chief of Air Force;Genneadij Abakumov;36;NS;Army Aviation Doctrine;Medium;M1125012;x
