EUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
580001;Head of State;José Antonio Aguirre;36;SC;Benevolent Gentleman;Very High;M580001;x
580002;Head of Government;José Antonio Aguirre;36;SC;Flamboyant Tough Guy;Very High;M580001;x
580003;Foreign Minister;José María Lasarte;36;SC;Ideological Crusader;High;unknown;x
580004;Minister of Armament;Heliodoro de la Torre;36;SC;laissez-faire capitalist;High;unknown;x
580005;Minister of Security;Jesús María de Leizaola;36;SC;Silent Lawyer;High;M580005;x
580006;Head of Military Intelligence;Juan Ajuriaguerra;36;SC;Logistics Specialist;High;unknown;x
580007;Chief of Staff;José Antonio Aguirre;36;SC;School of Defence;Very High;M580001;x
580008;Chief of Army;Saturnino Bengoa;36;SC;Static Defence Doctrine;High;unknown;x
580009;Chief of Navy;Joaquín de Egía;36;SC;Base Control Doctrine;High;M580008;x
580010;Chief of Air Force;Cerro;36;SC;Naval Aviation Doctrine;High;unknown;x
580011;Head of State;Jesús María de Leizaola;36;SC;Popular Figurehead;High;M580005;x
580012;Head of Government;Jesús María de Leizaola;36;SC;Naive Optimist;High;M580005;x
580013;Foreign Minister;Francisco Javier de Landaburu;36;SC;Great Compromiser;High;unknown;x
580014;Minister of Armament;Fermín Zarza;36;SC;Resource Industrialist;High;unknown;x
580015;Minister of Security;Manuel de Irujo;36;SC;Efficient Sociopath;Very High;M580014;x
580016;Head of Military Intelligence;Manuel de Irujo;36;SC;Dismal Enigma;High;M580014;x
580017;Chief of Staff;Jesús María de Leizaola;36;SC;School of Psychology;High;M580005;x
580018;Chief of Army;Antonio Ortega;36;SC;Elastic Defence Doctrine;High;M580018;x
580019;Chief of Navy;José María Burgaña;36;SC;Open Seas Doctrine;High;M580019;x
580020;Chief of Air Force;Juan Antonio Ibarreche;36;ML;Carpet Bombing Doctrine;High;M580020;x
580021;Head of State;Anacleto Ortueta;36;LWR;Die-Hard Reformer;High;unknown;x
580022;Head of State;Justo Gárate;36;LWR;Barking Buffoon;Very High;M580022;x
580023;Head of Government;Anacleto Ortueta;36;LWR;Backroom Backstabber;High;unknown;x
580024;Head of Government;Telesforo Monzón;36;LE;Flamboyant Tough Guy;High;M580024;x
580025;Foreign Minister;Telesforo Monzón;36;LE;Iron Fisted Brute;High;M580024;x
580026;Foreign Minister;Tomás Bilbao;36;LWR;Apologetic Clerk;High;M580026;x
