u00;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;;x
952201;Head of State;Hirohito;36;PA;Stern Imperialist;High;M5001;x
952202;Head of Government;Okada Keisuke;36;PA;Happy Amateur;High;M5002;x
952203;Foreign Minister;Hirota Koki;36;PA;Great Compromiser;High;M5003;x
952285;Minister of Armament;Shoda Kazue;36;FA;Military Entrepreneur;High;M5090;x
952205;Minister of Security;Goto Fumio;36;SC;Silent Lawyer;High;M5005;x
952206;Head of Military Intelligence;Okamura Yasuji;36;PA;Political Specialist;Very Low;M5006;x
952207;Chief of Staff;Kanin Kotohito;36;PA;School of Defence;Very Low;M5007;x
952208;Chief of Army;Kanin Kotohito;36;PA;Static Defence Doctrine;Very Low;M5007;x
952361;Chief of Navy;Fujita Hisanori;36;PA;Decisive Naval Battle Doctrine;Medium;M5172;x
952371;Chief of Air Force;Hata Shunroku;36;FA;Army Aviation Doctrine;Medium;M5189;x
952225;Head of State;Nosaka Sanzo;36;SD;Barking Buffoon;High;M5011;x
952226;Head of Government;Goto Fumio;37;SD;Naive Optimist;High;M5005;x
952227;Head of Government;Katayama Tetsu;45;SD;Political Protege;High;M5027;x
952228;Head of Government;Ugaki Kazushige;36;SC;Silent Workhorse;High;M5028;x
952229;Head of Government;Suzuki Kisaburo;41;SC;Happy Amateur;High;M5029;x
952230;Head of Government;Shidehara Kijuro;45;SC;Naive Optimist;High;M5030;x
952231;Head of Government;Yoshida Shigeru;46;SC;Backroom Backstabber;High;M5031;x
952232;Head of Government;Hatoyama Ichiro;47;SC;Political Protege;High;M5032;x
952233;Head of Government;Hayashi Senjuro;36;PA;Smiling Oilman;High;M5033;x
952234;Head of Government;Konoe Fumimaro;37;PA;Flamboyant Tough Guy;High;M5034;x
952235;Head of Government;Abe Nobuyuki;39;PA;Political Protege;High;M5035;x
952236;Head of Government;Yonai Mitsumasa;40;PA;Ambitious Union Boss;High;M5036;x
952237;Head of Government;Suzuki Kantaro;45;PA;Corporate Suit;High;M5037;x
952238;Head of Government;Higashikuni Naruhiko;45;PA;Silent Workhorse;High;M5038;x
952239;Head of Government;Terauchi Hisaichi;46;PA;Naive Optimist;High;M5039;x
952240;Head of Government;Hirota Koki;36;FA;Happy Amateur;High;M5003;x
952241;Head of Government;Hiranuma Kiichiro;36;FA;Old Admiral;High;M5041;x
952242;Head of Government;Tojo Hideki;41;FA;Old General;High;M5042;x
952243;Head of Government;Koiso Kuniaki;44;FA;Corporate Suit;High;M5043;x
952244;Head of Government;Miyamoto Kenji;36;LE;Smiling Oilman;High;M5012;x
952245;Foreign Minister;Nosako Sanzo;37;SD;The Cloak N Dagger Schemer;Low;M5011;x
952246;Foreign Minister;Ashida Hitoshi;45;SD;Apologetic Clerk;High;M5046;x
952247;Foreign Minister;Yoshizawa Kenkichi;36;SC;Ideological Crusader;High;M5047;x
952248;Foreign Minister;Okada Keisuke;38;SC;Iron Fisted Brute;High;M5002;x
952249;Foreign Minister;Suzuki Kisaburo;39;SC;The Cloak N Dagger Schemer;Medium;M5029;x
952250;Foreign Minister;Shigemitsu Mamoru;41;SC;Great Compromiser;Medium;M5050;x
952251;Foreign Minister;Yoshida Shigeru;45;SC;Apologetic Clerk;Medium;M5031;x
952252;Foreign Minister;Sato Naotake;37;PA;The Cloak N Dagger Schemer;Medium;M5053;x
952253;Foreign Minister;Ugaki Kazushige;38;PA;Biased Intellectual;Medium;M5051;x
952254;Foreign Minister;Konoe Fumimaro;38;PA;Apologetic Clerk;Medium;M5034;x
952255;Foreign Minister;Arita Hachiro;36;FA;Ideological Crusader;Medium;M5057;x
952256;Foreign Minister;Abe Nobuyuki;39;FA;Iron Fisted Brute;Medium;M5035;x
952257;Foreign Minister;Nomura Kichisaburo;39;PA;General Staffer;Medium;M5059;x
952258;Foreign Minister;Matsuoka Yosuke;40;PA;Ideological Crusader;Medium;M5060;x
952259;Foreign Minister;Toyoda Teijiro;41;PA;Iron Fisted Brute;Medium;M5061;x
952260;Foreign Minister;Hayashi Senjuro;37;PA;General Staffer;Medium;M5033;x
952261;Foreign Minister;Togo Shigenori;41;FA;Biased Intellectual;Medium;M5065;x
952262;Foreign Minister;Tani Masayuki;42;FA;Apologetic Clerk;Medium;M5066;x
952263;Foreign Minister;Shigemitsu Mamoru;43;FA;Great Compromiser;Medium;M5050;x
952264;Foreign Minister;Shiga Yoshio;36;LE;Biased Intellectual;Very Low;M5013;x
952265;Minister of Armament;Yoshino Shinji;37;SD;laissez-faire capitalist;Very High;M5069;x
952266;Minister of Armament;Mizutani Chosaburo;45;SD;Resource Industrialist;High;M5070;x
952267;Minister of Armament;Hoshijima Jiro;47;SD;Administrative Genius;Medium;M5071;x
952268;Minister of Armament;Ogawa Gotaro;36;SC;Resource Industrialist;Medium;M5072;x
952269;Minister of Armament;Godo Takuo;37;SC;Battle Fleet Proponent;Medium;M5073;x
952270;Minister of Armament;Yoshida Shigeru;41;SC;Strategic Air Proponent;Medium;M5031;x
952271;Minister of Armament;Shidehara Kijuro;43;SC;Tank Proponent;High;M5030;x
952272;Minister of Armament;Hatoyama Ichiro;44;SC;Administrative Genius;High;M5032;x
952273;Minister of Armament;Hoshijima Jiro;45;SC;Military Entrepreneur;Very High;M5071;x
952274;Minister of Armament;Ogasawara Sankuro;46;SC;laissez-faire capitalist;Medium;M5079;x
952275;Minister of Armament;Kawasaki Takukichi;36;PA;Air Superiority Proponent;Medium;M5080;x
952276;Minister of Armament;Ikeda Shigeaki;38;PA;Resource Industrialist;High;M5081;x
952277;Minister of Armament;Hatta Yoshiaki;39;PA;Military Entrepreneur;Medium;M5082;x
952278;Minister of Armament;Kobayashi Seiichi;40;PA;laissez-faire capitalist;Medium;M5083;x
952279;Minister of Armament;Fujiwara Ginjiro;41;PA;rearmament industrialist;Medium;M5084;x
952280;Minister of Armament;Kishi Nobusuke;36;PA;Administrative Genius;Medium;M5085;x
952281;Minister of Armament;Toyoda Teijiro;43;PA;Air to Ground Proponent;Medium;M5061;x
952282;Minister of Armament;Sakonji Seizo;44;PA;Submarine Proponent;Medium;M5087;x
952283;Minister of Armament;Terauchi Hisaichi;46;PA;Tank Proponent;High;M5039;x
952284;Minister of Armament;Yonai Mitsumasa;47;PA;Battle Fleet Proponent;High;M5036;x
952286;Minister of Armament;Kobayashi Ichizo;41;FA;Resource Industrialist;High;M5083;x
952287;Minister of Armament;Tojo Hideki;42;FA;Infantry Proponent;Medium;M5042;x
