U18;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
821001;Head of State;Rodolfo Graziani;36;FA;Insignificant Layman;High;L6084;x
821002;Head of Government;Ruggero Santini;36;FA;old airmarshal;High;L6232;x
821003;Foreign Minister;Enrico Martini;36;FA;Ideological Crusader;High;M575003;x
821004;Minister of Armament;Giovanni Fornari;36;FA;Military Entrepreneur;Medium;M575004;x
821005;Minister of Security;Carlo de Simone;36;FA;Back Stabber;Medium;L6058;x
821006;Head of Military Intelligence;Gustavo Pesenti;36;FA;Dismal Enigma;Medium;M575006;x
821007;Chief of Staff;Raffaele Orlando;36;PA;School of Fire Support;Medium;L6111;x
821008;Chief of Army;Federico Romero;36;PA;Elastic Defence Doctrine;Medium;L6127;x
821009;Chief of Navy;Lorenzo Gasparri;36;PA;Decisive Naval Battle Doctrine;Medium;L6171;x
821010;Chief of Air Force;Ernesto di Ferro;36;PA;Naval Aviation Doctrine;Medium;L6206;x
821011;Head of State;Abdulahi Issa Mohamud;44;SC;Popular Figurehead;High;M575011;x
821012;Head of State;Sir Arthur Lawrance;39;SL;Barking Buffoon;High;M575012;x
821013;Head of Government;Herbert Pike-Pease;39;SL;Political Protege;High;M575013;x
821014;Foreign Minister;Enrico Anzelotti;44;SC;The Cloak N Dagger Schemer;High;M575014;x
821015;Foreign Minister;Sir Douglas Hall;39;SL;Great Compromiser;High;M575015;x
821016;Foreign Minister;Mohammed Haji Egal;45;SL;Iron Fisted Brute;High;M575016;x
821017;Minister of Armament;Graeme Sinclair-Lockhart;39;SL;Resource Industrialist;Medium;M575017;x
821018;Minister of Armament;Gabaar Baaka;45;SL;Tank Proponent;Medium;M575018;x
821019;Minister of Security;Leslie Sandford;39;SL;Crime Fighter;Medium;M575019;x
821020;Minister of Security;Dr. Rashid Ali Shermake;45;SL;Compassionate Gentleman;Medium;M575020;x
821021;Head of Military Intelligence;Francesco Caroselli;44;SC;Political Specialist;Medium;M575021;x
821022;Head of Military Intelligence;Henry E. Fitzalan-Howard;39;SL;Logistics Specialist;Medium;M575022;x
821023;Head of Military Intelligence;Gerald Fisher;44;SL;Industrial Specialist;Medium;M575023;x
821024;Chief of Staff;A.L.W. Soames;39;SL;School of Manoeuvre;Medium;L1283;x
821025;Chief of Army;Richard McCreery;39;SL;Armoured Spearhead Doctrine;Medium;L1216;x
821026;Chief of Army;Muhammed Siad Barre;45;SL;Guns And Butter Doctrine;Medium;M575026;x
821027;Chief of Navy;Harold Burrogh;39;SL;Indirect Approach Doctrine;Medium;L1330;x
821028;Chief of Air Force;Robert Oxland;39;SL;Vertical Envelopment Doctrine;Medium;L1466;x
821029;Head of State;Amedeo di Savoia-Aosta;37;FA;Benevolent Gentleman;High;L6004;x
