U05;National India - Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
840001;University of Delhi;T11412;3;1930;1963;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840002;Indian Military Academy;T11410;2;1936;1970;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840003;Tata Chemicals Limited;T825010;3;1930;1970;chemistry;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
840004;Tata Motors Limited;T825011;5;1940;1970;general_equipment;rt_user_17;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
840005;Mitsubishi India;T840005;4;1930;1947;mechanics;artillery;technical_efficiency;rt_user_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
840006;Hindustan Aircraft;T825014;4;1930;1946;aeronautics;aircraft_testing;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
840007;Hindustan Aircraft;T825014;5;1946;1970;aeronautics;aircraft_testing;mechanics;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
840008;Ishapore Arsenal;T825016;3;1930;1970;chemistry;electronics;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
840009;Hindustan Shipyard Limited;T825018;4;1930;1970;naval_engineering;submarine_tactics;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
840010;Mazagon Dock Limited;T825019;5;1930;1970;;naval_engineering;technical_efficiency;electronics;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
840011;Mohammad Zaman Kiani;T840011;3;1930;1970;infantry_focus;centralized_execution;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
840012;Ram Dass Katari;T825023;3;1930;1970;decentralized_execution;rt_user_9;rt_user_16;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
840013;Ramesh Sakharam Benegal;T840013;3;1930;1970;rt_user_6;rt_user_5;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
