U06;Republic of the Philippines - Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
845001;Benguet Consolidated Mining Company;T6900;3;1930;1970;mechanics;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
845002;Elizalde & Co.;T6901;2;1930;1970;industrial_engineering;chemistry;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
845003;Manila Electric Company;T6902;3;1930;1970;industrial_engineering;electronics;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
845004;Manila Railway Company;T6903;3;1930;1970;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
845005;University of Santo Tomas;T6906;2;1930;1970;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
845006;Kágawaran ng Tanggulang Pambansà;T845006;3;1930;1970;mechanics;artillery;electronics;training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
845007;Akademiyang Militar;T845007;2;1930;1970;large_unit_tactics;centralized_execution;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
845008;Hukbong Katihan;T845008;3;1930;1970;small_unit_tactics;decentralized_execution;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
845009;Hukbong Dagat;T845009;2;1930;1970;decentralized_execution;rt_user_9;rt_user_16;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
845010;Hukbong Himpapawid;T845010;2;1930;1970;centralized_execution;rt_user_6;training;piloting;rt_user_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
