U14;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
30014020;Ministère de l'Économie;T30014020;3;1936;1970;industrial_engineering;artillery;training;rt_user_18;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30014032;Group Renault;T30014032;5;1944;1970;industrial_engineering;artillery;rt_user_18;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30014021;Forces françaises libres;T30014021;4;1936;1970;artillery;training;general_equipment;rt_user_17;mountain_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30014022;Forces Navales Françaises Libres;T30014022;3;1936;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30014023;Forces Aériennes Françaises Libres;T30014023;3;1936;1945;aeronautics;electronics;technical_efficiency;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30014024;Forces Aériennes Françaises Libres;T30014023;4;1945;1970;aeronautics;electronics;technical_efficiency;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30014025;BC de Renseignements et d’Action;T30014025bc;3;1936;1970;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30014026;Charles de Gaulle;T30014026;7;1936;1970;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30014027;Lattre de Tassigny;T30014027;5;1936;1970;large_unit_tactics;centralized_execution;infantry_focus;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30014028;Jacques-Philippe Leclerc;T30014028;5;1936;1970;BLITZKRIEG_TACTICS;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30014029;G. Thierry d'Argenlieu;T30014029;5;1936;1970;large_taskforce_tactics;training;rt_user_7;rt_user_9;rt_user_16;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30014030;Martial Valín;T30014030;5;1936;1970;rt_user_5;rt_user_6;rt_user_3;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
30014031;F. & I. Joliot-Curie;T30014031;4;1936;1958;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
