U87;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;X
1250001;Nanjing University;T1250001;3;1936;1999;mathematics;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
1250002;Hanyang Arsenal;T1250002;3;1936;1999;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
1250003;Chinese Central Bank;T1250003;2;1936;1999;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1250004;North China Railway Company;T1250004;2;1938;1999;industrial_engineering;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1250005;Central China Railway Company;T1250005;3;1939;1999;industrial_engineering;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1250006;Motor Factory;T1250006;2;1936;1999;mechanics;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1250007;Airplane Factory;T1250007;2;1936;1999;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1250008;China Army Academy;T1250008;3;1936;1999;training;large_unit_tactics;centralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1250009;Wang Jingwei;T1250009;2;1937;1945;training;management;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1250010;Bao Wenyue;T1250010;2;1939;1980;training;combined_arms_focus;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1250011;Ren Yuandao;T1250011;2;1938;1980;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1250012;Qingdao Air Base;T1250012;2;1936;1999;bomber_tactics;training;rt_user_6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1250013;Chinese shipping company;T1250013;2;1936;1999;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
