AST;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
#500;Army Inventions Directorate;T500;5;1930;1970;technical_efficiency;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
#501;Challona Tank Assembly Shops;T501;4;1930;1970;mechanics;electronics;artillery;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
#503;Ford Motors;T503;8;1930;1970;mechanics;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
#519;Avro;T302;7;1930;1970;aeronautics;technical_efficiency;general_equipment;aircraft_testing;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
#505;Vickers-Armstrong Ltd.;T505;8;1930;1970;mechanics;aeronautics;technical_efficiency;artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
504;New South Wales State Railways;T504;6;1930;1970;mechanics;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520;Lithgow Small Arms Factory;T520;5;1930;1970;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
521;Australian Defence Industry;T521;5;1940;1970;mechanics;training;electronics;artillery;rt_user_17;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
522;Charles Ruwolt Pty Ltd.;T522;4;1930;1970;mechanics;training;management;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
523;NSW Government Railways;T523;4;1939;1970;mechanics;artillery;rt_user_18;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
524;Ordnance Factory;T524;3;1940;1970;mechanics;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
502;de Havilland Australia;T502;8;1941;1970;aeronautics;chemistry;technical_efficiency;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
525;Commonwealth Aircraft Corp.;T525;6;1930;1970;aeronautics;mechanics;aircraft_testing;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
526;Government Aircraft Factories;T526;5;1940;1970;aeronautics;chemistry;technical_efficiency;aircraft_testing;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
513;Cockatoo Island Shipyard;T513;4;1930;1970;naval_engineering;naval_artillery;technical_efficiency;electronics;rt_user_12;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
527;Williamstown Dockyard;T527;4;1941;1970;naval_engineering;naval_artillery;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
506;Dudley Lavarack;T506;6;1930;1957;small_unit_tactics;decentralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
507;Guy Royle;T507;5;1930;1945;submarine_tactics;naval_training;centralized_execution;seamanship;rt_user_10;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
508;John Collins;T508;6;1930;1970;large_taskforce_tactics;small_taskforce_tactics;training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
509;Ragnar Colvin;T509;4;1930;1954;large_taskforce_tactics;centralized_execution;training;rt_user_7;rt_user_16;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
510;Richard Williams;T510;6;1930;1970;rt_user_5;decentralized_execution;training;piloting;rt_user_6;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
511;Thomas Blamey;T511;4;1938;1951;large_unit_tactics;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
512;William Bostock;T512;5;1930;1958;bomber_tactics;training;centralized_execution;rt_user_4;rt_user_3;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
514;CSIRO;T514;5;1930;1970;mathematics;electronics;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
515;Wilfred Harrington;T515;4;1954;1965;small_taskforce_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
516;Sir Sydney Fairbairn Rowell;T516;6;1950;1968;small_unit_tactics;decentralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
517;Sir Colin Thomas Hannah;T517;4;1959;1970;rt_user_5;centralized_execution;piloting;training;rt_user_6;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
518;Horace R. Campbell;T13607;4;1945;1954;centralized_execution;management;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
528;RAAC;T528;3;1941;1970;training;BLITZKRIEG_TACTICS;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
529;Australian Imperial Force;T529;7;1943;1970;training;small_unit_tactics;naval_training;rt_user_12;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
#Used IDs 500 - 529
