BRA;Name;Pic Name;Skill;Start Year;End Year;speciality1;speciality2;speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
4400;Cassio Muniz;T4400;4;1930;1970;aeronautics;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4401;CCNA;T4401;5;1930;1970;aeronautics;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4402;CCNC;T4402;5;1930;1970;aeronautics;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4403;Companhia Siderúrgica Nacional;T4403;5;1930;1970;industrial_engineering;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4404;Departamento Nacional da Produção Mineral;T4404;4;1930;1970;industrial_engineering;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4405;Ilha das Cobras;T4405;5;1930;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4406;IPT;T4406;6;1930;1970;aeronautics;management;electronics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4407;Organizacão Henrique Lage;T4407;6;1930;1970;industrial_engineering;management;chemistry;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4408;Eurico Gaspar Dutra;T4408;4;1940;1952;large_unit_tactics;centralized_execution;combined_arms_focus;training;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4409;João Mascarenhas de Morais;T4409;4;1937;1954;small_unit_tactics;decentralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4410;Aristides Guilhem;T4410;4;1930;1938;small_taskforce_tactics;decentralized_execution;training;rt_user_9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4411;Brazilian Navy;T4411;3;1930;1970;large_taskforce_tactics;centralized_execution;training;seamanship;rt_user_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4412;Salgado Filhõ;T4412;4;1930;1947;rt_user_1;bomber_tactics;training;rt_user_3;rt_user_4;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4413;Epaminondas dos Santos;T4413;4;1930;1945;rt_user_6;decentralized_execution;training;piloting;rt_user_5;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4414;NMC;T4414;5;1945;1970;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4415;Cordeiro de Farias ;T4415;6;1940;1964;artillery;general_equipment;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4416;Nero Moura;T4416;6;1943;1964;rt_user_2;bomber_tactics;training;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
