CHC;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
8300;Deng Xiaoping;T8300;5;1930;1970;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8301;Lin Pao;T8301;3;1930;1970;large_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8302;Mao Zedong;T8302;2;1930;1970;small_unit_tactics;infantry_focus;mountain_training;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8303;Aviation Industries of China;T8303;4;1945;1970;aeronautics;technical_efficiency;mechanics;chemistry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8304;China North Industries Group;T8304;4;1939;1970;industrial_engineering;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8305;China State Shipbuilding Corporation;T8305;3;1945;1970;naval_engineering;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8306;General Armament Department;T8306;4;1930;1970;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8307;Fang Tse-Yi;T8307;4;1945;1970;rt_user_6;bomber_tactics;piloting;rt_user_5;rt_user_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8308;School of Oriental Munich;T8805;3;1930;1970;infantry_focus;centralized_execution;training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8309;Shaanxi Kiln;T13507;3;1930;1970;general_equipment;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8310;Fudan University;T8310;3;1950;1970;mathematics;nuclear_physics;nuclear_engineering;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8311;Li Kenong;T8311;2;1930;1959;mathematics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8312;People's Liberation Army;T8312;5;1949;1970;large_unit_tactics;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8313;Chengdu Aircraft Industry Corp.;T8313;5;1950;1970;rocketry;aeronautics;mechanics;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8314;People's Liberation Army Navy;T8314;6;1950;1970;small_taskforce_tactics;seamanship;centralized_execution;training;rt_user_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8315;Baotou Tank Plant;T8315;5;1945;1970;mechanics;artillery;technical_efficiency;rt_user_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
8316;Shaanxi Weiyang Diesel Engine Plant;T8316;5;1945;1970;general_equipment;rt_user_17;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
