CHI;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1000;CAMCO;T1000;2;1930;1970;aeronautics;mechanics;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1001;Dading Engine Factory;T1001;3;1930;1970;aeronautics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1002;Hanyang Arsenal;T1002;2;1930;1970;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1004;Chung Hing Coal Company;T1004;2;1930;1970;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1005;Alexander von Falkenhausen;T1005;4;1959;1960;large_unit_tactics;infantry_focus;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1006;Chiang Kai-shek;T1006;2;1930;1970;large_unit_tactics;infantry_focus;mountain_training;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1007;Claire Chennault;T1007;4;1999;1999;training;centralized_execution;rt_user_3;rt_user_6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1008;Huang Chen-tsuo;T1008;2;1930;1970;rt_user_6;training;piloting;rt_user_5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1009;Chen Shao-kuan;T1009;2;1930;1970;small_taskforce_tactics;training;seamanship;rt_user_7;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1010;Kiangnan Dock and Engineering Works;T1010;2;1930;1970;naval_artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1011;Shiing-shen Chern;T1011;5;1930;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1012;Academia Sinica;T1012;2;1930;1970;mechanics;chemistry;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1013;Huangpu Military Academy;T1013;1;1930;1970;large_unit_tactics;infantry_focus;mountain_training;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1014;China National Aviation Corporation;T1014;2;1930;1970;aeronautics;technical_efficiency;management;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1015;Chang'an;T1015;3;1930;1970;artillery;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1016;Yong Li;T1016;4;1930;1970;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1017;National Machine Works;T8500;3;1930;1970;industrial_engineering;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1018;China Development & Finance Corp.;T1018;2;1930;1970;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
