CZE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1100;Aero;T1100;6;1930;1945;aeronautics;technical_efficiency;chemistry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1101;Avia;T1101;5;1930;1945;aeronautics;mechanics;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1102;Ceská Zbrojovka;T1102;5;1930;1945;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1103;CKD;T1103;7;1930;1945;mechanics;training;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1104;Letov;T1104;4;1930;1945;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1105;Skoda;T1105;8;1930;1945;artillery;mechanics;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1106;Emil Janouska;T1106;4;1930;1939;training;combined_arms_focus;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1108;Sergej Vojcechovský;T1108;4;1930;1945;training;small_unit_tactics;combined_arms_focus;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1109;Jaroslav Heyrovsky;T1109;6;1930;1970;mathematics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1110;Charles University Prague;T1110;5;1930;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1111;Ministry of Defence;T1111;4;1930;1970;large_unit_tactics;centralized_execution;rt_user_6;piloting;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1112;Ludvik Svoboda;T4101;5;1945;1970;training;small_unit_tactics;decentralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1120;Tatra;T1120;6;1945;1970;general_equipment;rt_user_17;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1121;CKD;T1103;8;1945;1970;mechanics;artillery;technical_efficiency;rt_user_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1122;Skoda;T1105;7;1945;1970;mechanics;artillery;chemistry;rt_user_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1123;Avia;T1101;7;1945;1970;aeronautics;rocketry;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1124;Aero Vodochody;T1100;8;1945;1970;aeronautics;rocketry;mechanics;aircraft_testing;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x  
1125;Letov Kbely;T1104;6;1945;1970;aeronautics;rocketry;mechanics;aircraft_testing;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1126;Zbrojovka Brno;T1126;5;1945;1970;general_equipment;artillery;training;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1127;Ceska Zbrojovka;T1102;7;1945;1970;chemistry;training;artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1128;Alois Vicherek;T1128;6;1945;1970;rt_user_5;rt_user_6;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1129;Jaroslav Procházka;T1129;5;1945;1952;large_unit_tactics;small_unit_tactics;centralized_execution;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1130;Václav Kratochvil;T1130;6;1952;1970;large_unit_tactics;small_unit_tactics;centralized_execution;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
    
