DDR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
7100;Eisenacher Motorenwerke;T7100;3;1930;1970;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7103;Leuna Werke;T7103;7;1930;1970;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7106;VEB Ernst Thälmann Suhl;T7106;5;1930;1970;general_equipment;mechanics;training;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7113;VEB Spezialfahrzeugbau Berlin;T7113;6;1930;1970;mechanics;artillery;technical_efficiency;rt_user_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
7114;VEB Flugzeugwerke Dresden;T7114;6;1930;1970;aeronautics;rocketry;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7115;VEB Kraftfahrzeugwerk;T7115;6;1930;1970;general_equipment;artillery;training;rt_user_17;rt_user_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
7116;VEB Werkzeug- und Gerätebau;T7116;5;1930;1970;artillery;mechanics;training;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
7112;Warnow Werft Rostock;T7112;3;1930;1970;naval_engineering;technical_efficiency;submarine_tactics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7104;Neptun Werft Rostock;T7104;3;1930;1970;naval_engineering;naval_artillery;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7107;Gustav Hertz;T7107;7;1930;1970;nuclear_physics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7111;Helmut Gröttrup;T7111;6;1930;1970;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7122;Heinz Hoffmann;T7122;5;1930;1955;combined_arms_focus;large_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7120;Willi Stoph;T7120;6;1955;1970;combined_arms_focus;large_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7121;Helmut Borufka;T7121;4;1930;1970;combined_arms_focus;training;BLITZKRIEG_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
7119;Felix Scheffler;T7119;3;1930;1970;large_taskforce_tactics;small_taskforce_tactics;rt_user_16;rt_user_13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
7117;Heinz Keßler;T7117;5;1930;1970;rt_user_6;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
7118;Heinz-Bernhard Zorn;T7118;4;1930;1970;bomber_tactics;rt_user_3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
