FIN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1302;Kymmene;T1302;5;1930;1970;chemistry;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1303;Tikkakoski;T1303;5;1930;1951;general_equipment;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1320;Valtion Tykkitehdas;T1320;3;1930;1970;mechanics;training;artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1314;Aimo Johannes Lahti;T1314;6;1940;1969;general_equipment;training;artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1316;Valmet Oy;T1316;6;1951;1970;general_equipment;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1315;Sisu Auto;T1315;2;1930;1944;general_equipment;rt_user_17;artillery;rt_user_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1317;Vanajan Autotehdas Oy;T1317;4;1944;1970;general_equipment;rt_user_17;artillery;rt_user_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1300;Valtion Lentokonetehdas;T1300;5;1930;1951;aeronautics;technical_efficiency;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1318;Valmet Oy Lentokonetehdas;T1304;5;1951;1970;aeronautics;technical_efficiency;mechanics;aircraft_testing;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1319;Wärtsilä;T1319;5;1930;1970;naval_engineering;technical_efficiency;industrial_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1305;Carl Mannerheim;T1305;7;1930;1970;infantry_focus;combined_arms_focus;large_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1306;Richard Lorentz;T1306;6;1930;1970;rt_user_6;piloting;Training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1307;Vilho Nenonen;T1307;6;1937;1947;artillery;training;electronics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1308;K. Lennart Oesch;T1308;6;1930;1970;combined_arms_focus;centralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1309;Väinö Valve;T1309;4;1930;1970;naval_training;seamanship;centralized_execution;rt_user_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1310;Artturi Virtanen;T1310;6;1930;1970;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1311;Rolf Herman Nevanlinna;T1311;4;1930;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1312;Aarne Lakomaa;T1312;5;1944;1970;aeronautics;rocketry;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1313;Jaeger Training School;T1313;3;1930;1970;mountain_training;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
#Used IDs 1300 - 1320
