FRA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1400;AC de St-Nazaire-Penhoët;T1400;5;1930;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1401;Amiot;T1401;3;1930;1944;chemistry;aeronautics;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1456;SNCASE;T1456;6;1936;1946;chemistry;aeronautics;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1409;Morane-Saulnier;T1409;4;1930;1945;mechanics;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1403;Dewoitine;T1403;4;1930;1944;mechanics;general_equipment;aeronautics;management;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1402;Arsenal de Brest;T1402;7;1930;1945;general_equipment;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1404;FAMH;T1404;4;1930;1970;mechanics;electronics;training;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1408;Manufacture d'Armes St.Etienne;T1408;5;1930;1946;artillery;mechanics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1410;Renault;T1410;7;1930;1945;mechanics;general_equipment;rt_user_18;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1415;SOMUA;T1415;6;1930;1944;artillery;mechanics;electronics;rt_user_18;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1443;Hotchkiss;T1443;6;1936;1943;general_equipment;artillery;training;rt_user_18;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1454;Panhard;T1454;6;1930;1944;artillery;mechanics;general_equipment;training;rt_user_17;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1455;Panhard;T1454;7;1944;1970;artillery;mechanics;general_equipment;rt_user_18;rt_user_17;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1411;Rhône-Poulenc;T1411;3;1930;1970;chemistry;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1412;Saint-Gobain;T1412;2;1930;1970;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1413;Schneider-Creusot;T1413;4;1930;1944;artillery;mechanics;electronics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1414;SNPA;T1414;4;1941;1970;chemistry;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1405;F. Joliot & I. Joliot-Curie;T1405;6;1930;1956;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1406;Jean-Jacques Barré;T1406;3;1930;1970;rocketry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1407;Kuhlmann;T1407;5;1930;1970;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1416;Charles de Gaulle;T1416;7;1939;1944;training;small_unit_tactics;decentralized_execution;management;BLITZKRIEG_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1417;Etienne Schlumberger;T1417;4;1942;1970;training;large_taskforce_tactics;rt_user_7;seamanship;rt_user_14;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1418;François Darlan;T1418;3;1930;1951;training;large_taskforce_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1419;François d'Astier de la Vigerie;T1419;3;1930;1952;training;centralized_execution;rt_user_6;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1420;Marcel Gensoul;T1420;4;1930;1942;training;large_taskforce_tactics;seamanship;rt_user_7;rt_user_16;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1421;Martial Valín ;T1421;6;1940;1945;training;bomber_tactics;rt_user_6;piloting;rt_user_5;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1422;Maurice Gamelin;T1422;1;1930;1943;training;centralized_execution;large_unit_tactics;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1423;Maxime Weygand;T1423;2;1940;1942;training;centralized_execution;large_unit_tactics;infantry_focus;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1424;Victor Denain;T1424;2;1930;1940;combined_arms_focus;rt_user_1;rt_user_3;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1425;Louis de Broglie;T1425;7;1930;1970;nuclear_physics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1426;Dassault Aviation;T1426;8;1945;1970;mechanics;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1457;SNCASE;T1456;7;1946;1970;chemistry;aeronautics;technical_efficiency;aircraft_testing;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1427;Bertrand Goldschmidt;T1427;7;1954;1970;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1428;Raoul Salan;T1428;4;1948;1960;training;centralized_execution;combined_arms_focus;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1429;Alphonse Juin;T1429;5;1947;1962;training;centralized_execution;large_unit_tactics;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1430;CEMAA;T1430;4;1950;1970;training;rt_user_6;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1431;Académie de Chasseurs Alpins;T1431;6;1930;1970;training;mountain_training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1432;Société des Avions Marcel Bloch;T1432;4;1930;1945;electronics;aeronautics;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1440;Thomson-CSF;T1440;6;1944;1970;electronics;mechanics;management;mathematics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1458;AMX;T1441;8;1945;1970;mechanics;artillery;technical_efficiency;rt_user_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1442;Creusot-Loire;T1442;6;1968;1970;general_equipment;artillery;training;rt_user_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1444;Manuf. Nat. d'Armes de Tulle;T1444;5;1944;1970;general_equipment;artillery;training;management;rt_user_17;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1445;DCNS S.A.;T1445;7;1945;1970;electronics;naval_engineering;technical_efficiency;naval_artillery;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1446;Arsenal de Brest;T1446;5;1945;1970;electronics;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1447;Charles de Gaulle;T1416;8;1944;1970;training;small_unit_tactics;centralized_execution;combined_arms_focus;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1448;École de l'armeé blindée;T1448;6;1945;1970;combined_arms_focus;training;BLITZKRIEG_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1449;André-Georges Lemonnier;T1449;7;1943;1950;rt_user_9;rt_user_14;rt_user_15;rt_user_16;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1450;Robert Battet;T1450;6;1950;1970;rt_user_9;rt_user_15;rt_user_16;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1451;Pierre Fay;T1451;5;1953;1955;rt_user_5;rt_user_6;rt_user_3;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1452;Paul Bailly;T1452;6;1955;1958;rt_user_5;rt_user_6;rt_user_3;rt_user_4;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1453;Edmond Jouhaud;T1453;7;1958;1970;rt_user_5;rt_user_6;rt_user_3;rt_user_4;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
