HOL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2300;Artillerie Inrichtingen Hembrug;T2300;4;1930;1970;artillery;chemistry;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2301;DAF;T2301;5;1930;1970;mechanics;technical_efficiency;artillery;rt_user_18;rt_user_17;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2302;Fokker;T2302;6;1930;1945;mechanics;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2317;Fokker;T2302;6;1945;1970;mechanics;aeronautics;aircraft_testing;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2303;HIH Siderius;T2303;5;1930;1970;artillery;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2304;Koninklijke Maatschappij;T2304;5;1930;1970;naval_engineering;electronics;technical_efficiency;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2305;Koolhoven;T2305;5;1930;1966;aeronautics;technical_efficiency;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2306;NSM Amsterdam;T2306;6;1930;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2307;Shell;T2307;7;1930;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2308;Wilton-Fijenoord;T2308;6;1930;1970;naval_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2309;Izaak Reynders;T2309;4;1930;1940;training;infantry_focus;centralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2310;Johannes Furstner;T2310;4;1930;1970;training;large_taskforce_tactics;seamanship;small_taskforce_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2311;Marius Raaijmakers;T2311;5;1930;1940;training;rt_user_6;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2312;Petrus Best;T2312;4;1937;1970;training;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2313;Henri Winkelman;T2313;4;1936;1970;decentralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2217;Korps Mariniers;T2217;3;1936;1970;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2314;Philips;T2314;7;1936;1970;electronics;mathematics;technical_efficiency;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2316;Frits Zernike;T2316;6;1930;1970;electronics;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
