ITA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1800;Arturo Crocco;T1800;4;1930;1970;rocketry;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1801;Beretta;T1801;8;1930;1970;training;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1802;Breda;T1802;5;1930;1953;artillery;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1803;Bruno de Finetti;T1803;4;1940;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1804;Ansaldo Shipyards;T1804;7;1930;1959;naval_engineering;naval_artillery;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1805;Cantieri Navali Riuniti;T1805;5;1930;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1806;Caproni;T1806;4;1930;1970;training;general_equipment;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1807;Enrico Fermi;T1807;6;1930;1938;nuclear_physics;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1808;FIAT-Ansaldo;T1808;6;1936;1945;artillery;mechanics;rt_user_18;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1848;FIAT S.p.A.;T1848;5;1936;1945;mechanics;general_equipment;rt_user_17;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1809;Guido Fubini;T1809;3;1930;1939;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1851;Mauro Picone;T1851;6;1939;1970;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1810;Macchi;T1810;7;1930;1970;general_equipment;aeronautics;aircraft_testing;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1811;Savoia-Marchetti;T1811;6;1930;1951;chemistry;aeronautics;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1812;Lancia;T1812;4;1930;1970;mechanics;general_equipment;management;technical_efficiency;rt_user_17;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1813;Arturo Riccardi;T1813;3;1940;1949;centralized_execution;large_taskforce_tactics;seamanship;rt_user_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1814;Domenico Cavagnari;T1814;4;1930;1940;centralized_execution;large_taskforce_tactics;training;rt_user_7;rt_user_14;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1815;Italo Balbo;T1815;7;1930;1950;training;centralized_execution;rt_user_4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1850;Amedeo Mecozzi;T1850;6;1930;1938;training;rt_user_3;rt_user_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1830;Francesco Pricolo;T1830;5;1930;1970;centralized_execution;rt_user_6;piloting;rt_user_5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1817;Pietro Badoglio;T1817;6;1930;1941;training;small_unit_tactics;infantry_focus;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1832;Ugo Cavallero;T1832;5;1941;1943;training;small_unit_tactics;large_unit_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1816;Giovanni Messe;T1828;6;1943;1968;training;small_unit_tactics;large_unit_tactics;BLITZKRIEG_TACTICS;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1818;Rino Corso Fougier;T1818;3;1940;1944;centralized_execution;rt_user_6;piloting;rt_user_5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1820;Societá Montecatini;T1820;6;1930;1945;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1852;IRI;T1852;7;1933;1955;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1821;Giulio Natta;T1821;7;1930;1970;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
