MAN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
6400;South Manchuria Railway Co.;T6400;4;1930;1970;industrial_engineering;general_equipment;electronics;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6401;Mansyu Hikoki Seizo;T6401;4;1930;1970;aeronautics;mechanics;electronics;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6402;Manchuria Colonial Development Organization;T6402;4;1930;1970;mechanics;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6403;Heitaro Kimura;T6403;5;1940;1970;combined_arms_focus;training;small_unit_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6404;Seishiro Itagaki;T6404;4;1930;1938;infantry_focus;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6405;Yoshijiro Umezu;T6405;6;1939;1970;combined_arms_focus;infantry_focus;centralized_execution;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6406;Oka Keijun;T6406;4;1939;1970;decentralized_execution;seamanship;training;large_taskforce_tactics;rt_user_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6407;Yoshijiro Umezu;T6405;3;1939;1970;training;piloting;rt_user_1;rt_user_6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6408;Dowa Automobile Company;T1909;5;1930;1970;mechanics;electronics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6409;Manchukwo Zaibatsu Empire;T1902;4;1930;1970;industrial_engineering;management;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6410;Mukden Arsenal;T1003;4;1930;1970;artillery;general_equipment;chemistry;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6411;Showa Steel Works;T13;5;1930;1970;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
