POL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2700;COP;T2700;4;1930;1970;mechanics;artillery;technical_efficiency;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2701;Stefan Banach;T2701;8;1930;1945;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2702;Stanislaw Ulam;T2702;7;1930;1938;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2703;Fab.Broni Radom;T2703;5;1930;1970;general_equipment;artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2704;Fab. Starachowice;T2704;5;1930;1970;artillery;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2705;PWS;T2705;4;1930;1970;aeronautics;electronics;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2706;PZInz;T2706;6;1930;1945;mechanics;artillery;technical_efficiency;rt_user_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2707;PZL;T2707;5;1930;1945;aeronautics;mechanics;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2708;Stocznia Gdynia;T2708;4;1930;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2709;Tadeusz Kutrzeba;T2709;4;1930;1944;centralized_execution;large_unit_tactics;training;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2710;Marian Rejewski;T2710;7;1930;1939;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2711;Ludomil Rayski;T2711;4;1930;1944;rt_user_1;piloting;centralized_execution;rt_user_3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2712;Jerzy Swirski;T2712;4;1930;1944;training;small_taskforce_tactics;decentralized_execution;seamanship;rt_user_10;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2713;Ministry of National Defence;T2713;4;1945;1970;large_unit_tactics;centralized_execution;small_taskforce_tactics;rt_user_6;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2720;Fabryka Samochodów Ciezarowych;T2720;4;1945;1970;general_equipment;rt_user_18;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
2721;Ursus;T2721;4;1945;1970;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
2722;PZInz;T2706;6;1945;1970;mechanics;artillery;technical_efficiency;rt_user_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
2723;KZWM Polmo-SHL;T2723;4;1945;1970;general_equipment;electronics;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
2724;Jelcz;T2724;4;1945;1970;general_equipment;rt_user_17;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2725;Zaklady Metalowe;T2725;3;1945;1970;general_equipment;chemistry;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
2726;WSK PZL-Mielec;T2707;5;1945;1970;aeronautics;rocketry;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
2727;WSK PZL-Swidnik;T2707;4;1945;1970;aeronautics;chemistry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
2728;WSK;T2728;5;1945;1970;electronics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
2729;Michal Zymierski;T2729;4;1945;1949;large_unit_tactics;small_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2730;Konstanty Rokossowski;T2730;7;1949;1957;large_unit_tactics;small_unit_tactics;centralized_execution;combined_arms_focus;BLITZKRIEG_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2731;Marian Spychalski;T2731;5;1957;1970;large_unit_tactics;small_unit_tactics;centralized_execution;combined_arms_focus;BLITZKRIEG_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2732;Wiktor Czerokow;T2732;4;1945;1953;training;rt_user_9;rt_user_16;rt_user_11;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
2733;Aleksandr Winogradow;T2733;3;1953;1955;decentralized_execution;rt_user_9;rt_user_16;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
2734;Zdzislaw Studzinski;T2734;3;1955;1970;decentralized_execution;rt_user_9;rt_user_16;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
2735;Fiodor Polynin;T2735;5;1944;1947;rt_user_5;rt_user_6;piloting;training;rt_user_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
2736;Aleksander Romeyko;T2736;4;1947;1951;rt_user_5;rt_user_6;rt_user_1;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
2737;Iwan Turkiel;T2737;4;1951;1956;rt_user_5;rt_user_6;rt_user_3;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
2738;Jan Frey-Bielecki;T2738;4;1956;1970;rt_user_5;rt_user_6;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
