U00;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
951100;Aichi Kokuki;T1900;6;1930;1970;electronics;aeronautics;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
951101;Hino Automobile;T1901;3;1930;1970;artillery;mechanics;electronics;rt_user_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
951104;Mitsubishi Hikoki;T1904;8;1930;1970;electronics;aeronautics;management;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
951105;Mitsubishi Jukogyo;T1905;5;1930;1970;technical_efficiency;artillery;management;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
951107;Mitsui;T1907;6;1930;1970;electronics;chemistry;general_equipment;industrial_engineering;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
951108;Nakajima Hikoki;T1908;7;1930;1970;mechanics;general_equipment;aeronautics;management;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
951109;Nissan;T1909;6;1930;1970;electronics;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
951110;Sumimoto;T1910;6;1930;1970;electronics;chemistry;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
951111;Teiji Takagi;T1911;6;1930;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
951112;Harbin Arsenal;T1912;5;1930;1970;artillery;training;general_equipment;rt_user_17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
951114;Hideki Tojo;T1914;5;1930;1970;training;infantry_focus;large_unit_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
951115;Hisaichi Terauchi;T1915;6;1930;1970;training;large_unit_tactics;decentralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
951118;Shunroku Hata;T1918;6;1930;1970;centralized_execution;rt_user_3;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
951119;Tomoyoki Yamashita;T1919;7;1930;1970;training;small_unit_tactics;centralized_execution;combined_arms_focus;rt_user_5;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
951121;Kawasaki Hikoki;T1902;7;1930;1970;artillery;mechanics;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
951122;Kawanishi Hikoki;T1924;7;1930;1970;electronics;aeronautics;technical_efficiency;naval_artillery;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
951123;Dai-Ichi Rikugun Kokusho;T1925;5;1930;1970;rt_user_6;rt_user_1;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
951124;Masaomi Yasuoka;T1940;5;1930;1940;BLITZKRIEG_TACTICS;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
