#Artillery		
		
#1918 Artillery -	0	
model = { 		
	cost =	5.38
	buildtime =	60
	# ICdays	322.8
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	3
	toughness =	4
	softness =	0
	suppression =	0
	airdefence =	2
	softattack =	4
	hardattack =	1
	airattack =	0
	supplyconsumption =	0.36
	fuelconsumption =	0
	reinforce_time =	0.5
	reinforce_cost =	1.4
	#upgrade_time_factor =	0.6
	#upgrade_cost_factor =	0
	speed_cap =	10
	equipment =	{ manpower = 3000  artillery = 36    horses = 450                              }
} 		
#1932 Artillery -	1	
model = { 		
	cost =	6.19
	buildtime =	60
	# ICdays	371.4
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	4
	toughness =	5
	softness =	0
	suppression =	0
	airdefence =	3
	softattack =	6
	hardattack =	2
	airattack =	0
	supplyconsumption =	0.41
	fuelconsumption =	0
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.8
	speed_cap =	10
	equipment =	{ manpower = 3000  artillery = 36    horses = 450 trucks = 50                             }
} 		
#1936 Artillery -	2	
model = { 		
	cost =	6.44
	buildtime =	60
	# ICdays	386.4
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	5
	toughness =	5
	softness =	0
	suppression =	0
	airdefence =	3
	softattack =	6
	hardattack =	2
	airattack =	0
	supplyconsumption =	0.43
	fuelconsumption =	0
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.8
	speed_cap =	10
	equipment =	{ manpower = 3000  artillery = 42    horses = 450 trucks = 150                             }
} 		
#1938 Artillery -	3	
model = { 		
	cost =	6.83
	buildtime =	60
	# ICdays	409.8
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	5
	toughness =	6
	softness =	0
	suppression =	0
	airdefence =	3
	softattack =	7
	hardattack =	2
	airattack =	0
	supplyconsumption =	0.46
	fuelconsumption =	0
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.47
	speed_cap =	10
	equipment =	{ manpower = 3000  artillery = 42 heavy_artillery = 6   horses = 300 trucks = 300                             }
} 		
#1940 Artillery -	4	
model = { 		
	cost =	7.25
	buildtime =	60
	# ICdays	435
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	6
	toughness =	7
	softness =	0
	suppression =	0
	airdefence =	3
	softattack =	8
	hardattack =	3
	airattack =	0
	supplyconsumption =	0.48
	fuelconsumption =	0
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.47
	speed_cap =	10
	equipment =	{ manpower = 3000  artillery = 42 heavy_artillery = 12   horses = 300 trucks = 300                             }
} 		
#1943 Artillery -	5	
model = { 		
	cost =	7.92
	buildtime =	60
	# ICdays	475.2
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	7
	toughness =	8
	softness =	0
	suppression =	0
	airdefence =	4
	softattack =	10
	hardattack =	3
	airattack =	0
	supplyconsumption =	0.53
	fuelconsumption =	0
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.65
	speed_cap =	10
	equipment =	{ manpower = 3000  artillery = 36 heavy_artillery = 18 anti_air = 5  horses = 150 trucks = 300 halftracks = 50                            }
} 		
#1945 Artillery -	6	
model = { 		
	cost =	8.4
	buildtime =	60
	# ICdays	504
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	8
	toughness =	9
	softness =	0
	suppression =	0
	airdefence =	5
	softattack =	11
	hardattack =	4
	airattack =	0
	supplyconsumption =	0.56
	fuelconsumption =	0
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.47
	speed_cap =	10
	equipment =	{ manpower = 3000  artillery = 24 heavy_artillery = 30 anti_air = 5  horses = 150 trucks = 300 halftracks = 50                            }
} 		
#1948 Artillery -	7	
model = { 		
	cost =	9.09
	buildtime =	60
	# ICdays	545.4
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	10
	toughness =	10
	softness =	0
	suppression =	0
	airdefence =	5
	softattack =	13
	hardattack =	4
	airattack =	0
	supplyconsumption =	0.61
	fuelconsumption =	0
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.65
	speed_cap =	10
	equipment =	{ manpower = 3000  artillery = 24 heavy_artillery = 30 anti_air = 5   trucks = 450 halftracks = 50                            }
} 		
#1953 Artillery -	8	
model = { 		
	cost =	10.04
	buildtime =	60
	# ICdays	602.4
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	12
	toughness =	12
	softness =	0
	suppression =	0
	airdefence =	7
	softattack =	15
	hardattack =	5
	airattack =	0
	supplyconsumption =	0.67
	fuelconsumption =	0
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.8
	speed_cap =	10
	equipment =	{ manpower = 3000  artillery = 24 heavy_artillery = 30 anti_air = 10   trucks = 450 halftracks = 100                            }
} 		
#1960 Artillery -	9	
model = { 		
	cost =	11.53
	buildtime =	60
	# ICdays	691.8
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	15
	toughness =	16
	softness =	0
	suppression =	0
	airdefence =	9
	softattack =	20
	hardattack =	7
	airattack =	0
	supplyconsumption =	0.77
	fuelconsumption =	0
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.8
	speed_cap =	10
	equipment =	{ manpower = 3000  artillery = 12 heavy_artillery = 42 anti_air = 10   trucks = 250 halftracks = 250                            }
} 		
