#shore bombardment = (rounded)
#sea attack*2/3 for BB, BC, CA, CL, DD
#sea attack*1/3 for carriers/CAG
#
#convoy attack = (rounded)
#sea attack*(2+x) for submarines
#sea attack for BB, BC, CA, CL, DD
#sea attack/2 for carriers/CAG

detachable = yes

# 0 - CAG 1930
model = {
	cost 						= 8
	buildtime					= 190
	defaultorganisation 		= 20
	morale						= 20
	manpower 					= 0.15
	surfacedetectioncapability	= 4
	airdetectioncapability		= 3
	subdetectioncapability		= 1
	airdefence					= 2
	seaattack					= 7
	subattack					= 0
	airattack					= 6
	shorebombardment			= 2
	convoyattack				= 4
	distance					= 1.0
	supplyconsumption 			= 0.4
	fuelconsumption				= 1
	reinforce_time = 0.5
	reinforce_cost = 1.4
	#upgrade_time_factor = 0.6
	#upgrade_cost_factor = 0.5
	equipment = { fighter = 30 bomber = 30 manpower = 150 }
}
# 1 - CAG 1937
model = {
	cost 						= 7
	buildtime					= 190
	defaultorganisation 		= 22
	morale						= 22
	manpower 					= 0.15
	surfacedetectioncapability	= 4
	airdetectioncapability		= 4
	subdetectioncapability		= 6
	airdefence					= 3
	seaattack					= 8
	subattack					= 0
	airattack					= 12
	shorebombardment			= 3
	convoyattack				= 4
	distance					= 1.2
	supplyconsumption 			= 0.4
	fuelconsumption				= 1
	reinforce_time = 0.5
	reinforce_cost = 1.4
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 1.0
	equipment = { fighter = 30 bomber = 30 manpower = 150 }
}
# 2 - CAG 1940
model = {
	cost 						= 9
	buildtime					= 190
	defaultorganisation 		= 24
	morale						= 24
	manpower 					= 0.15
	surfacedetectioncapability	= 4
	airdetectioncapability		= 5
	subdetectioncapability		= 7
	airdefence					= 5
	seaattack					= 9
	subattack					= 1
	airattack					= 16
	shorebombardment			= 3
	convoyattack				= 5
	distance					= 1.4
	supplyconsumption 			= 0.5
	fuelconsumption				= 1
	reinforce_time = 0.5
	reinforce_cost = 1.4
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 0.75
	equipment = { fighter = 35 bomber = 35 manpower = 150 }
}
# 3 - CAG 1942
model = {
	cost 						= 12
	buildtime					= 190
	defaultorganisation 		= 26
	morale						= 26
	manpower 					= 0.15
	surfacedetectioncapability	= 4
	airdetectioncapability		= 6
	subdetectioncapability		= 7
	airdefence					= 7
	seaattack					= 11
	subattack					= 3
	airattack					= 20
	shorebombardment			= 4
	convoyattack				= 6
	distance					= 1.6
	supplyconsumption 			= 0.5
	fuelconsumption				= 1
	reinforce_time = 0.5
	reinforce_cost = 1.4
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 0.5
	equipment = { fighter = 45 bomber = 45 manpower = 150 }
}
# 4 - CAG 1944
model = {
	cost 						= 14
	buildtime					= 190
	defaultorganisation 		= 28
	morale						= 28
	manpower 					= 0.15
	surfacedetectioncapability	= 4
	airdetectioncapability		= 7
	subdetectioncapability		= 7
	airdefence					= 12
	seaattack					= 12
	subattack					= 5
	airattack					= 24
	shorebombardment			= 4
	convoyattack				= 6
	distance					= 1.8
	supplyconsumption 			= 0.6
	fuelconsumption				= 1
	reinforce_time = 0.5
	reinforce_cost = 1.4
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 0.5
	equipment = { fighter = 50 bomber = 50 manpower = 150 }
}
# 5 - Turbojet CAG 1947
model = {
	cost 						= 18
	buildtime					= 190
	defaultorganisation 		= 30
	morale						= 30
	manpower 					= 0.15
	surfacedetectioncapability	= 4
	airdetectioncapability		= 7
	subdetectioncapability		= 8
	airdefence					= 16
	seaattack					= 14
	subattack					= 5
	airattack					= 32
	shorebombardment			= 5
	convoyattack				= 7
	distance					= 2.0
	supplyconsumption 			= 0.6
	fuelconsumption				= 1
	reinforce_time = 0.5
	reinforce_cost = 1.4
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 0.75
	equipment = { fighter = 50 bomber = 50 manpower = 150 }
}
# 6 - Turbojet CAG 1950
model = {
	cost 						= 24
	buildtime					= 190
	defaultorganisation 		= 32
	morale						= 32
	manpower 					= 0.15
	surfacedetectioncapability	= 4
	airdetectioncapability		= 7
	subdetectioncapability		= 10
	airdefence					= 19
	seaattack					= 16
	subattack					= 8
	airattack					= 36
	shorebombardment			= 5
	convoyattack				= 8
	distance					= 2.2
	supplyconsumption 			= 0.7
	fuelconsumption				= 1
	reinforce_time = 0.5
	reinforce_cost = 1.4
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 0.75
	equipment = { fighter = 50 bomber = 50 manpower = 150 }
}
# 7 - Turbojet CAG 1954
model = {
	cost 						= 26
	buildtime					= 190
	defaultorganisation 		= 34
	morale						= 34
	manpower 					= 0.15
	surfacedetectioncapability	= 4
	airdetectioncapability		= 8
	subdetectioncapability		= 12
	airdefence					= 24
	seaattack					= 19
	subattack					= 8
	airattack					= 40
	shorebombardment			= 6
	convoyattack				= 10
	distance					= 2.4
	supplyconsumption 			= 0.8
	fuelconsumption				= 1
	reinforce_time = 0.5
	reinforce_cost = 1.4
	upgrade_time_factor = 0.6
	upgrade_cost_factor	= 1.0
