#Light Armor		
		
#1928 Light Armor -	0	
model = { 		
	cost =	4.67
	buildtime =	160
	# ICdays	747.2
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	4
	toughness =	6
	softness =	-12
	suppression =	0
	airdefence =	2
	softattack =	5
	hardattack =	5
	airattack =	0
	supplyconsumption =	0.83
	fuelconsumption =	0.9
	reinforce_time =	0.5
	reinforce_cost =	1.4
	#upgrade_time_factor =	0.6
	#upgrade_cost_factor =	0
	equipment =	{ manpower = 3000      horses = 250 trucks = 100  armored_car = 25 light_armor = 50                          }
} 		
#1936 Light Armor -	1	
model = { 		
	cost =	5.06
	buildtime =	160
	# ICdays	809.6
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	5
	toughness =	7
	softness =	-12
	suppression =	0
	airdefence =	3
	softattack =	6
	hardattack =	5
	airattack =	0
	supplyconsumption =	0.9
	fuelconsumption =	1.01
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.8
	equipment =	{ manpower = 3000      horses = 150 trucks = 125 halftracks = 5 armored_car = 15 light_armor = 45 medium_armor = 10                         }
} 		
#1937 Light Armor -	2	
model = { 		
	cost =	5.21
	buildtime =	160
	# ICdays	833.6
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	5
	toughness =	8
	softness =	-12
	suppression =	0
	airdefence =	3
	softattack =	6
	hardattack =	6
	airattack =	0
	supplyconsumption =	0.93
	fuelconsumption =	1.01
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.25
	equipment =	{ manpower = 3000      horses = 125 trucks = 130 halftracks = 5 armored_car = 15 light_armor = 40 medium_armor = 15                         }
} 		
#1938 Light Armor -	3	
model = { 		
	cost =	5.37
	buildtime =	160
	# ICdays	859.2
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	5
	toughness =	8
	softness =	-12
	suppression =	0
	airdefence =	3
	softattack =	7
	hardattack =	6
	airattack =	0
	supplyconsumption =	0.95
	fuelconsumption =	1.01
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.25
	equipment =	{ manpower = 3000      horses = 125 trucks = 130 halftracks = 5 armored_car = 10 light_armor = 40 medium_armor = 20                         }
} 		
#1939 Light Armor -	4	
model = { 		
	cost =	5.53
	buildtime =	160
	# ICdays	884.8
	manpower =	3
	maxspeed =	0
