detachable = yes

# 0 - small naval AA Brigade 1936 ( CL & DD )
model = {
	cost 				= 1.0
	buildtime			= 60
	manpower 			= 0.0
	surfacedetectioncapability	= 0
	airdetectioncapability		= 0
	subdetectioncapability		= 0
	airdefence			= 2
	seaattack			= 0
	convoyattack			= 0
	subattack			= 0
	airattack			= 2
	shorebombardment		= 0
	distance			= 0
	supplyconsumption 		= 0.0
	fuelconsumption			= 0
	reinforce_time = 0.5
	reinforce_cost = 1.4
	#upgrade_time_factor = 0.6
	#upgrade_cost_factor = 0.5
}
# 1 - small naval AA Brigade 1940 ( CL & DD )
model = {
	cost 				= 1.0
	buildtime			= 60
	manpower 			= 0.0
	surfacedetectioncapability	= 0
	airdetectioncapability		= 0
	subdetectioncapability		= 0
	airdefence			= 3
	seaattack			= 0
	convoyattack			= 0
	subattack			= 0
	airattack			= 3
	shorebombardment		= 0
	distance			= 0
	supplyconsumption 		= 0.0
	fuelconsumption			= 0
	reinforce_time = 0.5
	reinforce_cost = 1.4
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 1.0
}
# 2 - small naval AA Brigade 1945 ( CL & DD )
model = {
	cost 				= 1.5
	buildtime			= 60
	manpower 			= 0.0
	surfacedetectioncapability	= 0
	airdetectioncapability		= 0
	subdetectioncapability		= 0
	airdefence			= 6
	seaattack			= 0
	convoyattack			= 0
	subattack			= 0
	airattack			= 4
	shorebombardment		= 0
	distance			= 0
	supplyconsumption 		= 0.0
	fuelconsumption			= 0
	reinforce_time = 0.5
	reinforce_cost = 1.4
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 1.0
}
# 3 - small naval AA Brigade 1953 ( CL & DD ) rocket guided
model = {
	cost 				= 1.5
	buildtime			= 60
	manpower 			= 0.0
	surfacedetectioncapability	= 0
	airdetectioncapability		= 0
	subdetectioncapability		= 0
	airdefence			= 9
	seaattack			= 0
	convoyattack			= 0
	subattack			= 0
	airattack			= 8
	shorebombardment		= 0
	distance			= 0
	supplyconsumption 		= 0.0
	fuelconsumption			= 0
	reinforce_time = 0.5
	reinforce_cost = 1.4
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 1.0
}
########################################

