detachable = yes

# 0 - ASW Suite 1936
model = {
	cost 						= 0.5
	buildtime					= 100
	manpower 					= 0.0
	surfacedetectioncapability	= 0
	airdetectioncapability		= 0
	subdetectioncapability		= 0.4
	airdefence					= 0
	seaattack					= 0
	convoyattack				= 0
	subattack					= 1 #6 #3 #4
	airattack					= 0
	shorebombardment			= 0
	distance					= 0
	supplyconsumption 			= 0.0
	fuelconsumption				= 0
	reinforce_time = 0.5
	reinforce_cost = 1.4
	#upgrade_time_factor = 0.6
	#upgrade_cost_factor = 0.5
}
# 1 - ASW Suite 1940
model = {
	cost 						= 1.0
	buildtime					= 100
	manpower 					= 0.0
	surfacedetectioncapability	= 0
	airdetectioncapability		= 0
	subdetectioncapability		= 0.5
	airdefence					= 0
	seaattack					= 0
	convoyattack				= 0
	subattack					= 2 #8 #4 #5
	airattack					= 0
	shorebombardment			= 0
	distance					= 0
	supplyconsumption 			= 0.0
	fuelconsumption				= 0
	reinforce_time = 0.5
	reinforce_cost = 1.4
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 1.0
}
# 2 - ASW Suite 1942
model = {
	cost 						= 1.5
	buildtime					= 100
	manpower 					= 0.0
	surfacedetectioncapability	= 0
	airdetectioncapability		= 0
	subdetectioncapability		= 0.6
	airdefence					= 0
	seaattack					= 0
	convoyattack				= 0
	subattack					= 3 #12 #6# 8
	airattack					= 0
	shorebombardment			= 0
	distance					= 0
	supplyconsumption 			= 0.0
	fuelconsumption				= 0
	reinforce_time = 0.5
	reinforce_cost = 1.4
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 0.5
}
# 3 - ASW Suite 1945
model = {
	cost 						= 1.5
	buildtime					= 100
	manpower 					= 0.0
	surfacedetectioncapability	= 0
	airdetectioncapability		= 0
	subdetectioncapability		= 0.7
	airdefence					= 0
	seaattack					= 0
	convoyattack				= 0
	subattack					= 4 #16 #8 #10
	airattack					= 0
	shorebombardment			= 0
	distance					= 0
	supplyconsumption 			= 0.0
	fuelconsumption				= 0
	reinforce_time = 0.5
	reinforce_cost = 1.4
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 0.75
}
# 4 - ASW Suite 1948
model = {
	cost 						= 2.0
	buildtime					= 100
	manpower 					= 0.0
	surfacedetectioncapability	= 0
	airdetectioncapability		= 0
	subdetectioncapability		= 0.8
	airdefence					= 0
	seaattack					= 0
	convoyattack				= 0
	subattack					= 5 #18 #9 #11
	airattack					= 0
	shorebombardment			= 0
	distance					= 0
	supplyconsumption 			= 0.0
	fuelconsumption				= 0
	reinforce_time = 0.5
	reinforce_cost = 1.4
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 0.75
}
# 5 - ASW Suite 1951
model = {
	cost 						= 2.0
	buildtime					= 100
	manpower 					= 0.0
	surfacedetectioncapability	= 0
	airdetectioncapability		= 0
	subdetectioncapability		= 0.9
	airdefence					= 0
	seaattack					= 0
	convoyattack				= 0
	subattack					= 6 #20 #10 #13
	airattack					= 0
	shorebombardment			= 0
	distance					= 0
	supplyconsumption 			= 0.0
	fuelconsumption				= 0
	reinforce_time = 0.5
	reinforce_cost = 1.4
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 0.75
}
# 6 - ASW Suite 1955 guided rockets
model = {
	cost 						= 2.0
	buildtime					= 100
	manpower 					= 0.0
	surfacedetectioncapability	= 0
	airdetectioncapability		= 0
	subdetectioncapability		= 1
	airdefence					= 0
	seaattack					= 0
	convoyattack				= 0
	subattack					= 7 #24 #12 #25
	airattack					= 0
	shorebombardment			= 0
	distance					= 0
	supplyconsumption 			= 0.0
	fuelconsumption				= 0
	reinforce_time = 0.5
	reinforce_cost = 1.4
	upgrade_time_factor = 0.6
	upgrade_cost_factor = 1.0
}
########################################

