#	elite mechanized				
#allowed_brigades =  artillery										
#allowed_brigades =  anti_tank																												
#allowed_brigades =  anti_air																																						
#allowed_brigades =  rocket_artillery																																						
allowed_brigades =  sp_artillery																																						
allowed_brigades =  sp_rct_artillery																																						
allowed_brigades =  tank_destroyer																																						
#allowed_brigades =  light_armor_brigade																																						
allowed_brigades =  heavy_armor																																						
allowed_brigades =  super_heavy_armor																																						
#allowed_brigades =  armored_car																																						
allowed_brigades =  engineer																																						
#allowed_brigades =  police																																						
allowed_brigades =  sp_anti_air		
#allowed_brigades =  b_01																																				
																																						
#upgrade = { type = light_armor upgrade_time_factor = 0.7 upgrade_cost_factor = 0.9 }																																						
																																						
# Early Elite Mechanized Division (1937) - 0																																						
model = {																																						
	cost =				15.59																																	
	buildtime =			294																																	
	manpower =			17																																	
	maxspeed =			15																																	
	defaultorganisation =		22																																	
	morale =			20																																	
	defensiveness =			42																																	
	toughness =			44																																	
	softness =			55																																	
	suppression =			0																																	
	airdefence =			20																																	
	softattack =			36																																	
	hardattack =			2																																	
	airattack =			2																																	
	transportweight =		37.5																																	
	supplyconsumption =		5.09																																	
	fuelconsumption =		7																																	
	reinforce_time =		0.5																																	
	reinforce_cost =		1.4																																	
	#upgrade_time_factor =		0.6																																	
	#upgrade_cost_factor =		0																																	
	equipment =		{ manpower = 17000 equipment = 165 artillery = 41  anti_air = 65 anti_tank = 45  trucks = 2451 halftracks = 122 armored_car = 44 light_armor = 24   tank_destroyer = 24 sp_artillery = 35                      }																																	
}																																						
# Basic Elite Mechanized Division (1940) - 1																																						
model = {																																						
	cost =				17.04																																	
	buildtime =			294																																	
	manpower =			17																																	
	maxspeed =			15																																	
	defaultorganisation =		22																																	
	morale =			20																																	
	defensiveness =			49																																	
	toughness =			52																																	
	softness =			55																																	
	suppression =			0																																	
	airdefence =			24																																	
	softattack =			42																																	
	hardattack =			4																																	
	airattack =			2																																	
	transportweight =		37.5																																	
	supplyconsumption =		5.57																																	
	fuelconsumption =		7																																	
	reinforce_time =		0.5																																	
	reinforce_cost =		1.4																																	
	upgrade_time_factor =		0.6																																	
	upgrade_cost_factor =		0.65																																	
	equipment =		{ manpower = 17000 equipment = 185 artillery = 41  anti_air = 76 anti_tank = 41  trucks = 2335 halftracks = 138 armored_car = 48 light_armor = 12 medium_armor = 12  tank_destroyer = 28 sp_artillery = 41                      }																																	
}																																						
# Improved Elite Mechanized Division (1943) - 2																																						
model = {																																						
	cost =				18.62																																	
	buildtime =			294																																	
	manpower =			17																																	
	maxspeed =			15																																	
	defaultorganisation =		22																																	
	morale =			20																																	
	defensiveness =			59																																	
	toughness =			62																																	
	softness =			55																																	
