#	mechanized				
#allowed_brigades =  artillery																																						
#allowed_brigades =  anti_tank																																						
#allowed_brigades =  anti_air																																						
#allowed_brigades =  rocket_artillery																																						
allowed_brigades =  sp_artillery																																						
allowed_brigades =  sp_rct_artillery																																						
allowed_brigades =  tank_destroyer																																						
#allowed_brigades =  light_armor_brigade																																						
allowed_brigades =  heavy_armor																																						
allowed_brigades =  super_heavy_armor																																						
#allowed_brigades =  armored_car																																						
allowed_brigades =  engineer																																						
#allowed_brigades =  police																																						
allowed_brigades =  sp_anti_air	
#allowed_brigades =  b_01																																					
																																						
upgrade = { type = armor upgrade_time_factor = 0.7 upgrade_cost_factor = 0.9 }																																						
																																						
# Early Mechanized Division (1940) - 0																																						
model = {																																						
	cost =				12.73																														
	buildtime =			240																																	
	manpower =			17																																	
	maxspeed =			15																																	
	defaultorganisation =		20																																	
	morale =			20																																	
	defensiveness =			38																																	
	toughness =			40																																	
	softness =			55																																	
	suppression =			1																																	
	airdefence =			18																																	
	softattack =			33																																	
	hardattack =			2																																	
	airattack =			1																																	
	transportweight =		30																																	
	supplyconsumption =		3.39																																	
	fuelconsumption =		5.625																																	
	reinforce_time =		0.5																																	
	reinforce_cost =		1.4																																	
	#upgrade_time_factor =		0.6																																	
	#upgrade_cost_factor =		0																																	
	equipment =		{ manpower = 17000 equipment = 150 artillery = 36  anti_air = 56 anti_tank = 36  trucks = 2000 halftracks = 120 armored_car = 42 light_armor = 20   tank_destroyer = 20 sp_artillery = 30                      }																																	
}																																						
																																						
# Basic Mechanized Division (1940) - 1																																						
model = {																																						
	cost =				13.91																																	
	buildtime =			240																																	
	manpower =			17																																	
	maxspeed =			15																																	
	defaultorganisation =		20																																	
	morale =			20																																	
	defensiveness =			45																																	
	toughness =			48																																	
	softness =			55																																	
	suppression =			1																																	
	airdefence =			22																																	
	softattack =			39																																	
	hardattack =			4																																	
	airattack =			2																																	
	transportweight =		30																																	
	supplyconsumption =		3.71																																	
	fuelconsumption =		5.625																																	
	reinforce_time =		0.5																																	
	reinforce_cost =		1.4																																	
	upgrade_time_factor =		0.6																																	
	upgrade_cost_factor =		0.65																																	
	equipment =		{ manpower = 17000 equipment = 161 artillery = 36  anti_air = 66 anti_tank = 36  trucks = 2030 halftracks = 120 armored_car = 42 light_armor = 10 medium_armor = 10  tank_destroyer = 24 sp_artillery = 36                      }																																	
}																																						
# Improved Mechanized Division (1943) - 2																																						
model = {																																						
	cost =				15.2																																	
	buildtime =			240																																	
	manpower =			17																																	
	maxspeed =			15																																	
	defaultorganisation =		20																																	
	morale =			20																																	
	defensiveness =			54																																	
	toughness =			57																																	
	softness =			55																																	
	suppression =			1																																	
